16	16	DOPP	30	0	1603142762	1603142762	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,WOOL"", ""contract"": ""woolfintoken"" }, ""reserve"": ""0.0000 WOOL"" } ]"
17	17	DOPQ	30	505178	1603142809	1605425748	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""4,WOOL"", ""contract"": ""woolfintoken"" }, ""reserve"": ""615.4236 WOOL"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""1.8895 EOS"" } ]"
18	18	DOPR	30	0	1603144673	1604075905	"[ { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 80, ""symbol"": { ""symbol"": ""4,USDT"", ""contract"": ""tethertether"" }, ""reserve"": ""0.0000 USDT"" } ]"
19	19	DOPS	30	2843780	1603148162	1605422495	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,USDT"", ""contract"": ""tethertether"" }, ""reserve"": ""453.2646 USDT"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""178.5182 EOS"" } ]"
20	20	DOPT	30	14142	1603158658	1604263365	"[ { ""weight"": 2, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0178 EOS"" }, { ""weight"": 98, ""symbol"": { ""symbol"": ""4,USDT"", ""contract"": ""tethertether"" }, ""reserve"": ""2.1722 USDT"" } ]"
21	21	DOPU	30	0	1603179284	1603241817	"[ { ""weight"": 98, ""symbol"": { ""symbol"": ""4,CCC"", ""contract"": ""eoscccdotcom"" }, ""reserve"": ""0.0000 CCC"" }, { ""weight"": 2, ""symbol"": { ""symbol"": ""8,DOP"", ""contract"": ""dolphintoken"" }, ""reserve"": ""0.00000000 DOP"" } ]"
22	22	DOPV	30	168194	1603180876	1604700656	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,CCC"", ""contract"": ""eoscccdotcom"" }, ""reserve"": ""6250.0248 CCC"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0454 EOS"" } ]"
23	23	DOPW	30	0	1603180923	1603180923	"[ { ""weight"": 20, ""symbol"": { ""symbol"": ""4,CCC"", ""contract"": ""eoscccdotcom"" }, ""reserve"": ""0.0000 CCC"" }, { ""weight"": 80, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
24	24	DOPX	30	972236094	1603184031	1605425765	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,WOOL"", ""contract"": ""woolfintoken"" }, ""reserve"": ""878948.9956 WOOL"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""10754.3356 EOS"" } ]"
25	25	DOPY	30	0	1603184145	1603184145	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""3,IQ"", ""contract"": ""everipediaiq"" }, ""reserve"": ""0.000 IQ"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
26	26	DOPZ	30	0	1603184215	1603232659	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""3,IQ"", ""contract"": ""everipediaiq"" }, ""reserve"": ""0.000 IQ"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
27	27	DOPAA	30	0	1603184859	1603184859	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,DICE"", ""contract"": ""betdicetoken"" }, ""reserve"": ""0.0000 DICE"" } ]"
28	28	DOPAB	30	26673	1603185332	1603538649	"[ { ""weight"": 2, ""symbol"": { ""symbol"": ""8,DOP"", ""contract"": ""dolphintoken"" }, ""reserve"": ""0.00711470 DOP"" }, { ""weight"": 98, ""symbol"": { ""symbol"": ""4,DEOS"", ""contract"": ""eosdmddtoken"" }, ""reserve"": ""0.1000 DEOS"" } ]"
29	29	DOPAC	30	0	1603186171	1603186171	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,SB"", ""contract"": ""ooxx.n"" }, ""reserve"": ""0.0000 SB"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""8,DOP"", ""contract"": ""dolphintoken"" }, ""reserve"": ""0.00000000 DOP"" } ]"
