owner,lptoken,lpratio,amount1,amount2,token1,token2
beesmile2.tp,2375772147,0.0009372430459862172,291989635,637824821,0.0291 EOS,0.0637 HUB
bolang123123,8443401001,0.0033309250142750813,1037719709,2266804392,0.1037 EOS,0.2266 HUB
eosshillskin,1928824247,0.0007609219237261946,237058377,517832479,0.0237 EOS,0.0517 HUB
gi2dmobxguge,87344103,3.445728297135975e-05,10734856,23449318,0.0010 EOS,0.0023 HUB
tabuzah13.m,3803905154,0.0015006420786941024,467511533,1021236455,0.0467 EOS,0.1021 HUB
xiangyu55555,1388287663,0.0005476800288353608,170624783,372714333,0.0170 EOS,0.0372 HUB
vimchain.io,1002111318,0.0003953333089141493,123162534,269037362,0.0123 EOS,0.0269 HUB
gyzdcnjrhage,193421789879,0.07630497214777728,23772127327,51928051610,2.3772 EOS,5.1928 HUB
laqxjj123123,43590771728,0.017196576583672105,5357438665,11702837852,0.5357 EOS,1.1702 HUB
hubmarketing,137555778073,0.05426580852753074,16906024254,36929673474,1.6906 EOS,3.6929 HUB
nwkiwi123.tp,40508989892,0.015980812437819594,4978678287,10875470230,0.4978 EOS,1.0875 HUB
waitwaitgogo,9739919784,0.0038424021838730556,1197065818,2614881485,0.1197 EOS,0.2614 HUB
cinimodbbb2u,203322,8.021060893261228e-08,24988,54585,0.0000 EOS,0.0000 HUB
eosvaluepool,6751909766,0.002663631057086354,829830283,1812688834,0.0829 EOS,0.1812 HUB
geytknzxguge,6403730935,0.002526274371376224,787038043,1719213076,0.0787 EOS,0.1719 HUB
icemjsicemjs,4012618071,0.0015829794065025627,493162987,1077269724,0.0493 EOS,0.1077 HUB
uirbnrjyc2v2,1672720,6.598886976016329e-07,205582,449076,0.0000 EOS,0.0000 HUB
zack.vr,27309145904,0.010773468795257741,3356377241,7331701039,0.3356 EOS,0.7331 HUB
abo.game,310090564,0.000122330849404871,38111075,83250179,0.0038 EOS,0.0083 HUB
aollx5555555,842901633,0.00033252502559104905,103595178,226294253,0.0103 EOS,0.0226 HUB
bolang555222,1334165201,0.0005263286962990284,163972968,358184046,0.0163 EOS,0.0358 HUB
gu4domjzhage,145646326,5.745753286539459e-05,17900377,39101747,0.0017 EOS,0.0039 HUB
mykey111moon,13524620382,0.005335468057675211,1662217054,3630962083,0.1662 EOS,0.3630 HUB
zhumigang315,6649408980,0.0026231944567129003,817232624,1785170393,0.0817 EOS,0.1785 HUB
lovevalue333,3453115,1.3622552250338745e-06,424398,927059,0.0000 EOS,0.0000 HUB
geytcmrzgqge,1205753535,0.00047567024357914945,148190783,323709297,0.0148 EOS,0.0323 HUB
gu3tambqgqge,549898600,0.00021693521388335243,67584213,147631571,0.0067 EOS,0.0147 HUB
qianmo111.tp,121060947,4.775859118456784e-05,14878759,32501297,0.0014 EOS,0.0032 HUB
shishengchen,842191563,0.00033224490269689703,103507909,226103620,0.0103 EOS,0.0226 HUB
eoskstop1111,8589994,3.3887560100111444e-06,1055736,2306160,0.0001 EOS,0.0002 HUB
eostradesman,25047417430,0.009881216023104369,3078403921,6724493583,0.3078 EOS,0.6724 HUB
gu4timrtgage,13692389872,0.005401653187435954,1682836435,3676003248,0.1682 EOS,0.3676 HUB
tlsdudalswkd,1946456302,0.0007678777763554395,239225410,522566166,0.0239 EOS,0.0522 HUB
zailushang55,413934752,0.00016329742239546064,50873842,111129284,0.0050 EOS,0.0111 HUB
4iwsoqf2fwg3,169956283,6.704782045894384e-05,20888145,45628254,0.0020 EOS,0.0045 HUB
cicilovefifi,10463794411,0.004127971008803646,1286032216,2809220494,0.1286 EOS,0.2809 HUB
eosforeveryr,1436565780,0.0005667257649715875,176558311,385675585,0.0176 EOS,0.0385 HUB
iversonismvp,5794589038,0.002285967653535869,712172648,1555676425,0.0712 EOS,0.1555 HUB
jamiedornan4,1076360712,0.00042462472403704524,132288011,288971137,0.0132 EOS,0.0288 HUB
penghong1122,4173356369,0.0016463907282551113,512918213,1120423221,0.0512 EOS,0.1120 HUB
33qmwwghf2xx,21136125815,0.008338209943328592,2597694263,5674427027,0.2597 EOS,0.5674 HUB
huimouyixiao,5349959153,0.002110560989104635,657526281,1436306401,0.0657 EOS,0.1436 HUB
zyzlovejf.tp,1686369972,0.000665273616921889,207260007,452740650,0.0207 EOS,0.0452 HUB
222222dragon,1042210547,0.0004111524705189843,128090851,279802824,0.0128 EOS,0.0279 HUB
ancientcoins,10807691944,0.004263638720769657,1328298270,2901546849,0.1328 EOS,0.2901 HUB
gyztimztg4ge,3847948160,0.0015180170618758668,472924553,1033060705,0.0472 EOS,0.1033 HUB
kezdiswho555,6411132,2.5291940944283274e-06,787947,1721200,0.0000 EOS,0.0001 HUB
tokensplayer,6469553188,0.0025522412760616317,795127799,1736884412,0.0795 EOS,0.1736 HUB
dneldnel1111,28739579120,0.011337775261320415,3532181842,7715730211,0.3532 EOS,0.7715 HUB
gaulleeos123,324564639,0.00012804087768260926,39889983,87136042,0.0039 EOS,0.0087 HUB
gyztamrzhege,9825744019,0.003876259878320905,1207613878,2637922763,0.1207 EOS,0.2637 HUB
praprab1a3r5,73418709,2.8963709563826153e-05,9023383,19710760,0.0009 EOS,0.0019 HUB
yangdi212213,1895397966,0.0007477352427307165,232950185,508858507,0.0232 EOS,0.0508 HUB
gqzdqmjqgqge,185875500,7.33279578238153e-05,22844665,49902095,0.0022 EOS,0.0049 HUB
aaaaajackeos,4424735903,0.0017455600532437319,543813524,1187911219,0.0543 EOS,0.1187 HUB
enjhwbyayqxc,8113233471,0.0032006737938902897,997141114,2178164138,0.0997 EOS,0.2178 HUB
exchangetran,33146518,1.3076314381994047e-05,4073808,8898863,0.0004 EOS,0.0008 HUB
lovexixichen,1616589432,0.0006377451664588476,198683766,434006631,0.0198 EOS,0.0434 HUB
superw4lox11,2306649877,0.0009099742832969635,283494298,619267528,0.0283 EOS,0.0619 HUB
zhbjmswboeos,613615702,0.00024207163567165557,75415239,164737736,0.0075 EOS,0.0164 HUB
12345ssdlhxx,25281865,9.973705681638473e-06,3107218,6787435,0.0003 EOS,0.0006 HUB
biehuaigang1,3155585559,0.001244879743590697,387831080,847181746,0.0387 EOS,0.0847 HUB
eoskekoukele,4437486788,0.001750590282389027,545380647,1191334456,0.0545 EOS,0.1191 HUB
imrealwjdadi,14777636188,0.005829783285744225,1816216514,3967359908,0.1816 EOS,0.3967 HUB
qiaoqiao1111,409520069,0.00016155582821640254,50331264,109944072,0.0050 EOS,0.0109 HUB
wingzerohero,102479136379,0.040428059589458144,12594998112,27512628676,1.2594 EOS,2.7512 HUB
chexbuyer.tp,5977234921,0.002358021526183515,734620384,1604711463,0.0734 EOS,0.1604 HUB
iamzzhaoyuan,21280330141,0.008395098606627089,2615417415,5713141640,0.2615 EOS,0.5713 HUB
mosstheboss1,5714714495,0.0022544571149210406,702355824,1534232463,0.0702 EOS,0.1534 HUB
nidahaichenl,1303981497,0.0005144212132048146,160263299,350080611,0.0160 EOS,0.0350 HUB
xiaoming1124,43478726886,0.017152374849454567,5343668012,11672757113,0.5343 EOS,1.1672 HUB
eosdengeos11,3076083773,0.0012135162577589119,378060068,825837859,0.0378 EOS,0.0825 HUB
fengyang1335,260383382,0.00010272134656433143,32001911,69905266,0.0032 EOS,0.0069 HUB
geydmnrzgene,17221112398,0.006793735611200651,2116527186,4623361276,0.2116 EOS,0.4623 HUB
hejjooneosvc,983523915,0.00038800057112332555,120878085,264047192,0.0120 EOS,0.0264 HUB
ha3tiobxgmge,624564087,0.00024639077785832834,76760829,167677055,0.0076 EOS,0.0167 HUB
qmajasa4ruy4,107209816,4.2294314559729486e-05,13176413,28782676,0.0013 EOS,0.0028 HUB
tlsodo123123,3012387749,0.0011883881512498953,370231633,808737353,0.0370 EOS,0.0808 HUB
we.bank,30549509460,0.012051793491993977,3754627796,8201643180,0.3754 EOS,0.8201 HUB
yaolongyue12,894664386,0.00035294545199920165,109956979,240191027,0.0109 EOS,0.0240 HUB
oneaaaaaaeos,58313543421,0.023004715804569777,7166912166,15655468260,0.7166 EOS,1.5655 HUB
smokey423423,657719825,0.00025947072953394707,80835770,176578393,0.0080 EOS,0.0176 HUB
albertmei123,316466289853,0.12484607576038849,38894671288,84961874475,3.8894 EOS,8.4961 HUB
bendanzhuwb1,504153482,0.00019888874684843147,61961999,135350355,0.0061 EOS,0.0135 HUB
defiwallet11,180250,7.110869586224493e-08,22153,48391,0.0000 EOS,0.0000 HUB
gezdqojug4ge,8588468364,0.003388154146009366,1055548930,2305750705,0.1055 EOS,0.2305 HUB
jesstineseos,4636833915,0.0018292328023604852,569881016,1244853286,0.0569 EOS,0.1244 HUB
shaojun11111,2006514881,0.000791570909381956,246606792,538690125,0.0246 EOS,0.0538 HUB
tencentqq135,4932161283,0.0019457395651394547,606177649,1324139983,0.0606 EOS,0.1324 HUB
timesonmysid,6663182064,0.002628627943765556,818925378,1788868060,0.0818 EOS,0.1788 HUB
discohedge22,23251070,9.172556255765699e-06,2857627,6242227,0.0002 EOS,0.0006 HUB
douzideeosqb,115897145,4.5721469265506246e-05,14244112,31114968,0.0014 EOS,0.0031 HUB
eeeooosss511,3582953983,0.001413476754871379,440355961,961917576,0.0440 EOS,0.0961 HUB
eoskingdom12,7249445910,0.002859909261492291,890978991,1946262629,0.0890 EOS,0.1946 HUB
hl25um5nxdia,137607897,5.428636946472192e-05,16912429,36943665,0.0016 EOS,0.0036 HUB
hnxthnxthnxt,2026713696,0.0007995393498402792,249089288,544112912,0.0249 EOS,0.0544 HUB
tanduoroueos,1610970676,0.0006355285650079285,197993204,432498160,0.0197 EOS,0.0432 HUB
wishmaster11,108262869666,0.04270974464495676,13305836556,29065390652,1.3305 EOS,2.9065 HUB
gu2damjshage,5077359147,0.002003020179569544,624022909,1363121331,0.0624 EOS,0.1363 HUB
guztqmbrgege,2755206328,0.0010869299795588606,338623252,739691719,0.0338 EOS,0.0739 HUB
jakijakikobe,13463393062,0.0053113138558647235,1654692029,3614524352,0.1654 EOS,0.3614 HUB
kangsunghwab,570559745,0.00022508604370843283,70123531,153178480,0.0070 EOS,0.0153 HUB
111eosxhm111,5813158393,0.0022932932713835975,714454879,1560661749,0.0714 EOS,0.1560 HUB
chenzhengccc,14382234020,0.005673796975022537,1767620383,3861206076,0.1767 EOS,0.3861 HUB
everydaylink,310444575,0.00012247050688354443,38154584,83345221,0.0038 EOS,0.0083 HUB
ojvqzjwmmxsu,21229845,8.375182198655208e-06,2609212,5699587,0.0002 EOS,0.0005 HUB
penpacn12345,3333183000,0.0013149420038846332,409658346,894861426,0.0409 EOS,0.0894 HUB
q1q1q1q1q1q1,488680101,0.00019278449196083293,60060273,131196208,0.0060 EOS,0.0131 HUB
alibaba11.tp,4631704,1.8272090488762457e-06,569250,1243476,0.0000 EOS,0.0001 HUB
diandian5.tp,129384892,5.104239075948631e-05,15901797,34736031,0.0015 EOS,0.0034 HUB
gududewulang,246162378,9.711115489558376e-05,30254106,66087345,0.0030 EOS,0.0066 HUB
suohazhifula,1877220114,0.0007405640729704009,230716071,503978290,0.0230 EOS,0.0503 HUB
dappdapp5555,395533390,0.00015603807785227579,48612258,106189061,0.0048 EOS,0.0106 HUB
fqhzmseosqbo,11844588,4.672694622499839e-06,1455735,3179922,0.0001 EOS,0.0003 HUB
gm3tsobqgmge,21943605579,0.008656761027673631,2696935987,5891211552,0.2696 EOS,0.5891 HUB
mykeydigital,138650463,5.4697662161589145e-05,17040564,37223564,0.0017 EOS,0.0037 HUB
sayargyeeyzw,26375622,1.0405193248130576e-05,3241644,7081077,0.0003 EOS,0.0007 HUB
shoshoona111,5544575078,0.002187337048027101,681445171,1488555043,0.0681 EOS,0.1488 HUB
whx112233.tp,2071736541,0.0008173008798927508,254622733,556200219,0.0254 EOS,0.0556 HUB
ahxtradereos,225189930,8.883751591461983e-05,27676528,60456861,0.0027 EOS,0.0060 HUB
ailin5555555,1632935941,0.0006441938706857016,200692802,438395187,0.0200 EOS,0.0438 HUB
111111eoswql,489386901,0.00019306332483869941,60147141,131385963,0.0060 EOS,0.0131 HUB
1coin1beauty,2773803802,0.0010942666903631436,340908938,744684593,0.0340 EOS,0.0744 HUB
guytknjtgqge,28137746,1.1100351858879883e-05,3458214,7554155,0.0003 EOS,0.0007 HUB
meinianda.tp,287107873,0.00011326416877011396,35286432,77080004,0.0035 EOS,0.0077 HUB
mykeyhulu525,3862761105,0.001523860774501826,474745109,1037037544,0.0474 EOS,0.1037 HUB
successgr111,199551170,7.87230150151741e-05,24525446,53573609,0.0024 EOS,0.0053 HUB
victorwinwin,4100714898,0.0016177336393878431,503990355,1100921126,0.0503 EOS,0.1100 HUB
m55ejqtex4sa,57104642,2.252780371872609e-05,7018334,15330913,0.0007 EOS,0.0015 HUB
ivan22223333,313274500,0.00012358691340858167,38502390,84104972,0.0038 EOS,0.0084 HUB
zhangyanhu12,168447230,6.645249845718513e-05,20702677,45223118,0.0020 EOS,0.0045 HUB
tuituizhu444,222538840,8.779165986738854e-05,27350701,59745121,0.0027 EOS,0.0059 HUB
dcjhotmykey2,2176939814,0.0008588036124501417,267552536,584444198,0.0267 EOS,0.0584 HUB
ha3tcmjzgyge,44391363034,0.017512410168628062,5455833776,11917773029,0.5455 EOS,1.1917 HUB
youyou.x,2186536324,0.0008625894394178476,268731976,587020578,0.0268 EOS,0.0587 HUB
2awmtshfknxo,1643900188,0.0006485192704376103,202040342,441338764,0.0202 EOS,0.0441 HUB
haztcojvgyge,194587806,7.676496596591134e-05,23915434,52241092,0.0023 EOS,0.0052 HUB
langchao1.tp,293503959,0.00011578742721162721,36072530,78797165,0.0036 EOS,0.0078 HUB
mhchm5fen.tp,4032358330,0.0015907669464386123,495589125,1082569402,0.0495 EOS,0.1082 HUB
zhuyanrong12,3870953107,0.0015270925225113732,475751931,1039236855,0.0475 EOS,0.1039 HUB
kekekekeke44,3350816497,0.0013218984253834448,411825557,899595501,0.0411 EOS,0.0899 HUB
kidzhang1.tp,1942534783,0.0007663307355682605,238743443,521513354,0.0238 EOS,0.0521 HUB
lgfaaaa12345,1123835678,0.00044335361678802675,138122829,301716766,0.0138 EOS,0.0301 HUB
nikolarey.tp,1881388215,0.0007422083904535194,231228344,505097302,0.0231 EOS,0.0505 HUB
zhuyongmin12,871296776,0.0003437269206676202,107085028,233917512,0.0107 EOS,0.0233 HUB
initialch123,83648257,3.299927027140028e-05,10280625,22457092,0.0010 EOS,0.0022 HUB
pra1xwjkzb2w,275142973,0.00010854401101631549,33815909,73867781,0.0033 EOS,0.0073 HUB
zhouyong3333,3673712021,0.0014492808365423697,451510401,986283435,0.0451 EOS,0.0986 HUB
asckmppat2tn,3737945670,0.0014746210363252446,459404912,1003528277,0.0459 EOS,0.1003 HUB
dickyguo3333,89495567,3.5306036365171505e-05,10999277,24026922,0.0010 EOS,0.0024 HUB
empressofeos,280071008,0.00011048812276118927,34421580,75190813,0.0034 EOS,0.0075 HUB
ethanforever,17719319793,0.006990278624389979,2177758392,4757115283,0.2177 EOS,0.4757 HUB
focusandview,4986924117,0.0019673435246815385,612908169,1338842190,0.0612 EOS,0.1338 HUB
gy4tomzqgage,179570818,7.084075829623599e-05,22069800,48209473,0.0022 EOS,0.0048 HUB
xiaoxigua123,1274786401,0.0005029037363552555,156675132,342242588,0.0156 EOS,0.0342 HUB
12345wy54321,5909655591,0.0023313614539308422,726314678,1586568404,0.0726 EOS,0.1586 HUB
