owner,lptoken,lpratio,amount1,amount2,token1,token2
eosotcotc111,5378006053,0.0005839291188247294,13967584,14182470,0.0013 EOS,0.0014 DEOS
eospluser.tp,467334896,5.074193880185404e-05,1213747,1232420,0.0001 EOS,0.0001 DEOS
geytcmrzgqge,3243108470,0.0003521278058219613,8422897,8552480,0.0008 EOS,0.0008 DEOS
gyzdqojugmge,1079962828,0.00011725939619679763,2804844,2847996,0.0002 EOS,0.0002 DEOS
zhangyssunyh,6269363212,0.0006807102297575892,16282588,16533090,0.0016 EOS,0.0016 DEOS
eosforeveryr,6691890121,0.0007265870404604102,17379962,17647346,0.0017 EOS,0.0017 DEOS
huangliangrc,4714106136,0.0005118446901905579,12243324,12431683,0.0012 EOS,0.0012 DEOS
kjnmuidolnq1,678376944,7.365630444390517e-05,1761858,1788964,0.0001 EOS,0.0001 DEOS
maktalkmykey,1857676688,0.000201701430008614,4824698,4898924,0.0004 EOS,0.0004 DEOS
rdckwstw2xid,318657486,3.459895417988359e-05,827606,840339,0.0000 EOS,0.0000 DEOS
wangsanshui2,321507599,3.490841161749887e-05,835009,847855,0.0000 EOS,0.0000 DEOS
xiaoxiaolove,215859047936,0.023437382258300242,560622183,569247140,0.0560 EOS,0.0569 DEOS
yuanxiaojian,9813531,1.0655262290366125e-06,25487,25879,0.0000 EOS,0.0000 DEOS
dongyuheqing,83276648553,0.0090419496610838,216283435,219610873,0.0216 EOS,0.0219 DEOS
eosforthetop,3391824093,0.00036827493950646495,8809136,8944661,0.0008 EOS,0.0008 DEOS
iversonismvp,730074506,7.926948366433526e-05,1896126,1925297,0.0001 EOS,0.0001 DEOS
wglzyszaq555,18375565341,0.0019951683898702314,47724427,48458649,0.0047 EOS,0.0048 DEOS
baoooooooooo,2963310721,0.0003217481351015139,7696215,7814618,0.0007 EOS,0.0007 DEOS
baoshaoyebgg,1619041550,0.00017579108247837522,4204922,4269613,0.0004 EOS,0.0004 DEOS
tumaoran1234,8995161392,0.000976669905826301,23361944,23721358,0.0023 EOS,0.0023 DEOS
banlangen415,7213112557,0.0007831799402760176,18733664,19021874,0.0018 EOS,0.0019 DEOS
lilikewoaini,9675817116,0.0010505736339406673,25129721,25516332,0.0025 EOS,0.0025 DEOS
thomasmunger,85801884,9.316132786736686e-06,222841,226270,0.0000 EOS,0.0000 DEOS
victorwinwin,2994628077,0.00032514848755794143,7777551,7897206,0.0007 EOS,0.0007 DEOS
yinyangtaiji,3094268114,0.00033596712897107585,8036333,8159969,0.0008 EOS,0.0008 DEOS
czstothemoon,6335276311,0.0006878668929221105,16453776,16706911,0.0016 EOS,0.0016 DEOS
guytqnbwguge,7199060988,0.0007816542595267931,18697169,18984818,0.0018 EOS,0.0018 DEOS
icemjsicemjs,2259774783,0.000245360136224364,5869014,5959306,0.0005 EOS,0.0005 DEOS
llllllllllil,53994710161,0.005862597255338083,140233326,142390762,0.0140 EOS,0.0142 DEOS
nanjinshitou,7180439,7.79632335241762e-07,18648,18935,0.0000 EOS,0.0000 DEOS
seraphim3eos,15276855146,0.0016587189519507246,39676557,40286965,0.0039 EOS,0.0040 DEOS
bihuidmykey1,72013560752,0.007819034537882191,187031306,189908710,0.0187 EOS,0.0189 DEOS
wocaeos12345,3203141998,0.00034778835611746074,8319097,8447083,0.0008 EOS,0.0008 DEOS
jianjiandeos,215776554,2.342842529341732e-05,560407,569029,0.0000 EOS,0.0000 DEOS
chinaxiongan,38038658056,0.0041301329639681006,98792780,100312669,0.0098 EOS,0.0100 DEOS
gi4dcmbvgene,57926383004,0.006289487488650379,150444540,152759072,0.0150 EOS,0.0152 DEOS
zhanglaoda15,752810520,8.173809758737108e-05,1955175,1985254,0.0001 EOS,0.0001 DEOS
chenghao5555,7922782042,0.0008602339028318403,20576794,20893361,0.0020 EOS,0.0020 DEOS
xiyatueos222,19780808040,0.0021477457806123304,51374079,52164449,0.0051 EOS,0.0052 DEOS
eosredbluepk,5303011959,0.0005757864661770904,13772812,13984701,0.0013 EOS,0.0013 DEOS
jablanjablan,3608905657,0.00039184505919959985,9372933,9517132,0.0009 EOS,0.0009 DEOS
fqhzmseosqbo,732073839,7.948656574743853e-05,1901318,1930569,0.0001 EOS,0.0001 DEOS
2wagfysfagqi,1685889786,0.0001830492802486609,4378538,4445900,0.0004 EOS,0.0004 DEOS
depurantsave,27004936035,0.0029321217468766827,70136352,71215372,0.0070 EOS,0.0071 DEOS
gyztemzwgage,720558748,7.823628880937786e-05,1871412,1900202,0.0001 EOS,0.0001 DEOS
wujiliushou2,56539643328,0.006138919105300519,146842944,149102067,0.0146 EOS,0.0149 DEOS
4u11nxnaxiwz,6848855426,0.0007436299019468856,17787627,18061283,0.0017 EOS,0.0018 DEOS
eosbigamevip,80939977678,0.008788240358495522,210214709,213448781,0.0210 EOS,0.0213 DEOS
zudfather123,28218498,3.0638869702472218e-06,73288,74415,0.0000 EOS,0.0000 DEOS
eosadaideeos,18573451001,0.002016654271056139,48238370,48980498,0.0048 EOS,0.0048 DEOS
szsjlykp1234,113548127,1.2328743606809859e-05,294903,299440,0.0000 EOS,0.0000 DEOS
wushunpen123,355279478,3.8575269436397166e-05,922720,936916,0.0000 EOS,0.0000 DEOS
yushow333333,721035329,7.828803466474435e-05,1872649,1901459,0.0001 EOS,0.0001 DEOS
manuinfinito,576173451,6.255933002250071e-05,1496419,1519441,0.0001 EOS,0.0001 DEOS
nanamei12345,14799100358,0.0016068456499086945,38435747,39027067,0.0038 EOS,0.0039 DEOS
xiaoheizhang,7212995034,0.0007831671799516231,18733358,19021564,0.0018 EOS,0.0019 DEOS
yc5p4iduinwz,1511590920,0.00016412438834030114,3925855,3986253,0.0003 EOS,0.0003 DEOS
he2dgnygenes,44995901230,0.004885531309750361,116861908,118659784,0.0116 EOS,0.0118 DEOS
gezdqojug4ge,71642162116,0.007778709094564549,186066721,188929286,0.0186 EOS,0.0188 DEOS
gu3dgmzygige,7204335824,0.0007822269867247677,18710869,18998729,0.0018 EOS,0.0018 DEOS
gy4tomzqgage,290401434,3.1530989699512303e-05,754221,765824,0.0000 EOS,0.0000 DEOS
yunruzeng123,1300235538,0.0001411760017535514,3376929,3428882,0.0003 EOS,0.0003 DEOS
zengxiangang,5925485867,0.000643372972590014,15389481,15626242,0.0015 EOS,0.0015 DEOS
zhaogongzizj,5019792344,0.0005450352586494278,13037243,13237816,0.0013 EOS,0.0013 DEOS
blocklife223,5768080031,0.000626282279458109,14980672,15211144,0.0014 EOS,0.0015 DEOS
eoseoseosmmm,7118726447,0.0007729317558190943,18488527,18772966,0.0018 EOS,0.0018 DEOS
javascriptok,103926800,1.1284086359929184e-05,269915,274067,0.0000 EOS,0.0000 DEOS
liwancen2222,1799929635,0.00019543141367901076,4674719,4746638,0.0004 EOS,0.0004 DEOS
aaaaaaaaasss,1440638031,0.00015642051862659428,3741578,3799141,0.0003 EOS,0.0003 DEOS
infos4eosram,129382729,1.4048021179515912e-05,336028,341198,0.0000 EOS,0.0000 DEOS
ozrvinzilofl,28775569277,0.0031243722387083316,74734983,75884752,0.0074 EOS,0.0075 DEOS
sfsfisfi2135,11515289275,0.0012502984662153202,29907139,30367249,0.0029 EOS,0.0030 DEOS
zhanggucheng,89017492,9.665274667095545e-06,231193,234750,0.0000 EOS,0.0000 DEOS
hlh111111111,1491839125,0.00016197979271584607,3874556,3934165,0.0003 EOS,0.0003 DEOS
ckeospocket1,27575243700,0.002994044185974101,71617536,72719345,0.0071 EOS,0.0072 DEOS
llslove21235,270053434,2.9321659774489704e-05,701374,712164,0.0000 EOS,0.0000 DEOS
u4wfwhpse.tp,536817020,5.828611689342723e-05,1394203,1415653,0.0001 EOS,0.0001 DEOS
zhengyao1.tp,206921578,2.2466976332234062e-05,537410,545677,0.0000 EOS,0.0000 DEOS
ayilionervin,5023263959,0.0005454121970663561,13046259,13246971,0.0013 EOS,0.0013 DEOS
gm3tsobqgmge,20525231167,0.002228573198115771,53307470,54127585,0.0053 EOS,0.0054 DEOS
longlongcode,29851563,3.2412006803910708e-06,77529,78722,0.0000 EOS,0.0000 DEOS
yjm133133.tp,795832590,8.640931572612758e-05,2066910,2098709,0.0002 EOS,0.0002 DEOS
ftsxnexux.tp,29834364987,0.003239333367398549,77484854,78676928,0.0077 EOS,0.0078 DEOS
haydgnrwgege,2173375190,0.0002359791058368727,5644620,5731460,0.0005 EOS,0.0005 DEOS
seraphim2eos,800338840,8.689859196824636e-05,2078614,2110593,0.0002 EOS,0.0002 DEOS
sm5kiiy2jddy,39721332,4.312833076929326e-06,103162,104750,0.0000 EOS,0.0000 DEOS
