owner,lptoken,lpratio,amount1,amount2,token1,token2
eos1e1o1s2e2,903479178427,0.002345324522149145,720371117,21173757181154,0.0720 EOS,0.0021173757 DMD
eszhengzhike,74264034635,0.0001927806038058816,59212948,1740437050682,0.0059 EOS,0.0001740437 DMD
goodboystudy,97168761914,0.00025223855241528345,77475575,2277227654479,0.0077 EOS,0.0002277227 DMD
zhbjmswboeos,34624187892,8.988027489907269e-05,27606906,811445536903,0.0027 EOS,0.0000811445 DMD
christopherq,33523866187,8.702397058281559e-05,26729586,785658617670,0.0026 EOS,0.0000785658 DMD
g44dcnzygige,732706770675,0.0019020196567237602,584209141,17171569215653,0.0584 EOS,0.0017171569 DMD
ge2dqojzgage,278744168283,0.000723586717757447,222251107,6532592533192,0.0222 EOS,0.0006532592 DMD
imntplaydefi,102477582970,0.000266019620649768,81708458,2401644122110,0.0081 EOS,0.0002401644 DMD
littleteapot,57671885866,0.00014970935843326163,45983528,1351586773291,0.0045 EOS,0.0001351586 DMD
dtest2111111,22400028,5.814780929062911e-08,17860,524962572,0.0000 EOS,0.0000000524 DMD
ez2eosfamily,1466685075559,0.0038073400650667343,1169432115,34372937852512,0.1169 EOS,0.0034372937 DMD
jimmymorison,3645363743,9.462930837539037e-06,2906558,85432015008,0.0002 EOS,0.0000085432 DMD
smallairdrop,325421635462,0.0008447558725323469,259468455,7626516310827,0.0259 EOS,0.0007626516 DMD
zengzhiwei22,7541240380884,0.01957616336383303,6012857729,176735000077768,0.6012 EOS,0.0176735000 DMD
gy2dcnrtgyge,47125935532,0.00012233332529571918,37574925,1104433992188,0.0037 EOS,0.0001104433 DMD
haydinjwgage,2978503655351,0.007731841340680093,2374850531,69803615476103,0.2374 EOS,0.0069803615 DMD
haydqmbygmge,5680670197314,0.014746344391907674,4529369172,133131049675727,0.4529 EOS,0.0133131049 DMD
mingyuan5.tp,60675903526,0.0001575074310963566,48378722,1421988329873,0.0048 EOS,0.0001421988 DMD
shoshoona111,440361175427,0.0011431252517955096,351113207,10320216362631,0.0351 EOS,0.0010320216 DMD
zhanglaoda15,55364968498,0.00014372087524191452,44144154,1297522319617,0.0044 EOS,0.0001297522 DMD
dingweneos33,128315516336,0.0003330918234983604,102309819,3007176756639,0.0102 EOS,0.0003007176 DMD
geytomrsgmge,4641914081,1.2049857023637376e-05,3701137,108786969255,0.0003 EOS,0.0000108786 DMD
