owner,lptoken,lpratio,amount1,amount2,token1,token2
jimmymorison,3645363743,1.0376836148489997e-05,74765,7715770193,0.0000 EOS,0.0000007715 DMD
ozrvinzilofl,40903174291,0.0001164343444151152,838909,86575583473,0.0000 EOS,0.0000086575 DMD
penpacn12345,33583681789,9.559879006770503e-05,688789,71083159106,0.0000 EOS,0.0000071083 DMD
gy4tomzqgage,4825117297,1.373510440058545e-05,98961,10212834396,0.0000 EOS,0.0000010212 DMD
haytmmbzgage,21785787912,6.201508751017883e-05,446818,46111758625,0.0000 EOS,0.0000046111 DMD
hekey5134qih,112754426407,0.0003209650093462327,2312552,238655811550,0.0002 EOS,0.0000238655 DMD
ieosblochain,2553480298271,0.007268697592781081,52370966,5404691702865,0.0052 EOS,0.0005404691 DMD
gi2dmobxguge,60131658118,0.00017116984960024727,1233278,127274556976,0.0001 EOS,0.0000127274 DMD
jacloneoskey,1330245,3.7866548787770935e-09,27,2815594,0.0000 EOS,0.0000000002 DMD
liaishan1234,146886728632,0.0004181254938766692,3012594,310900179663,0.0003 EOS,0.0000310900 DMD
xiaojie32145,82634496392,0.0002352260816000473,1694803,174904023078,0.0001 EOS,0.0000174904 DMD
gu2damjshage,583094348025,0.0016598273684443202,11959056,1234176424581,0.0011 EOS,0.0001234176 DMD
gu3tonrwgege,1630077738380,0.004640154122603398,33432310,3450219542956,0.0033 EOS,0.0003450219 DMD
richdongdong,89889129897,0.00025587700932798316,1843593,190259167012,0.0001 EOS,0.0000190259 DMD
ruansihua111,257153478645,0.0007320091220080439,5274125,544290579933,0.0005 EOS,0.0000544290 DMD
chaoyongwang,4715073951,1.3421856710868251e-05,96704,9979916852,0.0000 EOS,0.0000009979 DMD
comeonbaby23,44484386338,0.00012662856733623715,912358,94155570305,0.0000 EOS,0.0000094155 DMD
fuyongquan11,493891489,1.405903887184942e-06,10129,1045369817,0.0000 EOS,0.0000001045 DMD
ge4danzvguge,92363038075,0.0002629191981517489,1894332,195495436512,0.0001 EOS,0.0000195495 DMD
eoschen44444,18465063071,5.256236344788283e-05,378711,39083118534,0.0000 EOS,0.0000039083 DMD
eoskidultlab,103809635517,0.00029550290570122035,2129098,219723283604,0.0002 EOS,0.0000219723 DMD
excellentapp,13075705544440,0.037221101521378704,268178036,27676014306041,0.0268 EOS,0.0027676014 DMD
galaxysuming,435819975185,0.0012405984125501634,8938511,922455757900,0.0008 EOS,0.0000922455 DMD
4iwsoqf2fwg3,42717294648,0.0001215983914143694,876116,90415347284,0.0000 EOS,0.0000090415 DMD
bryanchoesen,157407611823,0.0004480740775317433,3228373,333168661674,0.0003 EOS,0.0000333168 DMD
dingweneos33,128315516336,0.00036526096768378473,2631705,271592385874,0.0002 EOS,0.0000271592 DMD
eeretpahduna,21845237390,6.218431547638765e-05,448037,46237589281,0.0000 EOS,0.0000046237 DMD
woilsy123123,3576614902693,0.010181136761114913,73355090,7570256524797,0.0073 EOS,0.0007570256 DMD
gothamdefigo,23680573749,6.740875561937209e-05,485680,50122258842,0.0000 EOS,0.0000050122 DMD
hehuanyangya,2207260174805,0.006283152734763696,45270115,4671882826317,0.0045 EOS,0.0004671882 DMD
seraphim3eos,502422611908,0.0014301884499391905,10304507,1063426776290,0.0010 EOS,0.0001063426 DMD
tanduoroueos,121030673652,0.00034452404697331995,2482295,256173301247,0.0002 EOS,0.0000256173 DMD
liupinglylaa,67280056599,0.00019151837034907278,1379889,142404844053,0.0001 EOS,0.0000142404 DMD
wxinyx121314,170356089757,0.0004849330149015651,3493942,360575386254,0.0003 EOS,0.0000360575 DMD
zengfantian1,28772720606,8.190398224266967e-05,590118,60900287514,0.0000 EOS,0.0000060900 DMD
ez2eosfamily,2028285180390,0.005773685278933633,41599402,4293064682316,0.0041 EOS,0.0004293064 DMD
gyztemzwgage,529762660812,0.0015080142110345796,10865242,1121294673515,0.0010 EOS,0.0001121294 DMD
heztsnygenes,949283650154,0.00270221618213109,19469467,2009252027958,0.0019 EOS,0.0002009252 DMD
kingandsword,95200138467,0.0002709952443244067,1952520,201500437983,0.0001 EOS,0.0000201500 DMD
gyztimzshage,16331593068,4.648926067690114e-05,334955,34567419850,0.0000 EOS,0.0000034567 DMD
kidzhang1.tp,191093260316,0.0005439631244447471,3919254,404467643319,0.0003 EOS,0.0000404467 DMD
manuinfinito,129720068317,0.0003692591436674191,2660512,274565258013,0.0002 EOS,0.0000274565 DMD
q1q1q1q1q1q1,257495818097,0.0007329836202065815,5281146,545015174988,0.0005 EOS,0.0000545015 DMD
aaaaajackeos,1381663301739,0.003933021422638124,28337419,2924426003254,0.0028 EOS,0.0002924426 DMD
eostuo.com,106667678796,0.0003036385675726662,2187715,225772612752,0.0002 EOS,0.0000225772 DMD
eoswanglawhu,5538326171,1.576531376977625e-05,113589,11722410987,0.0000 EOS,0.0000011722 DMD
ge2tqmrrgige,17113829761,4.871596356990725e-05,350998,36223100595,0.0000 EOS,0.0000036223 DMD
ivanchen5555,589335250483,0.0016775926250252942,12087054,1247385907245,0.0012 EOS,0.0001247385 DMD
jennifer1314,57344424970,0.00016323575475443808,1176113,121375104421,0.0001 EOS,0.0000121375 DMD
mykey1231122,27248156733,7.756418226018317e-05,558849,57673398425,0.0000 EOS,0.0000057673 DMD
oorwullie313,802473,2.2843072520752873e-09,16,1698512,0.0000 EOS,0.0000000001 DMD
biquandakaig,27558255228,7.844690384830654e-05,565209,58329752329,0.0000 EOS,0.0000058329 DMD
budakangon12,62255358,1.7721514089563543e-07,1276,131769576,0.0000 EOS,0.0000000131 DMD
eoskywallets,5010729770361,0.014263466001504313,102768272,10605701416027,0.0102 EOS,0.0010605701 DMD
huyuepeng123,121037944937,0.0003445447453009365,2482444,256188691636,0.0002 EOS,0.0000256188 DMD
senoisierors,143429144341,0.0004082831878170349,2941680,303581863111,0.0002 EOS,0.0000303581 DMD
cryptoquants,124997917030,0.00035581714072116326,2563662,264570361284,0.0002 EOS,0.0000264570 DMD
fedeoskassad,373113829389,0.0010621000660743403,7652430,789732045040,0.0007 EOS,0.0000789732 DMD
ge3dknbsg4ge,55375040147,0.00015762973432346294,1135722,117206708127,0.0001 EOS,0.0000117206 DMD
tony11lynx11,29429076467,8.377235470283271e-05,603579,62289529123,0.0000 EOS,0.0000062289 DMD
namxqafb4btt,391686928542,0.0011149699633652291,8033358,829043832546,0.0008 EOS,0.0000829043 DMD
qypmsm2i5n3g,482204993228,0.0013726372887531858,9889851,1020634201777,0.0009 EOS,0.0001020634 DMD
reimon123eos,6381412380,1.8165229955546192e-05,130880,13506885706,0.0000 EOS,0.0000013506 DMD
tsni24nikqfp,3145567611522,0.008954124197191488,64514464,6657902621103,0.0064 EOS,0.0006657902 DMD
12345ssdlhxx,5054305172,1.4387507067030582e-05,103661,10697933030,0.0000 EOS,0.0000010697 DMD
aaaaa1112221,2654518678,7.5563118845427875e-06,54443,5618549351,0.0000 EOS,0.0000005618 DMD
aseasyasabcd,1835507735453,0.005224927980549595,37645606,3885032296926,0.0037 EOS,0.0003885032 DMD
hlec3qjo5cbo,7306660144,2.0799025955251656e-05,149856,15465263422,0.0000 EOS,0.0000015465 DMD
whowhatwhere,6352291911,1.8082336078094198e-05,130283,13445249375,0.0000 EOS,0.0000013445 DMD
zhouyutin.m,21768454740,6.19657471703779e-05,446463,46075071265,0.0000 EOS,0.0000046075 DMD
jamiedornan4,149506082698,0.00042558170671961427,3066316,316444299661,0.0003 EOS,0.0000316444 DMD
sonnimsonnim,1566831952947,0.004460119646268619,32135162,3316353629832,0.0032 EOS,0.0003316353 DMD
aimtftw12345,6627478058922,0.018865676718052036,135927200,14027707870012,0.0135 EOS,0.0014027707 DMD
depurantsave,806883243803,0.002296861383993262,16548886,1707847589784,0.0016 EOS,0.0001707847 DMD
flybottle123,875537417531,0.0024922912949461628,17956958,1853160887625,0.0017 EOS,0.0001853160 DMD
ha3tinjyhege,51957560711,0.00014790159012487562,1065630,109973277438,0.0001 EOS,0.0000109973 DMD
wangwenbo123,1789275418,5.093323779488458e-06,36697,3787177058,0.0000 EOS,0.0000003787 DMD
adaloveyyy33,46600599927,0.0001326525482655556,955761,98634744095,0.0000 EOS,0.0000098634 DMD
kakaxisai.tp,42710341324,0.00012157859818962635,875973,90400629891,0.0000 EOS,0.0000090400 DMD
lvbesteos333,516957,1.4715618146792282e-09,10,1094190,0.0000 EOS,0.0000000001 DMD
mykey4444444,577581564,1.6441347625529913e-06,11845,1222508076,0.0000 EOS,0.0000001222 DMD
malingyun321,2400467091323,0.006833132560319412,49232720,5080824230466,0.0049 EOS,0.0005080824 DMD
serendipity4,159641116971,0.00045443193880199647,3274182,337896094562,0.0003 EOS,0.0000337896 DMD
zws112233445,24794272167,7.05789923411835e-05,508521,52479510866,0.0000 EOS,0.0000052479 DMD
chenqiji1234,62691894518,0.00017845777900789977,1285788,132693548631,0.0001 EOS,0.0000132693 DMD
dneldnel1111,4946073441603,0.014079416294318572,101442194,10468849949496,0.0101 EOS,0.0010468849 DMD
haydgnrwgege,13712713420,3.903439830491009e-05,281242,29024304003,0.0000 EOS,0.0000029024 DMD
