owner,lptoken,lpratio,amount1,amount2,token1,token2
gy2dkmrvhege,445245866563,0.0011181609066056918,240943548,3342303619533,0.0240 EOS,0.0003342303 DMD
ivan22223333,17813551609,4.473577075682603e-05,9639753,133720046587,0.0009 EOS,0.0000133720 DMD
hekey5134qih,112677928307,0.0002829718677520368,60975344,845833450468,0.0060 EOS,0.0000845833 DMD
zs1122334455,50959739971,0.00012797690742470064,27576719,382536787304,0.0027 EOS,0.0000382536 DMD
253tthnqgqh1,245265255725,0.0006159428785208912,132724603,1841119735222,0.0132 EOS,0.0001841119 DMD
dinosaur.x,1854457981054,0.00465716264446017,1003534720,13920761735969,0.1003 EOS,0.0013920761 DMD
gliuzdkk5ptu,64152486937,0.0001611082962054537,34715937,481570083843,0.0034 EOS,0.0000481570 DMD
wynwym123.tp,122547555270,0.00030775779360014694,66316264,919921257676,0.0066 EOS,0.0000919921 DMD
namxqafb4btt,391686928542,0.0009836565457753692,211960279,2940255569569,0.0211 EOS,0.0002940255 DMD
richdongdong,89889129897,0.00022574159251718644,48643249,674765981615,0.0048 EOS,0.0000674765 DMD
wenquanijl12,5919115111,1.4864872682389569e-05,3203112,44432708634,0.0003 EOS,0.0000044432 DMD
kezdiswho555,589340859142,0.0014800315035934286,318920148,4423973886280,0.0318 EOS,0.0004423973 DMD
saundersca21,1932126240,4.852213553091698e-06,1045564,14503789951,0.0001 EOS,0.0000014503 DMD
4iwsoqf2fwg3,42717294648,0.00010727737750843706,23116343,320663658532,0.0023 EOS,0.0000320663 DMD
eosotcotc111,2922378109,7.339066347832576e-06,1581436,21937261331,0.0001 EOS,0.0000021937 DMD
gothamdefigo,23680573749,5.946982061062702e-05,12814675,177761711669,0.0012 EOS,0.0000177761 DMD
huyuepeng123,111178238766,0.00027920564701261447,60163791,834575810235,0.0060 EOS,0.0000834575 DMD
reimon123eos,6381412380,1.6025855348925416e-05,3453283,47903011116,0.0003 EOS,0.0000047903 DMD
richsingsing,2712419317699,0.006811789779847317,1467818085,20361174766693,0.1467 EOS,0.0020361174 DMD
11.bank,127906842000,0.0003212167504570294,69216427,960151532185,0.0069 EOS,0.0000960151 DMD
beiyongjin11,30394148666,7.632984690060892e-05,16447708,228158149750,0.0016 EOS,0.0000228158 DMD
gezdqojug4ge,142819128543,0.00035866647676038497,77286169,1072092805605,0.0077 EOS,0.0001072092 DMD
gi2dmobxguge,60131658118,0.00015101065367759616,32540077,451387140610,0.0032 EOS,0.0000451387 DMD
gu4domjzhage,573637466885,0.0014405950469264302,310422301,4306094061399,0.0310 EOS,0.0004306094 DMD
hecheng11.tp,1198148601482,0.0030089508451211886,648374746,8994078796024,0.0648 EOS,0.0008994078 DMD
shimrise5555,2960154368297,0.007433935137227006,1601879211,22220834380583,0.1601 EOS,0.0022220834 DMD
wangzeyua.tp,118131754720,0.00029666824529171976,63926666,886773401020,0.0063 EOS,0.0000886773 DMD
eossalmon.tp,13444168318,3.376279167071693e-05,7275273,100920627916,0.0007 EOS,0.0000100920 DMD
ge2tqmrrgige,17113829761,4.297853576670449e-05,9261100,128467481564,0.0009 EOS,0.0000128467 DMD
richrichrich,1390532008383,0.0034920897596648817,752482485,10438233150981,0.0752 EOS,0.0010438233 DMD
imntplaydefi,76858187588,0.00019301654920879174,41591592,576947295545,0.0041 EOS,0.0000576947 DMD
maojianhua11,5231698301067,0.013138539747860424,2831118821,39272513191287,0.2831 EOS,0.0039272513 DMD
g44dcnzygige,78008787936,0.0001959060905271466,42214236,585584446379,0.0042 EOS,0.0000585584 DMD
gu4tmmzvhage,683378382225,0.0017161910953199537,369808289,5129880391821,0.0369 EOS,0.0005129880 DMD
superw4lox11,2413473711418,0.006061037633117048,1306044511,18117095580446,0.1306 EOS,0.0018117095 DMD
mykey4444444,320686479,8.053507309631364e-07,173538,2407280246,0.0000 EOS,0.0000002407 DMD
mysteorrrrrr,749594139,1.882480950403066e-06,405640,5626938714,0.0000 EOS,0.0000005626 DMD
oasis5555555,68370296561,0.00017170062324819052,36998393,513231692476,0.0036 EOS,0.0000513231 DMD
serendipity4,159641116971,0.00040091210158057963,86389341,1198369537256,0.0086 EOS,0.0001198369 DMD
enjhwbyayqxc,2427083378797,0.006095216048141034,1313409344,18219258551419,0.1313 EOS,0.0018219258 DMD
icenine22.tp,2284487779,5.737110926631871e-06,1236244,17148843697,0.0001 EOS,0.0000017148 DMD
ivanchen5555,589335250483,0.0014800174183796104,318917113,4423931784056,0.0318 EOS,0.0004423931 DMD
fuyongquan11,493891489,1.2403262929043598e-06,267267,3707469143,0.0000 EOS,0.0000003707 DMD
initialch123,26529267100,6.662383994961411e-05,14356238,199145847520,0.0014 EOS,0.0000199145 DMD
haytgnzzhege,221355150336,0.0005558966273896211,119785717,1661635010519,0.0119 EOS,0.0001661635 DMD
kylehongmoac,341933529,8.587091616075113e-07,185036,2566774354,0.0000 EOS,0.0000002566 DMD
pra1xwjkzb2w,9845817380,2.472613204223229e-05,5328036,73909077068,0.0005 EOS,0.0000073909 DMD
1coin1beauty,288580839057,0.0007247227585061675,156164709,2166274535805,0.0156 EOS,0.0002166274 DMD
mouthgeneral,2008232909361,0.005043342789323236,1086749590,15075095864754,0.1086 EOS,0.0015075095 DMD
oolongtea111,156233610407,0.0003923547158415972,84545378,1172790587786,0.0084 EOS,0.0001172790 DMD
liujinzhoutp,28656863837,7.196694513035275e-05,15507581,215116965523,0.0015 EOS,0.0000215116 DMD
qyl121212111,247577370380,0.000621749369749587,133975797,1858475964130,0.0133 EOS,0.0001858475 DMD
wuyiming1234,283359024676,0.0007116090405789076,153338939,2127076217714,0.0153 EOS,0.0002127076 DMD
xiaoming1124,475249191983,0.001193509265955516,257179763,3567527997074,0.0257 EOS,0.0003567527 DMD
christopherq,33523866187,8.418961168116734e-05,18141345,251651834889,0.0018 EOS,0.0000251651 DMD
gu3tonrwgege,1630077738380,0.004093669001027852,882111983,12236418424643,0.0882 EOS,0.0012236418 DMD
gy4tomzqgage,4825117297,1.211747920972316e-05,2611098,36220453051,0.0002 EOS,0.0000036220 DMD
