owner,lptoken,lpratio,amount1,amount2,token1,token2
aprilsummers,2150942460,0.011252537005555674,85271725,65017158,0.00000085 PBTC,0.0065 EOS
exchangetran,581759680,0.003043443722590435,23063216,17585017,0.00000023 PBTC,0.0017 EOS
gezdqojug4ge,73925830,0.0003867389078094715,2930707,2234577,0.00000002 PBTC,0.0002 EOS
runningbank1,460099647,0.002406985960986889,18240139,13907564,0.00000018 PBTC,0.0013 EOS
wushunpen123,45557157,0.000238329757556792,1806062,1377069,0.00000001 PBTC,0.0001 EOS
artclimber12,13311365717,0.06963767655831558,527714312,402366495,0.00000527 PBTC,0.0402 EOS
geytomrsgmge,47870017,0.00025042935725443777,1897753,1446980,0.00000001 PBTC,0.0001 EOS
jesstineseos,13359219764,0.06988802236939465,529611433,403812993,0.00000529 PBTC,0.0403 EOS
jiaxueyifang,11947810,6.250430992949396e-05,473657,361149,0.00000000 PBTC,0.0000 EOS
lovetomorrow,4236115855,0.022161006770124673,167936109,128046297,0.00000167 PBTC,0.0128 EOS
tlsodo123123,51722379,0.0002705827768692965,2050476,1563427,0.00000002 PBTC,0.0001 EOS
zhoupeng3333,5281936027,0.02763215739615611,209396488,159658605,0.00000209 PBTC,0.0159 EOS
hiroyama1234,111364232,0.000582595845764878,4414911,3366238,0.00000004 PBTC,0.0003 EOS
larkspur5555,2323362828,0.012154544663831911,92107139,70228959,0.00000092 PBTC,0.0070 EOS
tanduoroueos,402725,2.106833655402576e-06,15965,12173,0.00000000 PBTC,0.0000 EOS
whowhatwhere,45496522,0.00023801254889406845,1803659,1375236,0.00000001 PBTC,0.0001 EOS
wwiinnwwiinn,2071280559,0.010835790158252557,82113617,62609195,0.00000082 PBTC,0.0062 EOS
alannice1.m,34422557556,0.18007971385936566,1364644071,1040500586,0.00001364 PBTC,0.1040 EOS
cassiecheng1,15774693,8.252443755923628e-05,625370,476826,0.00000000 PBTC,0.0000 EOS
focusandview,747250536,0.003909200020516268,29623917,22587357,0.00000029 PBTC,0.0022 EOS
ggkyoik4qxhe,27500054,0.0001438650177977236,1090209,831252,0.00000001 PBTC,0.0000 EOS
manto11chris,8524906330,0.044597577913460695,337960445,257684805,0.00000337 PBTC,0.0257 EOS
hurseybabubi,604093233,0.0031602804749775904,23948605,18260100,0.00000023 PBTC,0.0018 EOS
alohadog2222,3079051997,0.016107890928087683,122065597,93071393,0.00000122 PBTC,0.0093 EOS
funnycapital,9824861,5.139821916804819e-05,389495,296978,0.00000000 PBTC,0.0000 EOS
gu3tambqgqge,187935015,0.0009831716795098092,7450474,5680765,0.00000007 PBTC,0.0005 EOS
haytgnzzhege,252455361,0.0013207063158274428,10008312,7631041,0.00000010 PBTC,0.0007 EOS
jungyublee11,1552618783,0.008122439645004876,61551847,46931456,0.00000061 PBTC,0.0046 EOS
1rwk5c5eosda,1335265960,0.006985370323276255,52935136,40361469,0.00000052 PBTC,0.0040 EOS
comefromhere,42544962059,0.22257162563468091,1686647779,1286018852,0.00001686 PBTC,0.1286 EOS
dhedgeinvest,11323722,5.923942793226785e-05,448916,342285,0.00000000 PBTC,0.0000 EOS
fastecoadmin,10576312003,0.055329393700313194,419286145,319693236,0.00000419 PBTC,0.0319 EOS
gu4tqobrg4ge,3409159073,0.01783482791388031,135152325,103049635,0.00000135 PBTC,0.0103 EOS
haztqnjuhage,2855546862,0.014938636125000472,113204984,86315439,0.00000113 PBTC,0.0086 EOS
imkeymiao325,2911283821,0.015230220956016659,115414614,88000216,0.00000115 PBTC,0.0088 EOS
eosbetterone,1133430869,0.005929481161788785,44933608,34260542,0.00000044 PBTC,0.0034 EOS
gm3dmnrtg4ge,29340176744,0.15349151857897864,1163158727,886873994,0.00001163 PBTC,0.0886 EOS
icenine22.tp,2506850,1.3114447697674462e-05,99381,75775,0.00000000 PBTC,0.0000 EOS
kylehongmoac,509967862,0.002667868781017559,20217109,15414945,0.00000020 PBTC,0.0015 EOS
sakatsukieos,2306053394,0.012063991313264726,91420926,69705741,0.00000091 PBTC,0.0069 EOS
depurantsave,563068013,0.0029456592962171587,22322206,17020019,0.00000022 PBTC,0.0017 EOS
yuyong521521,64383529,0.00033681888571801544,2552413,1946139,0.00000002 PBTC,0.0001 EOS
