owner,lptoken,lpratio,amount1,amount2,token1,token2
yc5p4iduinwz,3151651062,2.0602681149615912e-05,12211980770,2892492,1.2211 KEY,0.0002 EOS
azazazazazax,92949878,6.076233255703289e-07,360161102,85306,0.0360 KEY,0.0000 EOS
chenchenghui,66644914,4.356649535035277e-07,258234935,61164,0.0258 KEY,0.0000 EOS
ge3dknbsg4ge,22218876281,0.00014524717822972206,86093442624,20391832,8.6093 KEY,0.0020 EOS
gm3dmnrtg4ge,760809666757,0.004973494422886086,2947976421704,698248776,294.7976 KEY,0.0698 EOS
konglong1314,4494417669,2.9380490532110496e-05,17414917155,4124844,1.7414 KEY,0.0004 EOS
bml123454321,278870005855,0.0018230031497129258,1080562245594,255938704,108.0562 KEY,0.0255 EOS
chenqiji1234,28190749479,0.0001842859540789284,109233187228,25872642,10.9233 KEY,0.0025 EOS
lll133333333,19529972140,0.0001276695233532493,75674508225,17924035,7.5674 KEY,0.0017 EOS
shiyinjun123,38397640169,0.0002510094936707784,148782728208,35240226,14.8782 KEY,0.0035 EOS
wodehehuoren,509334636307,0.003329575166747538,1973563907239,467452375,197.3563 KEY,0.0467 EOS
chaojie12345,338506984431,0.002212856477431286,1311642914500,310671772,131.1642 KEY,0.0310 EOS
eosdappftw11,562059870232,0.0036742456780846484,2177863028598,515842047,217.7863 KEY,0.0515 EOS
lcywjp123123,871699216570,0.005698391307940326,3377649955764,800019949,337.7649 KEY,0.0800 EOS
sleepingnoon,1062172284943,0.006943534192758173,4115692779177,974830539,411.5692 KEY,0.0974 EOS
ts2eoscompte,40140217859,0.000262400911000691,155534847913,36839513,15.5534 KEY,0.0036 EOS
fortunately1,1468569374167,0.009600195569509938,5690395479773,1347809856,569.0395 KEY,0.1347 EOS
ivylm5555555,3601041710,2.3540396033092844e-05,13953274410,3304930,1.3953 KEY,0.0003 EOS
zhw12345key1,5825083012,3.807919265342842e-05,22570963703,5346090,2.2570 KEY,0.0005 EOS
asdfgh123445,5374411868,3.5133107030208295e-05,20824708412,4932477,2.0824 KEY,0.0004 EOS
eoscatsister,11796009904,7.711178239877858e-05,45707041572,10826031,4.5707 KEY,0.0010 EOS
zysqq1122334,182636714043,0.0011939157957587083,707678609068,167618614,70.7678 KEY,0.0167 EOS
imrealwjdadi,430160408808,0.002812004746564693,1666780534114,394788594,166.6780 KEY,0.0394 EOS
czstothemoon,203176164051,0.0013281843842472964,787264630361,186469118,78.7264 KEY,0.0186 EOS
g44dsmzygege,8080245107,5.282142923671958e-05,31309239482,7415811,3.1309 KEY,0.0007 EOS
jianbin54321,11837851632,7.738530626413502e-05,45869169412,10864432,4.5869 KEY,0.0010 EOS
mytaobao2222,255597316226,0.0016708670805581165,990385499302,234579712,99.0385 KEY,0.0234 EOS
zhaojinsong3,16164483293,0.00010566896165930074,62633951300,14835288,6.2633 KEY,0.0014 EOS
gududewulang,59944686235,0.00039186484570082617,232272970952,55015473,23.2272 KEY,0.0055 EOS
hellomykey11,2915755724,1.9060608014650672e-05,11297936266,2675995,1.1297 KEY,0.0002 EOS
jacloneoskey,6986890155,4.567405060365642e-05,27072720468,6412362,2.7072 KEY,0.0006 EOS
kdjrxdtqjzh5,571032,3.7328974530453504e-09,2212628,524,0.0002 KEY,0.0000 EOS
2kwfkbzxjqbz,31806630,2.079233530116628e-07,123243958,29191,0.0123 KEY,0.0000 EOS
buildmydream,797106142049,0.005210768376310815,3088617580758,731560615,308.8617 KEY,0.0731 EOS
luzuobinwqxy,21048362811,0.00013759540608574715,81557950685,19317569,8.1557 KEY,0.0019 EOS
yunruzeng123,86594984,5.660807016421196e-07,335537233,79474,0.0335 KEY,0.0000 EOS
baoooooooooo,1301143072596,0.008505711872086345,5041653999518,1194150912,504.1653 KEY,0.1194 EOS
linkboy12345,282281738903,0.0018453060147105964,1093781989010,259069892,109.3781 KEY,0.0259 EOS
longlongcode,124670706321,0.0008149857838002525,483072598535,114419114,48.3072 KEY,0.0114 EOS
mingxiangtan,13994665517,9.148463004635623e-05,54226366693,12843893,5.4226 KEY,0.0012 EOS
eosotcotc111,15698159960,0.00010262055599718142,60827047089,14407310,6.0827 KEY,0.0014 EOS
jackyhe44444,2579189319,1.686043731317487e-05,9993812686,2367104,0.9993 KEY,0.0002 EOS
jxycwzztyang,189287899388,0.001237395307999849,733450544455,173722876,73.3450 KEY,0.0173 EOS
mykeyeos2222,62396247018,0.000407890961580228,241772250076,57265443,24.1772 KEY,0.0057 EOS
tanduoroueos,9246112652,6.0442830470483596e-05,35826729445,8485810,3.5826 KEY,0.0008 EOS
bihukeymykey,5910861210753,0.03863993394227369,22903336067671,5424814885,2290.3336 KEY,0.5424 EOS
rn443bv3pyrp,6746768315,4.410434837163341e-05,26142299164,6191985,2.6142 KEY,0.0006 EOS
wangchengjia,6908553505,4.516195551745266e-05,26769182531,6340467,2.6769 KEY,0.0006 EOS
xiyatueos222,447455394041,0.00292506392070331,1733794941144,410661424,173.3794 KEY,0.0410 EOS
eoscosmossoe,676908424280,0.004425022998605601,2622876866084,621246678,262.2876 KEY,0.0621 EOS
333kkk333kkk,5276626964,3.449387662090044e-05,20445812606,4842733,2.0445 KEY,0.0004 EOS
eoslihanhan2,10865774,7.103073048439735e-08,42102574,9972,0.0042 KEY,0.0000 EOS
fajiaojun123,272372891,1.7805308127959534e-06,1055387300,249975,0.1055 KEY,0.0000 EOS
mjchowdotvip,23297523032,0.0001522984077747275,90272970472,21381782,9.0272 KEY,0.0021 EOS
zhangchaohe2,80609381468,0.0005269521756634624,312344290982,73980923,31.2344 KEY,0.0073 EOS
amyjing54321,51591258103,0.0003372575897184291,199905205071,47348942,19.9905 KEY,0.0047 EOS
bwcrpf2nxhzt,51261087689,0.00033509923029638,198625864603,47045921,19.8625 KEY,0.0047 EOS
diyiliuliang,888233492832,0.005806477645915025,3441716776547,815194622,344.1716 KEY,0.0815 EOS
rickyshi1234,2308642245199,0.015091842063310369,8945500040776,2118804074,894.5500 KEY,0.2118 EOS
zvpxvbjbkznd,3906378,2.553641212196933e-08,15136387,3585,0.0015 KEY,0.0000 EOS
awayfromduck,9217597102,6.0256421260549326e-05,35716237725,8459640,3.5716 KEY,0.0008 EOS
haydqmjrgyge,192921087604,0.0012611458491918325,747528379772,177057310,74.7528 KEY,0.0177 EOS
wuxiqi111123,728920921862,0.004765034275995266,2824414284976,668982222,282.4414 KEY,0.0668 EOS
fulyfighting,1094254490,7.153259009485351e-06,4240004533,1004274,0.4240 KEY,0.0001 EOS
ge2donzqg4ge,11035974243,7.214334773457317e-05,42762064259,10128493,4.2762 KEY,0.0010 EOS
guluiloveyou,7140278142074,0.046676764332968065,27667066451681,6553137651,2766.7066 KEY,0.6553 EOS
helloworldst,4444567729,2.9054616125666613e-05,17221759189,4079093,1.7221 KEY,0.0004 EOS
mykeydigital,140113241499,0.0009159352931701641,542909153702,128591819,54.2909 KEY,0.0128 EOS
andy44444444,1574190001687,0.01029064894420428,6099653055195,1444745367,609.9653 KEY,0.1444 EOS
eoswanglawhu,187864213509,0.0012280885206540334,727934063019,172416259,72.7934 KEY,0.0172 EOS
zxc1dai12345,27834205,1.8195518456416131e-07,107851652,25545,0.0107 KEY,0.0000 EOS
praprab1a3r5,14791691362,9.669487351224224e-05,57314673140,13575380,5.7314 KEY,0.0013 EOS
zhengxin4444,133683255349,0.0008739017838003708,517994318375,122690567,51.7994 KEY,0.0122 EOS
22jdtia3mpax,4578149562,2.992785490068943e-05,17739360517,4201691,1.7739 KEY,0.0004 EOS
cleardcepzjr,65590812,4.287741756293455e-07,254150513,60197,0.0254 KEY,0.0000 EOS
fhs4skg1ld1y,803841458,5.254797859350196e-06,3114715504,737742,0.3114 KEY,0.0000 EOS
keyaren22222,6845126414,4.47473258181574e-05,26523415978,6282256,2.6523 KEY,0.0006 EOS
ntacpakxw2u2,11607623419,7.58802797333506e-05,44977083817,10653135,4.4977 KEY,0.0010 EOS
nnngggyyy123,3907233616468,0.025542005378624263,15139703238180,3585944303,1513.9703 KEY,0.3585 EOS
ququdada1234,35675196802,0.00023321258927534258,138233836407,32741648,13.8233 KEY,0.0032 EOS
zhuyunxuanya,9261649481,6.054439638868521e-05,35886931369,8500069,3.5886 KEY,0.0008 EOS
mykeyczy1111,21231615776,0.0001387933503801326,82268017136,19485753,8.2268 KEY,0.0019 EOS
waltothemoon,7242612272,4.734573352026471e-05,28063589544,6647056,2.8063 KEY,0.0006 EOS
averygoodboy,66154701809,0.00043246038381350037,256335466857,60714843,25.6335 KEY,0.0060 EOS
fqhzmseosqbo,12796309686,8.365084940117007e-05,49582991498,11744077,4.9582 KEY,0.0011 EOS
gracezhou213,247095010967,0.0016152865988227057,957440866066,226776546,95.7440 KEY,0.0226 EOS
