owner,lptoken,lpratio,amount1,amount2,token1,token2
diyiliuliang,888233492832,0.0058123735412323255,728372289434,474737233,72.8372 KEY,0.0474 EOS
eoscatsister,11796009904,7.719008167494536e-05,9673004687,6304654,0.9673 KEY,0.0006 EOS
guluiloveyou,7140278142074,0.046724159902716125,5855195485775,3816289208,585.5195 KEY,0.3816 EOS
maktalkmykey,2808543276350,0.018378391223252664,2303071335049,1501091859,230.3071 KEY,0.1501 EOS
mykey1314555,12184059314,7.972937808920634e-05,9991214302,6512056,0.9991 KEY,0.0006 EOS
yuxiangdong2,31782059967,0.00020797369827731715,26062034327,16986667,2.6062 KEY,0.0016 EOS
wangxinyi123,611873703,4.00394552850498e-06,501750782,327030,0.0501 KEY,0.0000 EOS
chenchenghui,66644914,4.3610732754092376e-07,54650392,35619,0.0054 KEY,0.0000 EOS
epeac12345zy,214666935,1.404725697961756e-06,176031919,114733,0.0176 KEY,0.0000 EOS
haydgnrwgege,129177770330,0.0008453063979692665,105928800342,69042090,10.5928 KEY,0.0069 EOS
wuxiqi111123,491775573870,0.0032180539878909568,403267500627,262840995,40.3267 KEY,0.0262 EOS
dljzaaa12345,19604711,1.282882309882214e-07,16076322,10478,0.0016 KEY,0.0000 EOS
dongge123451,4070844589,2.6638569216898085e-05,3338188007,2175758,0.3338 KEY,0.0002 EOS
ifswapholder,73485301377614,0.48086907873165846,60259670048657,39275943743,6025.9670 KEY,3.9275 EOS
keyzhenniubi,73884349546,0.0004834803482169026,60586898902,39489224,6.0586 KEY,0.0039 EOS
praprab1a3r5,14791691362,9.679305745209585e-05,12129533719,7905766,1.2129 KEY,0.0007 EOS
ququdada1234,35603517866,0.00023298034457058185,29195719401,19029135,2.9195 KEY,0.0019 EOS
vy2wvp5gtzm2,204075112619,0.0013354155124558364,167346377044,109072732,16.7346 KEY,0.0109 EOS
ivylm5555555,1742532378,1.1402687660803505e-05,1428917404,931337,0.1428 KEY,0.0000 EOS
mykey2222222,683917812074,0.004475383812202502,560828640876,365535923,56.0828 KEY,0.0365 EOS
ntacpakxw2u2,11607623419,7.595732854215297e-05,9518523353,6203966,0.9518 KEY,0.0006 EOS
rn443bv3pyrp,6746768315,4.4149131911137755e-05,5532508201,3605968,0.5532 KEY,0.0003 EOS
zqrgdqyhy123,603396969,3.948475942168425e-06,494799661,322499,0.0494 KEY,0.0000 EOS
gm3dmnrtg4ge,760809666757,0.00497854450733774,623881764504,406632579,62.3881 KEY,0.0406 EOS
lijinglu3333,453734174789,0.0029691207701343448,372072661471,242508877,37.2072 KEY,0.0242 EOS
wangjunhewcy,8724169216,5.7088739311818396e-05,7154023301,4662836,0.7154 KEY,0.0004 EOS
yangfenglei1,47746973344,0.00031244402150807136,39153637606,25519490,3.9153 KEY,0.0025 EOS
zhaohero2345,239347725372,0.0015662304983240262,196270746495,127925008,19.6270 KEY,0.0127 EOS
zhuyunxuanya,9261649481,6.0605873147044555e-05,7594769720,4950105,0.7594 KEY,0.0004 EOS
zxc1dai12345,27834205,1.82139941793251e-07,22824700,14876,0.0022 KEY,0.0000 EOS
22jdtia3mpax,4578149562,2.9958243633812337e-05,3754189979,2446899,0.3754 KEY,0.0002 EOS
baiwangfuhao,226896809538,0.0014847548791972207,186060703590,121270324,18.6060 KEY,0.0121 EOS
cleardcepzjr,65590812,4.292095527733617e-07,53786003,35056,0.0053 KEY,0.0000 EOS
m1llimeterss,444704256150,0.002910031284542597,364667916473,237682625,36.4667 KEY,0.0237 EOS
mykeyisangel,23574342330,0.00015426448644034825,19331513429,12599860,1.9331 KEY,0.0012 EOS
mykeyxhyzdai,247268970963,0.0016180651101218048,202766353599,132158703,20.2766 KEY,0.0132 EOS
mytaobao2222,255597316226,0.0016725636783919214,209595791979,136609983,20.9595 KEY,0.0136 EOS
zysk13141314,85774570357,0.000561286922050229,70337158743,45844231,7.0337 KEY,0.0045 EOS
12345plmokni,26107322038,0.00017083965992127235,21408616177,13953670,2.1408 KEY,0.0013 EOS
ahhhhhhhhhha,3274468439263,0.021427286711842505,2685140892609,1750116496,268.5140 KEY,0.1750 EOS
by1112223333,43203527675,0.00028271287130304633,35427905633,23091139,3.5427 KEY,0.0023 EOS
chendanhong1,141753256218,0.000927597171773015,116240993612,75763354,11.6240 KEY,0.0075 EOS
daheso123451,2662579458,1.7423241206279318e-05,2183377581,1423078,0.2183 KEY,0.0001 EOS
mdtxmdtx1234,539312979060,0.0035291266488241065,442249287433,288248477,44.2249 KEY,0.0288 EOS
mykeydigital,140113241499,0.0009168653335380544,114896143091,74886809,11.4896 KEY,0.0074 EOS
4darbcopjfun,1090493828,7.13591361268696e-06,894230506,582840,0.0894 KEY,0.0000 EOS
eosamoeosamo,163492530084,0.0010698534379958435,134067707876,87382419,13.4067 KEY,0.0087 EOS
luckydog5512,1059831787,6.935269033005153e-06,869086913,566451,0.0869 KEY,0.0000 EOS
biehuaigang1,138454026251,0.000906007851936076,113535547686,74000003,11.3535 KEY,0.0074 EOS
helloworldst,4444567729,2.908411817245083e-05,3644649744,2375503,0.3644 KEY,0.0002 EOS
wangchengjia,2309239105,1.5111072012705196e-05,1893630207,1234227,0.1893 KEY,0.0001 EOS
cenxuanxi153,51041119962,0.000334000077205044,41854915066,27280124,4.1854 KEY,0.0027 EOS
colocofe1234,75710166686,0.0004954280301285907,62084111765,40465075,6.2084 KEY,0.0040 EOS
dopmarketing,4393528860,2.875013282496728e-05,3602796674,2348224,0.3602 KEY,0.0002 EOS
hellomykey11,2915755724,1.9079962149186527e-05,2390988055,1558394,0.2390 KEY,0.0001 EOS
freegoods123,1615892540715,0.010573988849689745,1325069769221,863651687,132.5069 KEY,0.0863 EOS
gm3dmmzsgege,3188076717,2.0861961305048905e-05,2614297654,1703942,0.2614 KEY,0.0001 EOS
gracezhou213,247095010967,0.001616926760255308,202623702324,132065726,20.2623 KEY,0.0132 EOS
jackyhe44444,2558094301,1.6739516975095467e-05,2097697303,1367233,0.2097 KEY,0.0001 EOS
manniusl1234,134791832504,0.0008820433896525587,110532462950,72042657,11.0532 KEY,0.0072 EOS
mykey4444444,24872851794,0.00016276160134594535,20396321634,13293879,2.0396 KEY,0.0013 EOS
mysteorrrrrr,56602826,3.7039446368141335e-07,46415644,30252,0.0046 KEY,0.0000 EOS
15zso15zsoso,10910229680,7.139376169954197e-05,8946644136,5831228,0.8946 KEY,0.0005 EOS
bcmutou54321,118193785955,0.000773430004347804,96921675626,63171442,9.6921 KEY,0.0063 EOS
eos11michael,163384908750,0.001069149191421872,133979455858,87324898,13.3979 KEY,0.0087 EOS
zhw12345key1,5825083012,3.811785825197936e-05,4776704643,3113352,0.4776 KEY,0.0003 EOS
zws112233445,20035349159,0.00013110621731886074,16429456054,10708362,1.6429 KEY,0.0010 EOS
vxyzqyxub.tp,1107937072,7.250057754646304e-06,908534375,592162,0.0908 KEY,0.0000 EOS
baoooooooooo,1696267124580,0.011099939636745739,1390978812433,906609769,139.0978 KEY,0.0906 EOS
