owner,lptoken,lpratio,amount1,amount2,token1,token2
welovetaotao,10871321550,0.01601545644810266,113005060,98382948,0.0113 EOS,0.0098 DEOS
aaaaaaaaasss,101716389,0.00014984695196397429,1057320,920509,0.0001 EOS,0.0000 DEOS
gyztamrzhege,4874871733,0.00718158280673321,50673248,44116463,0.0050 EOS,0.0044 DEOS
richdongdong,181114935,0.00026681561576968015,1882650,1639048,0.0001 EOS,0.0001 DEOS
tlsdudalswkd,3653942749,0.005382929820567216,37981952,33067337,0.0037 EOS,0.0033 DEOS
congwei34.tp,19532928311,0.028775596529819498,203040609,176768489,0.0203 EOS,0.0176 DEOS
ge2tanzrgige,722465663,0.001064324820842606,7509875,6538147,0.0007 EOS,0.0006 DEOS
initialch123,181231137,0.00026698680269130907,1883858,1640099,0.0001 EOS,0.0001 DEOS
macangjie.tp,1220477208,0.0017979874370127457,12686599,11045036,0.0012 EOS,0.0011 DEOS
viresinnumer,9010542,1.3274185876214821e-05,93662,81543,0.0000 EOS,0.0000 DEOS
blackswanltd,14888586323,0.02193362644395551,154763668,134738267,0.0154 EOS,0.0134 DEOS
g44tkobrgege,16148356278,0.023789499325291702,167858707,146138894,0.0167 EOS,0.0146 DEOS
he2dgnygenes,11295781030,0.01664076334245391,117417226,102224209,0.0117 EOS,0.0102 DEOS
iversonismvp,183278066,0.0002700023056456724,1905136,1658624,0.0001 EOS,0.0001 DEOS
gyztgmzvgige,28512305731,0.04200387124689715,296379315,258029781,0.0296 EOS,0.0258 DEOS
ha3tiobxgmge,4944196,7.283710204384799e-06,51393,44743,0.0000 EOS,0.0000 DEOS
huahuayongyi,90454931,0.00013325675275851177,940259,818596,0.0000 EOS,0.0000 DEOS
king3hz12345,36178823,5.3298061457865236e-05,376071,327409,0.0000 EOS,0.0000 DEOS
bangbanga.tp,10839185,1.596811339835934e-05,112671,98092,0.0000 EOS,0.0000 DEOS
eeretpahduna,2904855606,0.004279386662601278,30195352,26288272,0.0030 EOS,0.0026 DEOS
geytomrsgmge,3547600,5.2262673892935295e-06,36876,32104,0.0000 EOS,0.0000 DEOS
gointothepre,157980963,0.00023273501946557892,1642178,1429691,0.0001 EOS,0.0001 DEOS
koooooooo.tp,9046425069,0.013327048237626048,94035652,81868057,0.0094 EOS,0.0081 DEOS
m55ejqtex4sa,3166776,4.665243583830592e-06,32917,28658,0.0000 EOS,0.0000 DEOS
richrichrich,435790804,0.0006420000190267246,4529952,3943806,0.0004 EOS,0.0003 DEOS
shikongdeeos,370397314,0.0005456633789717319,3850200,3352010,0.0003 EOS,0.0003 DEOS
15zso15zsoso,9637526,1.419784864338384e-05,100180,87217,0.0000 EOS,0.0000 DEOS
ez2eosmother,8288275618,0.01221015463294342,86154851,75006979,0.0086 EOS,0.0075 DEOS
gm3timjvgene,164195417,0.00024189005337088524,1706776,1485930,0.0001 EOS,0.0001 DEOS
maxocoin.net,3610226,5.318527007492283e-06,37527,32671,0.0000 EOS,0.0000 DEOS
maktalkmykey,466351568,0.0006870216461225347,4847624,4220373,0.0004 EOS,0.0004 DEOS
