day,beginblock,endblock,total_lptoken,token1,token2
12,149480609,149653409,5394984
13,149653409,149826209,6096417192,0.1414 EOS,12.5999 DBG
14,149826209,149999009,2369311135351,10.7831 EOS,2494.1936 DBG
15,149999009,150171809,5051461185334,45.0088 EOS,8703.5701 DBG
16,150171809,150344609,7484995903235,6.0671 EOS,1305.7361 DBG
17,150344609,150517409,6691478664568,9.8518 EOS,950.2602 DBG
18,150517409,150690209,5551358514856,0.0158 EOS,165.5293 DBG
19,150690209,150863009,5675457861831,4.5082 EOS,951.8595 DBG
20,150863009,151035809,3928166424663,5.6871 EOS,616.2132 DBG
21,151035809,151208609,3333197850063,21.1649 EOS,4123.6599 DBG
22,151208609,151381409,3448822364818,8.2817 EOS,861.7777 DBG
23,151381409,151554209,3454259922086,3.4631 EOS,1352.9621 DBG
24,151554209,151727009,3548432134108,2.6271 EOS,23.7103 DBG
25,151727009,151899809,3780539223037,1.8338 EOS,42.1264 DBG
26,151899809,152072609,3727456068792,2.4270 EOS,889.5732 DBG
27,152072609,152215761,2831064293010,1.7129 EOS,138.6347 DBG
28,152215761,152388561,3484303438976,10.2048 EOS,1692.1331 DBG
29,152388561,152516868,2613423697576,1.8036 EOS,285.0875 DBG
30,152516868,152560201,881619497674,0.0000 EOS,271.1139 DBG
