owner,lptoken,lpratio,amount1,amount2,token1,token2
andy44444444,1958036093946,0.01004456232903178,14898482877907,1921806021,1489.8482 KEY,0.1921 EOS
diyiliuliang,888233492832,0.004556563951538005,6758471677543,871798267,675.8471 KEY,0.0871 EOS
lxm123eoskey,27738131318,0.00014229430692108748,211056412996,27224885,21.1056 KEY,0.0027 EOS
mdtxmdtx1234,720082699819,0.003693964367027087,5479030650712,706758814,547.9030 KEY,0.0706 EOS
sailor225225,60302150104,0.000309345015225732,458832476890,59186363,45.8832 KEY,0.0059 EOS
eoscatsister,11796009904,6.051254983549443e-05,89754551576,11577745,8.9754 KEY,0.0011 EOS
fortunately1,1468569374167,0.007533638761275277,11174184042722,1441396036,1117.4184 KEY,0.1441 EOS
mingxiangtan,13994665517,7.179147028703088e-05,106483882106,13735718,10.6483 KEY,0.0013 EOS
mykey1231122,1481867021586,0.007601854586684528,11275364390215,1454447634,1127.5364 KEY,0.1454 EOS
ntacpakxw2u2,11607623419,5.954614283391753e-05,88321139378,11392844,8.8321 KEY,0.0011 EOS
wangjianjun2,150774913639,0.0007734627683237622,1147229857618,147985084,114.7229 KEY,0.0147 EOS
yangsbovip12,127127359527,0.0006521527822915607,967298200008,124775087,96.7298 KEY,0.0124 EOS
zhaohero2345,239347725372,0.0012278339266800758,1821170712504,234919009,182.1170 KEY,0.0234 EOS
feilisong123,4628389081470,0.023743251084889193,35216907234640,4542748743,3521.6907 KEY,0.4542 EOS
rn443bv3pyrp,6746768315,3.461036038563606e-05,51335423556,6621931,5.1335 KEY,0.0006 EOS
wangyagang12,1171704868775,0.0060107485362652716,8915374430215,1150024495,891.5374 KEY,0.1150 EOS
adaloveyyy33,9538898495,4.893375601174049e-05,72580437276,9362397,7.2580 KEY,0.0009 EOS
daheso123451,2662579458,1.3658811195856449e-05,20259276419,2613313,2.0259 KEY,0.0002 EOS
chendanhong1,141753256218,0.0007271824160071794,1078585051205,139130357,107.8585 KEY,0.0139 EOS
eos555555eth,23069500293,0.00011834461801246346,175533309207,22642639,17.5533 KEY,0.0022 EOS
ge3dknbsg4ge,22342831791,0.000114616869027932,170004167906,21929416,17.0004 KEY,0.0021 EOS
hanshuxia123,38828707547,0.00019918804066864374,295443396752,38110249,29.5443 KEY,0.0038 EOS
keylaoxue111,446482177981,0.0022904164429849868,3397234149312,438220797,339.7234 KEY,0.0438 EOS
keyzhenniubi,73884349546,0.00037902056884924563,562177949660,72517247,56.2177 KEY,0.0072 EOS
wangjunhewcy,8724169216,4.47542625644515e-05,66381251137,8562743,6.6381 KEY,0.0008 EOS
zvpxvbjbkznd,3906378,2.0039394280359285e-08,29723203,3834,0.0029 KEY,0.0000 EOS
eoswanglawhu,187864213509,0.0009637277922608744,1429438291249,184388111,142.9438 KEY,0.0184 EOS
sss552233kkk,114023042,5.849287231506952e-07,867588878,111913,0.0867 KEY,0.0000 EOS
galaxynibiru,1025652258096,0.005261510789413253,7804076060281,1006674336,780.4076 KEY,0.1006 EOS
wanghaoyu555,665436776690,0.003413635325803674,5063235787378,653124019,506.3235 KEY,0.0653 EOS
iloveos4ever,168871051825,0.0008662944523187877,1284921397500,165746384,128.4921 KEY,0.0165 EOS
longlongcode,124670706321,0.0006395503556433605,948605793960,122363890,94.8605 KEY,0.0122 EOS
