owner,lptoken,lpratio,amount1,amount2,token1,token2
suntaoluqian,874853469,8.133758341656516e-05,6956048208,3168749,0.6956 TKT,0.0003 EOS
vvvvvvv55555,92134560,8.566008737571262e-06,732571183,333714,0.0732 TKT,0.0000 EOS
zhuwanghu.tp,305610502174,0.02841346647681418,2429939940312,1106931827,242.9939 TKT,0.1106 EOS
zhuxu1112345,42694395065,0.0039694177860306636,339467443225,154640578,33.9467 TKT,0.0154 EOS
chenggongzhe,11531059708,0.001072074997831258,91684619276,41765897,9.1684 TKT,0.0041 EOS
ha4doobqgqge,32556216736,0.0030268428809215532,258857764342,117919744,25.8857 TKT,0.0117 EOS
hejjooneosvc,2931716501,0.00027256991473826805,23310373723,10618778,2.3310 TKT,0.0010 EOS
myfirstkey11,121166972213,0.011265233617891182,963410822378,438870971,96.3410 TKT,0.0438 EOS
xcy123123.tp,164872723253,0.015328680008591417,1310919659012,597174715,131.0919 TKT,0.0597 EOS
yuioplkjh.tp,600270713,5.580885362090111e-05,4772813009,2174201,0.4772 TKT,0.0002 EOS
fghlphfqhlqh,18685790011,0.0017372703630716615,148572601860,67680578,14.8572 TKT,0.0067 EOS
fwp543211234,79254178017,0.007368483459221493,630157966529,287061378,63.0157 TKT,0.0287 EOS
mygodblessme,8147336771,0.000757480775599532,64780296770,29509936,6.4780 TKT,0.0029 EOS
wynwym123.tp,513867233257,0.0477756795064852,4085810223229,1861244922,408.5810 TKT,0.1861 EOS
xiaomi.tp,10432138906,0.0009699052453319699,82946989093,37785568,8.2946 TKT,0.0037 EOS
jdfigsuxjskk,19754679,1.8366479735933563e-06,157071446,71552,0.0157 TKT,0.0000 EOS
xcy111222333,166904583447,0.015517587755861574,1327075184438,604534183,132.7075 TKT,0.0604 EOS
zhuwang12345,3043245107,0.00028293904238684144,24197148923,11022739,2.4197 TKT,0.0011 EOS
zk1122334455,33289247860,0.003094994842716299,264686168775,120574809,26.4686 TKT,0.0120 EOS
cc1234533333,715286075,6.650215476486838e-05,5687311758,2590790,0.5687 TKT,0.0002 EOS
chinaer1o.tp,12939876404,0.001203056641717898,102886262982,46868680,10.2886 TKT,0.0046 EOS
falwlrgw1.m,6457336564,0.000600356711191353,51342934595,23388696,5.1342 TKT,0.0023 EOS
gallonwang12,16652263586,0.0015482077016270087,132403828063,60315075,13.2403 TKT,0.0060 EOS
keyids112233,9052785154,0.0008416628540747293,71979608227,32789501,7.1979 TKT,0.0032 EOS
bangbanga.tp,335671644,3.120833523771004e-05,2668959112,1215814,0.2668 TKT,0.0001 EOS
caoliying123,651068768,6.053169142445306e-05,5176713470,2358193,0.5176 TKT,0.0002 EOS
gy3tonzrhage,65268687225,0.00606821311198703,518957918041,236405446,51.8957 TKT,0.0236 EOS
jammy1221.tp,691585363,6.429863302363839e-05,5498865005,2504946,0.5498 TKT,0.0002 EOS
adminsssssss,49970606560,0.004645907598784818,397321335026,180995268,39.7321 TKT,0.0180 EOS
keyaren22222,2395411466,0.00022270812980313123,19046158274,8676263,1.9046 TKT,0.0008 EOS
wuchenfei.tp,55537449723,0.005163472638167943,441583866735,201158567,44.1583 TKT,0.0201 EOS
xiaodan11111,18448948,1.7152504963066828e-06,146689447,66822,0.0146 TKT,0.0000 EOS
ddddd4444444,159341,1.4814380165850277e-08,1266936,577,0.0001 TKT,0.0000 EOS
guoshenglong,10636274194,0.0009888842762260733,84570089366,38524953,8.4570 TKT,0.0038 EOS
ibankbeijing,17572376388,0.0016337531723112251,139719737795,63647756,13.9719 TKT,0.0063 EOS
museshengw33,20862241708,0.00193962118835811,165877788917,75563762,16.5877 TKT,0.0075 EOS
fulyfight.tp,16304325569,0.0015158589272501058,129637337781,59054832,12.9637 TKT,0.0059 EOS
kkkkk5555555,320845,2.982986051494739e-08,2551070,1162,0.0002 TKT,0.0000 EOS
lagrange1234,2868833044,0.00026672346317752163,22810381011,10391012,2.2810 TKT,0.0010 EOS
lulu521lulu5,144881739387,0.013470062108111922,1151969329110,524766679,115.1969 TKT,0.0524 EOS
aibicid12345,106018584126,0.00985684544397075,842964460156,384002984,84.2964 TKT,0.0384 EOS
biduofen1234,109502377537,0.010180743499146997,870664453097,396621405,87.0664 TKT,0.0396 EOS
david1231231,40394166316,0.003755559060679974,321178092338,146309069,32.1178 TKT,0.0146 EOS
fhs4skg1ld1y,3991194277,0.0003710725383626558,31734388426,14456243,3.1734 TKT,0.0014 EOS
wangvv12345v,45324714001,0.004213965922890221,360381374497,164167684,36.0381 TKT,0.0164 EOS
fulyfighting,6109381964,0.0005680063950463786,48576312460,22128393,4.8576 TKT,0.0022 EOS
ilovelilli14,3167353,2.94477701667784e-07,25183943,11472,0.0025 TKT,0.0000 EOS
shakawjhsaga,191518387872,0.017806002263614368,1522782027069,693686236,152.2782 TKT,0.0693 EOS
wanganyinghh,81806886448,0.007605815929517305,650454808844,296307376,65.0454 TKT,0.0296 EOS
depurantsave,10346954919,0.0009619854508819485,82269682617,37477029,8.2269 TKT,0.0037 EOS
eosairdorp11,61862376191,0.005751518810954611,491873995297,224067669,49.1873 TKT,0.0224 EOS
eoskeytp1111,5182645335,0.00048184508856766596,41207736011,18771720,4.1207 TKT,0.0018 EOS
eoskeytp3333,21246078315,0.0019753075554429663,168929712511,76954031,16.8929 TKT,0.0076 EOS
ibaalmckloud,2656302,2.4696385527458986e-07,21120525,9621,0.0021 TKT,0.0000 EOS
liuyicn12345,631375389141,0.05870074269708631,5020129427785,2286863533,502.0129 TKT,0.2286 EOS
malakatalaka,7161008771,0.0006657790920389747,56937903317,25937421,5.6937 TKT,0.0025 EOS
qingqing3333,12595129533,0.0011710045571446787,100145145824,45619995,10.0145 TKT,0.0045 EOS
2r3v3bdwe.tp,5119731596,0.00047599582160435405,40707502524,18543845,4.0707 TKT,0.0018 EOS
dappdirds111,152091345,1.4140359385001297e-05,1209293630,550880,0.1209 TKT,0.0000 EOS
eosgamesaaaa,5436862725,0.0005054803931046666,43229044131,19692505,4.3229 TKT,0.0019 EOS
eoshanximing,17146728991,0.0015941795386842075,136335372392,62106046,13.6335 TKT,0.0062 EOS
manto11chris,795071263648,0.07392000777341957,6321691843668,2879775662,632.1691 TKT,0.2879 EOS
loveeos1314a,32646159,3.0352050657445007e-06,259572904,118245,0.0259 TKT,0.0000 EOS
handbagtiger,4295384177,0.0003993539274666025,34153033015,15558030,3.4153 TKT,0.0015 EOS
meetzyj12345,56827710947,0.005283431846944035,451842863920,205831937,45.1842 TKT,0.0205 EOS
wangyihai123,62994449154,0.005856770812946331,500875221657,228168077,50.0875 TKT,0.0228 EOS
yonron555555,159335232,1.4813843898694952e-05,1266890507,577117,0.1266 TKT,0.0000 EOS
btc111btc222,5456437797,0.0005073003425111715,43384687503,19763406,4.3384 TKT,0.0019 EOS
edina1313131,3587671486,0.00033355589147667576,28525937997,12994670,2.8525 TKT,0.0012 EOS
epic.game,17307460800,0.0016091232262678856,137613367224,62688222,13.7613 TKT,0.0062 EOS
fangelegends,324048403,3.0127689886335953e-05,2576541550,1173714,0.2576 TKT,0.0001 EOS
zhang5555533,29168776,2.7119030044780037e-06,231923881,105650,0.0231 TKT,0.0000 EOS
fengzichenba,106703245381,0.009920500323232197,848408270880,386482851,84.8408 TKT,0.0386 EOS
pra1xwjkzb2w,61090458338,0.00567975144077902,485736398557,221271756,48.5736 TKT,0.0221 EOS
ryin52rita52,1410097913,0.00013110076222851665,11211830791,5107423,1.1211 TKT,0.0005 EOS
qiucaoyin543,290969280,2.705223094184005e-05,2313526105,1053900,0.2313 TKT,0.0001 EOS
chenruicc.tp,319307828,2.9686945318053304e-05,2538848760,1156544,0.2538 TKT,0.0001 EOS
eosgamescccc,5415609087,0.0005035043827040833,43060054310,19615523,4.3060 TKT,0.0019 EOS
gmytinzrgage,147199139456,0.013685517299296448,1170395210895,533160382,117.0395 TKT,0.0533 EOS
jammy1212.tp,600199334,5.580221731485396e-05,4772245467,2173942,0.4772 TKT,0.0002 EOS
eos123422343,98908693534,0.009195818952562449,786433002637,358250714,78.6433 TKT,0.0358 EOS
peipeipei.tp,24935888824,0.0023183595986727406,198267768187,90318653,19.8267 TKT,0.0090 EOS
porschejiu22,82519892,7.672106057655637e-06,656123987,298889,0.0656 TKT,0.0000 EOS
