owner,lptoken,lpratio,amount1,amount2,token1,token2
qinyqewq1.tp,2614050,3.4729660516519102e-06,1403720,1892835,0.0001 EOS,0.0001 USDT
shiyuerhh.tp,51794850,6.881343344633918e-05,27813357,37504697,0.0027 EOS,0.0037 USDT
xiaojleos321,16623528390,0.02208563331119976,8926681699,12037111867,0.8926 EOS,1.2037 USDT
alohadog2222,349671750,0.0004645657569563374,187770510,253197628,0.0187 EOS,0.0253 USDT
dongyifangcn,463896810,0.0006163225158660379,249108316,335908097,0.0249 EOS,0.0335 USDT
gu4dmnjrgage,8397755340,0.01115706249149731,4509517303,6080822199,0.4509 EOS,0.6080 USDT
gybgyb555555,29911860,3.974020172596726e-05,16062393,21659204,0.0016 EOS,0.0021 USDT
mmllllllllll,402314910,0.0005345062353449221,216039402,291316588,0.0216 EOS,0.0291 USDT
bm.eos,1576568520,0.002094592279437308,846602780,1141594684,0.0846 EOS,0.1141 USDT
btceoskey555,36222600,4.8124504161192966e-05,19451202,26228817,0.0019 EOS,0.0026 USDT
calmdown1234,1006620,1.337371927435912e-06,540545,728894,0.0000 EOS,0.0000 USDT
lxindmrun2k1,8441670,1.1215406487729148e-05,4533099,6112620,0.0004 EOS,0.0006 USDT
wangpengjie1,589611780,0.0007833445020539219,316616097,426938420,0.0316 EOS,0.0426 USDT
cccccccyyyyy,8984520,1.1936624376116607e-05,4824604,6505699,0.0004 EOS,0.0006 USDT
eospluser.tp,29394990,3.9053500261528044e-05,15784839,21284938,0.0015 EOS,0.0021 USDT
haloeostoken,882197220,0.0011720667148377771,473731785,638799800,0.0473 EOS,0.0638 USDT
starcool1.tp,14814840,1.9682651969417105e-05,7955432,10727438,0.0007 EOS,0.0010 USDT
tanduoroueos,120082800,0.0001595392160774683,64483358,86952063,0.0064 EOS,0.0086 USDT
llllllllllil,9434377350,0.012534294391853143,5066173778,6831441129,0.5066 EOS,0.6831 USDT
praeosliuboy,173957760,0.00023111623530590867,93413715,125962970,0.0093 EOS,0.0125 USDT
clpxinvfund1,6829770,9.073873625443532e-06,3667523,4945442,0.0003 EOS,0.0004 USDT
cn5zdfx3mlxi,108246570,0.00014381387609944802,58127411,78381438,0.0058 EOS,0.0078 USDT
discovery.m,14769241890,0.019622071380656567,7930946920,10694421343,0.7930 EOS,1.0694 USDT
guluiloveyou,3583688040,0.004761204606886239,1924407484,2594951734,0.1924 EOS,0.2594 USDT
gyztimzshage,3078450,4.089957094052456e-06,1653099,2229108,0.0001 EOS,0.0002 USDT
eoswanglawhu,333400980,0.0004429487902402316,179033256,241415949,0.0179 EOS,0.0241 USDT
d5krdtv55.tp,40990320,5.445878610062865e-05,22011424,29681127,0.0022 EOS,0.0029 USDT
ihavetwokids,3262521990,0.004334510860173995,1751944272,2362395109,0.1751 EOS,0.2362 USDT
rosskeeley15,36051690,4.789743710896067e-05,19359425,26105061,0.0019 EOS,0.0026 USDT
saundersca21,19288110,2.5625734485005154e-05,10357537,13966537,0.0010 EOS,0.0013 USDT
yjydheyaoeos,12526999530,0.016643080314741276,6726883417,9070811633,0.6726 EOS,0.9070 USDT
newfxwq4eos4,3440231490,0.00457061157001353,1847372637,2491074717,0.1847 EOS,0.2491 USDT
vmevchto5rmb,25983540,3.4521127109940314e-05,13952921,18814704,0.0013 EOS,0.0018 USDT
weizzzzzz.tp,988694100,0.001313555993484646,530919629,715914287,0.0530 EOS,0.0715 USDT
cloudy115115,119845410,0.00015922382524293887,64355881,86780169,0.0064 EOS,0.0086 USDT
aliexpress11,80932260,0.00010752471890876831,43459878,58603122,0.0043 EOS,0.0058 USDT
biehuaigang1,100569780,0.00013361467139576567,54005045,72822668,0.0054 EOS,0.0072 USDT
yangnanjun22,37972770,5.044973933061193e-05,20391027,27496116,0.0020 EOS,0.0027 USDT
mykeyhulu533,27235830,3.618489048739031e-05,14625389,19721489,0.0014 EOS,0.0019 USDT
1coin1beauty,5898600,7.836742813746469e-06,3167493,4271181,0.0003 EOS,0.0004 USDT
dtest2111112,360840,4.794036342373235e-07,193767,261284,0.0000 EOS,0.0000 USDT
