owner,lptoken,lpratio,amount1,amount2,token1,token2
ecapita44eos,347674852,6.262878736251438e-05,9895,103668993,0.0000 EOS,0.0103 DBG
eoskekoukele,10112957253,0.001821708546824475,287829,3015461405,0.0000 EOS,0.3015 DBG
eosvictory12,94262098,1.698000547933358e-05,2682,28106884,0.0000 EOS,0.0028 DBG
mingting1314,3751105603,0.0006757094849777149,106762,1118497180,0.0000 EOS,0.1118 DBG
moonlight2go,7202824608,0.0012974886397130556,205003,2147723862,0.0000 EOS,0.2147 DBG
geytgojrgyge,23058665659,0.004153697801590848,656284,6875586895,0.0000 EOS,0.6875 DBG
ha3tcmjzgyge,69790584367,0.01257180277228237,1986344,20810017126,0.0001 EOS,2.0810 DBG
zudfather123,1261930761,0.0002273192692604783,35916,376279995,0.0000 EOS,0.0376 DBG
hezdmojthege,166385170,2.9971973446632274e-05,4735,49612397,0.0000 EOS,0.0049 DBG
kidante14123,874272343,0.0001574879987773008,24883,260688781,0.0000 EOS,0.0260 DBG
qukuaixiyou3,271266156,4.886482385781141e-05,7720,80885600,0.0000 EOS,0.0080 DBG
ilovelilli14,561659,1.0117505444783352e-07,15,167474,0.0000 EOS,0.0000 DBG
eosairuqixue,1637365765,0.0002949486617767962,46601,488226455,0.0000 EOS,0.0488 DBG
ge3tambxgege,2741891565483,0.4939136173867026,78038351,817571753464,0.0078 EOS,81.7571 DBG
saundersca21,1858452484,0.0003347743582091829,52894,554149651,0.0000 EOS,0.0554 DBG
vc.eos,711664492,0.0001281964567944069,20255,212202697,0.0000 EOS,0.0212 DBG
yywymsdhs515,209852097,3.780193558719266e-05,5972,62573279,0.0000 EOS,0.0062 DBG
langchao1.tp,95366670,1.7178978757143696e-05,2714,28436243,0.0000 EOS,0.0028 DBG
4darbcopjfun,1162792029,0.0002094608060150052,33094,346719005,0.0000 EOS,0.0346 DBG
geytknzxguge,325371322640,0.0586111168589226,9260556,97018571458,0.0009 EOS,9.7018 DBG
hedongyufund,11790606730,0.0021239137588478815,335578,3515699577,0.0000 EOS,0.3515 DBG
dtest2111111,954193030,0.0001718845985980697,27157,284519372,0.0000 EOS,0.0284 DBG
li1122334455,556251378872,0.10020094673824699,15831749,165861925729,0.0015 EOS,16.5861 DBG
devilliuzhid,16584563128,0.0029874783052865387,472021,4945151926,0.0000 EOS,0.4945 DBG
dtest2111112,56129129,1.0110881660730927e-05,1597,16736471,0.0000 EOS,0.0016 DBG
s5djtsbtgpij,6970832043,0.0012556984068575908,198400,2078548782,0.0000 EOS,0.2078 DBG
gezdcobzgqge,20960694979,0.0037757775728061967,596572,6250018185,0.0000 EOS,0.6250 DBG
guytknjtgqge,291058327,5.243010809355914e-05,8283,86787190,0.0000 EOS,0.0086 DBG
gyydqnrzgage,179872206,3.2401475335927896e-05,5119,53633935,0.0000 EOS,0.0053 DBG
mikechan5555,117466078491,0.02115987972613349,3343260,35025800791,0.0003 EOS,3.5025 DBG
guangliang12,142049840289,0.025588302378392637,4042951,42356137808,0.0004 EOS,4.2356 DBG
heydenjugmge,139274718499,0.025088402798393708,3963967,41528657533,0.0003 EOS,4.1528 DBG
tossncoin123,5893544125,0.0010616399768143738,167739,1757325222,0.0000 EOS,0.1757 DBG
liuyumeiiiii,2671652572,0.0004812610399509212,76039,796628030,0.0000 EOS,0.0796 DBG
dividendonly,10030155450,0.0018067929540414808,285473,2990771729,0.0000 EOS,0.2990 DBG
ibaalmckloud,6188392,1.1147527192558783e-06,176,1845242,0.0000 EOS,0.0001 DBG
focusandview,1724774758,0.0003106941757381238,49089,514289894,0.0000 EOS,0.0514 DBG
gm3dmnrtg4ge,343044230221,0.06179464527520223,9763553,102288243761,0.0009 EOS,10.2288 DBG
qjqwhy111111,3674680324,0.0006619425342762824,104586,1095708843,0.0000 EOS,0.1095 DBG
aiyuyuan1314,5723787559,0.001031060693284817,162907,1706707548,0.0000 EOS,0.1706 DBG
emilmihaylov,3672604565,0.000661568615172617,104527,1095089897,0.0000 EOS,0.1095 DBG
ez2eosfinder,138882793645,0.02501780298882436,3952812,41411794162,0.0003 EOS,4.1411 DBG
baoooooooooo,77444208457,0.013950496666672026,2204178,23092159478,0.0002 EOS,2.3092 DBG
oorwullie313,87801217,1.5816167657886806e-05,2498,26180391,0.0000 EOS,0.0026 DBG
peiyonglu123,144512300772,0.026031880374014826,4113037,43090389359,0.0004 EOS,4.3090 DBG
zhw12345key1,173562004,3.1264780239923334e-05,4939,51752371,0.0000 EOS,0.0051 DBG
rr1111111122,1021076612,0.0001839327453392706,29061,304462585,0.0000 EOS,0.0304 DBG
4u11nxnaxiwz,181181455475,0.0326373184131668,5156696,54024324708,0.0005 EOS,5.4024 DBG
angelababy.x,1991546200,0.00035874933940411517,56682,593835270,0.0000 EOS,0.0593 DBG
tpaccount111,6013461566,0.0010832414353905203,171152,1793081965,0.0000 EOS,0.1793 DBG
g44dsmzygege,183729680827,0.033096345756686525,5229222,54784149456,0.0005 EOS,5.4784 DBG
gu4domjzhage,522185692,9.406448720661401e-05,14862,155704287,0.0000 EOS,0.0155 DBG
ildragon2345,5128943092,0.0009239077386687289,145977,1529338012,0.0000 EOS,0.1529 DBG
111qweasd111,36227398445,0.006525861795459939,1031086,10802213348,0.0001 EOS,1.0802 DBG
angcheewei33,6729995692,0.0012123150889984582,191545,2006736680,0.0000 EOS,0.2006 DBG
buildmydream,188569649282,0.03396819873502467,5366975,56227321588,0.0005 EOS,5.6227 DBG
