owner,lptoken,lpratio,amount1,amount2,token1,token2
alannice1.m,140170266110,0.04057097430271677,9470604244,47081925971,0.9470 EOS,4.7081 OGX
fuyongquan11,1954152256,0.000565611118263518,132032300,656382087,0.0132 EOS,0.0656 OGX
keyaren22222,322239414,9.326918859137286e-05,21772106,108237307,0.0021 EOS,0.0108 OGX
martinmateng,7210000000,0.0020868671569263665,487143661,2421773858,0.0487 EOS,0.2421 OGX
cheungboneos,10371582116,0.003001957570491715,700755961,3483720727,0.0700 EOS,0.3483 OGX
dcjhotmykey2,18699611581,0.005412427913407604,1263439285,6281030582,0.1263 EOS,0.6281 OGX
1.io,62705315204,0.018149467803598215,4236684717,21062148845,0.4236 EOS,2.1062 OGX
allneedlov.e,258123768,7.471151371168946e-05,17440132,86701441,0.0017 EOS,0.0086 OGX
grrwoofnstuf,24224158,7.011456273841206e-06,1636705,8136675,0.0001 EOS,0.0008 OGX
hxldj5521hxl,211884596,6.132801726088928e-05,14315983,71170121,0.0014 EOS,0.0071 OGX
jiaxueyifang,2389176258,0.0006915247524172586,161424697,802502719,0.0161 EOS,0.0802 OGX
langchao1.tp,38874157,1.125176164999989e-05,2626532,13057478,0.0002 EOS,0.0013 OGX
myeos1122334,1051779257,0.00030442768207624354,71063467,353283149,0.0071 EOS,0.0353 OGX
zhanggucheng,2901579422,0.0008398350622725644,196045218,974614312,0.0196 EOS,0.0974 OGX
afujunzhi513,7304060218,0.0021140920084821964,493498839,2453367836,0.0493 EOS,0.2453 OGX
googleblock1,100666741,2.913704793172162e-05,6801548,33813048,0.0006 EOS,0.0033 OGX
gyzdgmjqgqge,969729138,0.00028067904149885105,65519750,325723256,0.0065 EOS,0.0325 OGX
llllllllllil,47502424564,0.01374913310637779,3209501388,15955635234,0.3209 EOS,1.5955 OGX
peiyonglu123,61164504922,0.017703494658999012,4132579868,20544604592,0.4132 EOS,2.0544 OGX
wodehehuoren,2269528856,0.0006568939294428667,153340720,762314237,0.0153 EOS,0.0762 OGX
alibabacoltd,84921103911,0.024579620344215965,5737694515,28524231555,0.5737 EOS,2.8524 OGX
chenyiming11,273000882,7.901755540329132e-05,18445305,91698529,0.0018 EOS,0.0091 OGX
whowhatwhere,234941455,6.800160974202411e-05,15873819,78914712,0.0015 EOS,0.0078 OGX
wilsonyyy123,169834434,4.915699062826333e-05,11474863,57045851,0.0011 EOS,0.0057 OGX
legopiass.tp,35452145358,0.010261292342606067,2395324255,11908055321,0.2395 EOS,1.1908 OGX
tangxuwallet,784567686,0.00022708578866839364,53009316,263529197,0.0053 EOS,0.0263 OGX
biehuaigang1,80394160,2.3269338711883967e-05,5431831,27003671,0.0005 EOS,0.0027 OGX
buildmydream,92763309156,0.02684947340436384,6267553125,31158357444,0.6267 EOS,3.1158 OGX
cinimodbbb2u,206944,5.989800789500276e-08,13982,69510,0.0000 EOS,0.0000 OGX
eos4simonlao,10115433888,0.0029278178583810235,683449306,3397682851,0.0683 EOS,0.3397 OGX
maktalkmykey,25119908212,0.007270722806189698,1697226636,8437550214,0.1697 EOS,0.8437 OGX
tlsodo123123,2490734876,0.000720919945816292,168286505,836615341,0.0168 EOS,0.0836 OGX
mytaobao2222,8123182550,0.002351179316686875,548842841,2728503626,0.0548 EOS,0.2728 OGX
eosrock12345,1990226770,0.0005760525493964834,134469674,668499190,0.0134 EOS,0.0668 OGX
jianjiandeos,2217212711,0.000641751509917555,149805980,744741717,0.0149 EOS,0.0744 OGX
mxcoin.game,58634604,1.697123846698798e-05,3961647,19694833,0.0003 EOS,0.0019 OGX
gaingaingain,109493223,3.169179070523088e-05,7397909,36777784,0.0007 EOS,0.0036 OGX
gu3tambqgqge,1120040334,0.0003241852132395891,75675526,376211428,0.0075 EOS,0.0376 OGX
huimouyixiao,3265129252,0.0009450611649262626,220608462,1096727415,0.0220 EOS,0.1096 OGX
jungyublee11,143460203,4.152321580675303e-05,9692888,48186986,0.0009 EOS,0.0048 OGX
oneaaaaaaeos,12940238791,0.003745431253220867,874307253,4346509297,0.0874 EOS,0.4346 OGX
samsungstore,5888679538,0.0017044232906402953,397868642,1977954253,0.0397 EOS,0.1977 OGX
eosairuqixue,550134536,0.00015923130306093284,37169840,184785220,0.0037 EOS,0.0184 OGX
eospluser.tp,6403394228,0.0018534026501061116,432645340,2150842267,0.0432 EOS,0.2150 OGX
gm2tsmrqguge,57136727221,0.016537692023823245,3860443062,19191710452,0.3860 EOS,1.9191 OGX
icenine22.tp,77262360,2.2362868453622943e-05,5220231,25951728,0.0005 EOS,0.0025 OGX
ifswapholder,526157812222,0.15229146431155646,35549853388,176731655378,3.5549 EOS,17.6731 OGX
ziruiwu12345,33657284115,0.009741786520240362,2274054452,11305177646,0.2274 EOS,1.1305 OGX
changhuieos4,682872078,0.00019765094479337863,46138252,229370561,0.0046 EOS,0.0229 OGX
christopherq,1535575706,0.0004444580454681578,103751174,515786005,0.0103 EOS,0.0515 OGX
gu3dgmzygige,18724865327,0.005419737374311454,1265145554,6289513087,0.1265 EOS,0.6289 OGX
2szwxpmruaoz,11443097708,0.0033120977503917587,773152914,3843633133,0.0773 EOS,0.3843 OGX
dfoxadmin.tp,2329551,6.742667784029089e-07,157396,782475,0.0000 EOS,0.0000 OGX
haydinjwgage,817359527376,0.23657708087126653,55224897719,274543680540,5.5224 EOS,27.4543 OGX
ha3tcmjzgyge,1255731032157,0.3634596184385146,84843469110,421788708384,8.4843 EOS,42.1788 OGX
imrealwjdadi,27088384531,0.007840479890698493,1830226742,9098743624,0.1830 EOS,0.9098 OGX
wangchengjia,43763258,1.2666866269111659e-05,2956864,14699682,0.0002 EOS,0.0014 OGX
ez2eosfinder,13658624,3.953361142081308e-06,922844,4587808,0.0000 EOS,0.0004 OGX
gq3doojwgene,7550139681,0.00218531741060824,510125199,2536023704,0.0510 EOS,0.2536 OGX
huanggejian5,233499455,6.758423631063883e-05,15776391,78430357,0.0015 EOS,0.0078 OGX
xiaojie32145,34666646140,0.010033936930700997,2342251999,11644213231,0.2342 EOS,1.1644 OGX
xiaoliao3111,1442,4.173734313852733e-10,97,484,0.0000 EOS,0.0000 OGX
