owner,lptoken,lpratio,amount1,amount2,token1,token2
akakak521521,838238730,0.0036965010686709305,222222554,1556360023,0.0222 EOS,0.1556 OGX
eoshexiang53,26628863100,0.11742910150028729,7059485294,49441879179,0.7059 EOS,4.9441 OGX
linkboy12345,301834680,0.0013310435049713682,80018342,560417233,0.0080 EOS,0.0560 OGX
lovetomorrow,5311299420,0.02342199576254523,1408060119,9861503407,0.1408 EOS,0.9861 OGX
xiaojie32145,1442440200,0.006360934600091684,382400305,2678182460,0.0382 EOS,0.2678 OGX
1.io,2614787310,0.011530801118867638,693197170,4854882379,0.0693 EOS,0.4854 OGX
1cr3cd4keosd,278935140,0.001230060132272671,73947524,517899597,0.0073 EOS,0.0517 OGX
g44dsmzygege,193038840,0.0008512709480209735,51175855,358415714,0.0051 EOS,0.0358 OGX
kekekekeke44,155468640,0.000685592270241219,41215750,288659027,0.0041 EOS,0.0288 OGX
eospocket514,51833250,0.00022857648681741,13741332,96238929,0.0013 EOS,0.0096 OGX
manjoorelahi,297150,1.3103848023767252e-06,78776,551719,0.0000 EOS,0.0000 OGX
martinmateng,600000000,0.0026459057089888442,159063913,1114021556,0.0159 EOS,0.1114 OGX
wangchengjia,1820940,8.030059236210244e-06,482743,3380944,0.0000 EOS,0.0003 OGX
buildmydream,5146369410,0.02269468033747425,1364336097,9555277430,0.1364 EOS,0.9555 OGX
emilmihaylov,48968160,0.00021594189017113194,12981778,90919309,0.0012 EOS,0.0090 OGX
eospluser.tp,266438040,0.0011749498852129967,70634462,494696199,0.0070 EOS,0.0494 OGX
gaingaingain,4555890,2.0090758934208642e-05,1207796,8458932,0.0001 EOS,0.0008 OGX
geytknzxguge,12279016290,0.054148532170796695,3255247308,22798481391,0.3255 EOS,2.2798 OGX
jungyublee11,226516110,0.0009989004477115751,60050898,420573048,0.0060 EOS,0.0420 OGX
wodehehuoren,291550080,0.0012856900352135904,77291827,541321789,0.0077 EOS,0.0541 OGX
chenyiming11,11359260,5.00925514731477e-05,3011413,21090767,0.0003 EOS,0.0021 OGX
cheungboneos,431549880,0.0019030671520090844,114406687,801259781,0.0114 EOS,0.0801 OGX
gq3doojwgene,314152830,0.0013853646106533365,83283964,583288374,0.0083 EOS,0.0583 OGX
gu3dgmzygige,779120610,0.0034357994499831183,206549955,1446595257,0.0206 EOS,0.1446 OGX
haytgnzzhege,330135600,0.0014558461146340958,87521100,612963624,0.0087 EOS,0.0612 OGX
jesstineseos,1411490670,0.0062244520365624815,374195383,2620718387,0.0374 EOS,0.2620 OGX
langchao1.tp,1045110,4.608770859202218e-06,277065,1940458,0.0000 EOS,0.0001 OGX
balabalabala,1009104450,0.004449992042035079,267520171,1873606849,0.0267 EOS,0.1873 OGX
christopherq,63893580,0.00028176064681622573,16938604,118631375,0.0016 EOS,0.0118 OGX
haydinjwgage,34009411680,0.1499761608724398,9016116863,63145362869,0.9016 EOS,6.3145 OGX
huanggejian5,9715650,4.2844489669229106e-05,2575682,18039072,0.0002 EOS,0.0018 OGX
mantocapital,79837620,0.0003520713575834699,21165473,148234716,0.0021 EOS,0.0148 OGX
samsungstore,245021340,0.0010805056038834945,64956755,454931757,0.0064 EOS,0.0454 OGX
alannice1.m,5843464020,0.025768758017981504,1549140425,10849574800,0.1549 EOS,1.0849 OGX
angcheewei33,129422880,0.0005707345617762969,34310849,240299796,0.0034 EOS,0.0240 OGX
eosairuqixue,22890480,0.0001009434195224916,6068415,42500813,0.0006 EOS,0.0042 OGX
jianjiandeos,92255730,0.00040683327115655565,24457595,171291453,0.0024 EOS,0.0171 OGX
rr1111111122,37387350,0.0001648723380149401,9911630,69417189,0.0009 EOS,0.0069 OGX
dopmarketing,9482670,4.181708448242874e-05,2513917,17606497,0.0002 EOS,0.0017 OGX
hxldj5521hxl,8816280,3.887840930674028e-05,2337253,16369209,0.0002 EOS,0.0016 OGX
oneaaaaaaeos,610490820,0.0026921685765388015,161845098,1133499888,0.0161 EOS,0.1133 OGX
whowhatwhere,9775650,4.3109080240127995e-05,2591588,18150474,0.0002 EOS,0.0018 OGX
alibabacoltd,3533471730,0.015582055038262814,936746402,6560606125,0.0936 EOS,0.6560 OGX
dddddd112233,303187020,0.0013370071118488582,80376856,562928126,0.0080 EOS,0.0562 OGX
dfoxadmin.tp,96930,4.274460672871478e-07,25696,179970,0.0000 EOS,0.0000 OGX
legopiass.tp,1475123940,0.006505064757186862,391064978,2738866445,0.0391 EOS,0.2738 OGX
xiaohangzhou,459780420,0.0020275593969321477,121890788,853675498,0.0121 EOS,0.0853 OGX
15zso15zsoso,4598010,2.027650151497966e-05,1218962,8537137,0.0001 EOS,0.0008 OGX
djsja24djdjs,12206780370,0.05382998311559326,3236097094,22664360771,0.3236 EOS,2.2664 OGX
dongge123451,4430610,1.953829382217177e-05,1174583,8226325,0.0001 EOS,0.0008 OGX
gezdqojug4ge,219850290,0.0009695052290564217,58283745,408196603,0.0058 EOS,0.0408 OGX
gu3tambqgqge,46422300,0.00020471504765732137,12306854,86192404,0.0012 EOS,0.0086 OGX
gyzdgmjqgqge,92689680,0.00040874692246058186,24572638,172097169,0.0024 EOS,0.0172 OGX
wilsonyyy123,7066620,3.116268366875791e-05,1873407,13120611,0.0001 EOS,0.0013 OGX
zengfantian1,94834110,0.00041820352175979343,25141141,176078737,0.0025 EOS,0.0176 OGX
zhanggucheng,578838870,0.002552588451196086,153453959,1074731631,0.0153 EOS,0.1074 OGX
huimouyixiao,271716720,0.0011982280344595387,72033874,504497138,0.0072 EOS,0.0504 OGX
llllllllllil,14613505920,0.06444326457011712,3874135736,27132934341,0.3874 EOS,2.7132 OGX
mxcoin.game,2439720,1.0758781793890438e-05,646785,4529834,0.0000 EOS,0.0004 OGX
whx112233.tp,1462409790,0.006448997353736961,387694373,2715260049,0.0387 EOS,0.2715 OGX
xjf555555555,5042790,2.223791141705309e-05,1336876,9362961,0.0001 EOS,0.0009 OGX
ziruiwu12345,4012984620,0.017696631526904046,1063868397,7450918951,0.1063 EOS,0.7450 OGX
2szwxpmruaoz,476134440,0.002099678055070344,126226345,884040049,0.0126 EOS,0.0884 OGX
cinimodbbb2u,99870,4.4041100526119315e-07,26476,185428,0.0000 EOS,0.0000 OGX
dcjhotmykey2,778069830,0.0034311656753149657,206271386,1444644271,0.0206 EOS,0.1444 OGX
ez2eosfinder,568320,2.506201887554233e-06,150665,1055201,0.0000 EOS,0.0001 OGX
keyaren22222,13408020,5.9127261107061006e-05,3554553,24894705,0.0003 EOS,0.0024 OGX
reimon123eos,5241360,2.3113573911442947e-05,1389518,9731646,0.0001 EOS,0.0009 OGX
wuweierzhi12,427096980,0.0018834305627898238,113226195,792992070,0.0113 EOS,0.0792 OGX
aabbss112233,197113350,0.0008692388968048603,52256034,365980868,0.0052 EOS,0.0365 OGX
googleblock1,3986310,1.7579000644665533e-05,1056796,7401392,0.0001 EOS,0.0007 OGX
ha3tcmjzgyge,54360694680,0.23972212066401916,14411374727,100931642795,1.4411 EOS,10.0931 OGX
ifswapholder,25320154620,0.11165790276923043,6712538140,47011996750,0.6712 EOS,4.7011 OGX
tlsodo123123,324266460,0.0014299641295793379,85965153,602066377,0.0085 EOS,0.0602 OGX
xiaoliao3111,60,2.645905708988844e-10,15,111,0.0000 EOS,0.0000 OGX
eos4simonlao,420891840,0.001856066870538032,111581172,781470970,0.0111 EOS,0.0781 OGX
fuyongquan11,81310080,0.0003585646747838994,21555832,150968636,0.0021 EOS,0.0150 OGX
manniusl1234,2481051750,0.010941048316036272,657743001,4606575218,0.0657 EOS,0.4606 OGX
mytaobao2222,337996500,0.0014905114482804131,89605076,627558978,0.0089 EOS,0.0627 OGX
