owner,lptoken,lpratio,amount1,amount2,token1,token2
eoskstop1111,8589994,3.455074094511568e-06,1508754,2911179,0.0001 EOS,0.0002 HUB
jablanjablan,11322702257,0.004554226143583845,1988730363,3837304418,0.1988 EOS,0.3837 HUB
l11111111.tp,1594616233,0.000641387786455488,280079935,540421162,0.0280 EOS,0.0540 HUB
zhanglaoda15,80840683,3.251580264385769e-05,14198935,27397197,0.0014 EOS,0.0027 HUB
geytknzxguge,6403730935,0.002575713657278555,1124757488,2170247389,0.1124 EOS,0.2170 HUB
mykey4444444,1641872736,0.0006603953339942299,288380113,556436560,0.0288 EOS,0.0556 HUB
qjyailcm1314,195500434822,0.07863433755823805,34337885256,66255798774,3.4337 EOS,6.6255 HUB
successgr111,199551170,8.026362742470763e-05,35049360,67628607,0.0035 EOS,0.0067 HUB
lovetomorrow,9372013632,0.0037696186415651133,1646109529,3176209044,0.1646 EOS,0.3176 HUB
213213333333,180879433,7.275346678801415e-05,31769838,61300688,0.0031 EOS,0.0061 HUB
bellaxx11243,6250349,2.5140202556085935e-06,1097817,2118265,0.0001 EOS,0.0002 HUB
bolang123123,6795122791,0.0027331395952324583,1193501932,2302891493,0.1193 EOS,0.2302 HUB
mayunshilaji,1089106550,0.0004380612870122922,191291726,369102117,0.0191 EOS,0.0369 HUB
malingyun321,12366975219,0.004974254429820722,2172147475,4191212271,0.2172 EOS,0.4191 HUB
qsjqwertyuio,1674759709,0.0006736231579553644,294156413,567582074,0.0294 EOS,0.0567 HUB
fedeoskassad,10946883878,0.004403064181710038,1922721260,3709938221,0.1922 EOS,0.3709 HUB
geytcmrzgqge,1205753535,0.0004849791284073362,211779715,408634198,0.0211 EOS,0.0408 HUB
haztcojvgyge,194587806,7.826725928079143e-05,34177590,65946505,0.0034 EOS,0.0065 HUB
icemjsicemjs,4012618071,0.001613958373926813,704780114,1359890660,0.0704 EOS,0.1359 HUB
langchao1.tp,293503959,0.00011805339158298428,51551318,99469544,0.0051 EOS,0.0099 HUB
sayargyeeyzw,34178284,1.3747216079924994e-05,6003106,11583143,0.0006 EOS,0.0011 HUB
vimchain.io,862566394,0.0003469421285632631,151501994,292326845,0.0151 EOS,0.0292 HUB
whx112233.tp,2071736541,0.0008332954893172339,363881807,702118946,0.0363 EOS,0.0702 HUB
ancientcoins,10807691944,0.004347078293323112,1898273454,3662765575,0.1898 EOS,0.3662 HUB
aollx5555555,842901633,0.0003390325530378481,148048057,285662387,0.0148 EOS,0.0285 HUB
eos111eos123,11504671108,0.004627417796930534,2020691548,3898974314,0.2020 EOS,0.3898 HUB
hekey5134qih,58256800,2.3432095588092555e-05,10232280,19743438,0.0010 EOS,0.0019 HUB
xiaoshaoguia,111813401,4.4973673464071556e-05,19639013,37893962,0.0019 EOS,0.0037 HUB
eosworld1115,51991012948,0.02091186582715312,9131751745,17619940820,0.9131 EOS,1.7619 HUB
ojvqzjwmmxsu,26226375,1.0548793032386964e-05,4606425,8888212,0.0004 EOS,0.0008 HUB
cryptoquants,2194147046,0.0008825315382273471,385382107,743604306,0.0385 EOS,0.0743 HUB
