owner,lptoken,lpratio,amount1,amount2,token1,token2
bushiwode123,7894071822,0.0006228222110140045,367407804,716937498,0.0367 EOS,0.0716 USDT
empressofeos,297369961,2.3461734422406714e-05,13840264,27007060,0.0013 EOS,0.0027 USDT
jackmeicash1,105811764555,0.008348279397177034,4924716802,9609796245,0.4924 EOS,0.9609 USDT
biquandakaig,5988535875,0.00047248026601552065,278719888,543877231,0.0278 EOS,0.0543 USDT
levelyangpei,11367570795,0.000896872455184526,529072236,1032399748,0.0529 EOS,0.1032 USDT
gm3dmnrtg4ge,85866758138,0.006774669063318021,3996431477,7798396080,0.3996 EOS,0.7798 USDT
gezdqojug4ge,10183102622,0.0008034209256041079,473944431,924826665,0.0473 EOS,0.0924 USDT
gu2damjshage,1391436991,0.00010978084349398936,64760597,126369936,0.0064 EOS,0.0126 USDT
huanghaonan5,916853348,7.233739979227572e-05,42672410,83268376,0.0042 EOS,0.0083 USDT
aliexpress11,2077138273,0.0001638809325456465,96674673,188645144,0.0096 EOS,0.0188 USDT
bsctothemoon,32516932728,0.0025655033794607152,1513410967,2953179160,0.1513 EOS,0.2953 USDT
gu2tqmbugmge,65265058432,0.005149247297357112,3037582174,5927355205,0.3037 EOS,0.5927 USDT
todayluckday,1048842305,8.275099316737948e-05,48815472,95255578,0.0048 EOS,0.0095 USDT
guluiloveyou,86127969228,0.006795277954684043,4008588827,7822119201,0.4008 EOS,0.7822 USDT
wuwulingfeng,4216089318,0.00033263873576007175,196226251,382904107,0.0196 EOS,0.0382 USDT
abo.game,578784192,4.566460228506825e-05,26937914,52565026,0.0026 EOS,0.0052 USDT
bossbossbose,129739983779,0.010236155101726138,6038389783,11782950735,0.6038 EOS,1.1782 USDT
eospluser.tp,706459593,5.573786705082676e-05,32880213,64160471,0.0032 EOS,0.0064 USDT
imrealwjdadi,3838182936,0.0003028228823322382,178637640,348582750,0.0178 EOS,0.0348 USDT
dopmarketing,2259706521,0.00017828510347850038,105171808,205225943,0.0105 EOS,0.0205 USDT
igfxbfst5125,2716608314,0.00021433349413786307,126437042,246721642,0.0126 EOS,0.0246 USDT
iloveyoumoon,44883692,3.541209266934332e-06,2088987,4076324,0.0002 EOS,0.0004 USDT
zhangguoq.tp,4375749,3.45235479037211e-07,203657,397404,0.0000 EOS,0.0000 USDT
davidgengeos,7066491439,0.0005575282213526223,328890358,641776868,0.0328 EOS,0.0641 USDT
quanchang111,594523622,4.690640332434693e-05,27670462,53994476,0.0027 EOS,0.0053 USDT
yu123123123y,678037052,5.349540077646098e-05,31557364,61579144,0.0031 EOS,0.0061 USDT
zivyuan4gozi,2427930729,0.0001915575660979366,113001340,220504021,0.0113 EOS,0.0220 USDT
wanghaoyu555,18447742488,0.001455480013821586,858599303,1675419054,0.0858 EOS,0.1675 USDT
helloworld25,134561417487,0.010616553971914428,6262790120,12220832059,0.6262 EOS,1.2220 USDT
kekekekeke44,704421326,5.557705296296414e-05,32785348,63975357,0.0032 EOS,0.0063 USDT
kzxbzbrane5f,2048288179,0.0001616047334258253,95331925,186024986,0.0095 EOS,0.0186 USDT
suohaxiangge,5967654273,0.00047083276066968514,277748012,541980769,0.0277 EOS,0.0541 USDT
2szwxpmruaoz,940974937,7.424053188087443e-05,43795083,85459092,0.0043 EOS,0.0085 USDT
ckeospocket1,369346969936,0.029140537562094473,17190236232,33543993333,1.7190 EOS,3.3543 USDT
uyhjhbnkmlpp,51517373279,0.004064589866263897,2397734078,4678794105,0.2397 EOS,0.4678 USDT
tlsodo123123,8829708840,0.0006966415946473384,410954449,801911802,0.0410 EOS,0.0801 USDT
wuxiqi111123,7465323849,0.0005889950852248222,347452912,677998721,0.0347 EOS,0.0677 USDT
yangnanjun22,912612239,7.200278706717106e-05,42475020,82883200,0.0042 EOS,0.0082 USDT
dappdapp5555,289097928,2.280909203469969e-05,13455265,26255796,0.0013 EOS,0.0026 USDT
haloeostoken,21202139854,0.0016727949681550822,986795134,1925572688,0.0986 EOS,0.1925 USDT
mhchm5fen.tp,2322023039,0.000183201718426858,108072159,210885513,0.0108 EOS,0.0210 USDT
mmllllllllll,1810417095,0.0001428373092353974,84260871,164421597,0.0084 EOS,0.0164 USDT
dalemat12345,6170318,4.868224138409049e-07,287180,560386,0.0000 EOS,0.0000 USDT
bihukeymykey,37383695706,0.0029494786138881,1739921030,3395177276,0.1739 EOS,0.3395 USDT
cloudy115115,2880284687,0.00022724714413006514,134054908,261586687,0.0134 EOS,0.0261 USDT
eoswanglawhu,8012736886,0.000632184583082197,372930743,727714627,0.0372 EOS,0.0727 USDT
ggv43pyabnle,22351,1.7634371148712377e-09,1040,2029,0.0000 EOS,0.0000 USDT
shiyuerhh.tp,1244802895,9.82117858593425e-05,57935918,113052667,0.0057 EOS,0.0113 USDT
game215xxxxx,5383559195,0.0004247491429720962,250562917,488933410,0.0250 EOS,0.0488 USDT
ruanmiaode11,41438346635,0.0032693802709077295,1928633576,3763419593,0.1928 EOS,0.3763 USDT
zvpxvbjbkznd,296331,2.337976303909931e-08,13791,26912,0.0000 EOS,0.0000 USDT
btceoskey555,870549820,6.868416907218806e-05,40517340,79063102,0.0040 EOS,0.0079 USDT
jingege11eos,5849627294,0.0004615207318868688,272254771,531261591,0.0272 EOS,0.0531 USDT
waltothemoon,405915069,3.2025667673040105e-05,18892197,36865098,0.0018 EOS,0.0036 USDT
wxafffffffff,206539200,1.6295418144862132e-05,9612797,18757835,0.0009 EOS,0.0018 USDT
aoxiang12321,10619771225,0.0008378729689770744,494267967,964484791,0.0494 EOS,0.0964 USDT
eosboomboomm,2747718743,0.00021678802794655917,127884991,249547083,0.0127 EOS,0.0249 USDT
ifswapholder,5096491107513,0.4021002001968432,237202124897,462861963548,23.7202 EOS,46.2861 USDT
saundersca21,463557577,3.65735151072248e-05,21575009,42100175,0.0021 EOS,0.0042 USDT
mytokenworld,578630619,4.565248576553704e-05,26930766,52551078,0.0026 EOS,0.0052 USDT
qxd123451234,79310000000,0.006257357504381811,3691265250,7202913054,0.3691 EOS,0.7202 USDT
chenzhengccc,117826895732,0.009296242721304292,5483927951,10701007255,0.5483 EOS,1.0701 USDT
dtest2111112,8672188,6.842136005700402e-07,403623,787605,0.0000 EOS,0.0000 USDT
eosrockygatz,264532737,2.0870960875319756e-05,12311946,24024792,0.0012 EOS,0.0024 USDT
gyztimzshage,73985415,5.837261275564905e-06,3443447,6719335,0.0003 EOS,0.0006 USDT
starcool1.tp,356049988,2.8091439469762372e-05,16571364,32336364,0.0016 EOS,0.0032 USDT
g44tknrsgyge,5319042673,0.0004196589532974863,247560173,483074037,0.0247 EOS,0.0483 USDT
aaaaa1112221,763541163,6.024145790193501e-05,35536917,69344604,0.0035 EOS,0.0069 USDT
bosswakdeeos,11707684520,0.0009237065639913852,544901891,1063288786,0.0544 EOS,0.1063 USDT
cryptoquants,13185248566,0.001040282613309792,613671035,1197480759,0.0613 EOS,0.1197 USDT
eosrock12345,9179433130,0.0007242339526160196,427231402,833673669,0.0427 EOS,0.0833 USDT
huanggejian5,296915489,2.34258777362419e-05,13819112,26965785,0.0013 EOS,0.0026 USDT
discovery.m,354954113423,0.028004977749824758,16520360414,32236837942,1.6520 EOS,3.2236 USDT
eoseoseosxxx,4159100036,0.00032814242619769586,193573842,377728356,0.0193 EOS,0.0377 USDT
lht5211314yy,137090940,1.081612687166507e-05,6380519,12450562,0.0006 EOS,0.0012 USDT
zhou23232323,23946,1.8892785626015237e-09,1114,2174,0.0000 EOS,0.0000 USDT
