owner,lptoken,lpratio,amount1,amount2,token1,token2
excellentapp,5120985703803,0.012844125359779095,4119265132,93386258783240,0.4119 EOS,0.0093386258 DMD
333kkk333kkk,2440779670,6.121805814415577e-06,1963336,44510040659,0.0001 EOS,0.0000044510 DMD
xiexiefuyuan,3435848901681,0.008617574147429752,2763759439,62656116074335,0.2763 EOS,0.0062656116 DMD
yangyangdeqb,2933056630777,0.007356503070308187,2359318812,53487199806910,0.2359 EOS,0.0053487199 DMD
theblockking,62186846995,0.00015597303033672142,50022422,1134038898424,0.0050 EOS,0.0001134038 DMD
hqrfbv2bwmxn,742461305467,0.0018621934591853022,597227788,13539519072938,0.0597 EOS,0.0013539519 DMD
luck.tp,284916117906,0.0007146081920690798,229183422,5195728294755,0.0229 EOS,0.0005195728 DMD
qinjinliang2,1105988098888,0.0027739678667706162,889644782,20168791085910,0.0889 EOS,0.0020168791 DMD
prayouhang11,52625168,1.3199104507741027e-07,42331,959672188,0.0000 EOS,0.0000000959 DMD
mxcoin.game,12268536,3.077114904811004e-08,9868,223728935,0.0000 EOS,0.0000000223 DMD
quanchang111,103259816784,0.0002589895985096346,83061072,1883045282657,0.0083 EOS,0.0001883045 DMD
woilsy123123,3364223290120,0.008437927417860262,2706144578,61349951932581,0.2706 EOS,0.0061349951 DMD
alphawallet1,407265244603,0.00102147636391122,327599727,7426886096883,0.0327 EOS,0.0007426886 DMD
g44dsmzygege,504982159024,0.0012665636129660385,406202149,9208851051568,0.0406 EOS,0.0009208851 DMD
kakaxisai.tp,42710341324,0.00010712331762945941,34355733,778865479870,0.0034 EOS,0.0000778865 DMD
sonnimsonnim,4416806385376,0.011077948306224071,3552830957,80544849753023,0.3552 EOS,0.0080544849 DMD
zvpxvbjbkznd,1020215,2.558837323876099e-09,820,18604633,0.0000 EOS,0.0000000018 DMD
mosstheboss1,321425431915,0.0008061784937754276,258551117,5861511884721,0.0258 EOS,0.0005861511 DMD
oolongtea111,156233610407,0.00039185504384208126,125672614,2849075005476,0.0125 EOS,0.0002849075 DMD
prae2srpywxr,664810329351,0.001667434299673795,534766189,12123476426118,0.0534 EOS,0.0012123476 DMD
happyniceday,16802587760,4.2143164625095395e-05,13515818,306411870593,0.0013 EOS,0.0000306411 DMD
icemjsicemjs,227629636822,0.0005709259427870545,183102800,4151052434145,0.0183 EOS,0.0004151052 DMD
nvshennvshen,217567691040,0.0005456892207061213,175009081,3967562862603,0.0175 EOS,0.0003967562 DMD
guan12335511,110288938067,0.0002766195862014371,88715220,2011228288258,0.0088 EOS,0.0002011228 DMD
haztcojvgyge,313532031827,0.00078638077784549,252201752,5717567896994,0.0252 EOS,0.0005717567 DMD
serendipity4,159641116971,0.00040040153156997786,128413575,2911214270883,0.0128 EOS,0.0002911214 DMD
zwmdeeos1.tp,33401324306,8.377504281066515e-05,26867661,609106311901,0.0026 EOS,0.0000609106 DMD
bridgech3232,26625903451,6.678137013506e-05,21417586,485549785496,0.0021 EOS,0.0000485549 DMD
gaingaingain,4607949213,1.1557360392417184e-05,3706584,84030528994,0.0003 EOS,0.0000084030 DMD
galaxysuming,435819975185,0.0010930954935911875,350568841,7947609960189,0.0350 EOS,0.0007947609 DMD
blancamartin,116224633294,0.0002915071133305234,93489829,2119471584097,0.0093 EOS,0.0002119471 DMD
gm2tsmrqguge,1765516462178,0.004428154280557286,1420162215,32195945616599,0.1420 EOS,0.0032195945 DMD
icenine22.tp,2284487779,5.7298045949569585e-06,1837617,41659902850,0.0001 EOS,0.0000041659 DMD
liujinzhoutp,28656863837,7.187529370902294e-05,23051269,522586364615,0.0023 EOS,0.0000522586 DMD
majinxiang11,12866343056,3.227053006815904e-05,10349546,234630540235,0.0010 EOS,0.0000234630 DMD
myeosbank123,7110822124,1.783490446066282e-05,5719867,129672901554,0.0005 EOS,0.0000129672 DMD
biquandakaig,27558255228,6.911983460183396e-05,22167560,502552145854,0.0022 EOS,0.0000502552 DMD
eosshillskin,1254204532399,0.0031457147456929483,1008868467,22871664910672,0.1008 EOS,0.0022871664 DMD
gy2dcnrtgyge,52842612004,0.00013253642407427688,42506021,963637495750,0.0042 EOS,0.0000963637 DMD
djsja24djdjs,3676660190000,0.009221561456537485,2957465417,67047549011198,0.2957 EOS,0.0067047549 DMD
admin1314.tp,5505416847,1.380833070637059e-05,4428497,100396742369,0.0004 EOS,0.0000100396 DMD
beesmile2.tp,179765657435,0.0004508766032608842,144601537,3278205247301,0.0144 EOS,0.0003278205 DMD
dappdapp5555,463424507077,0.001162331396330686,372773626,8451006006958,0.0372 EOS,0.0008451006 DMD
lovevalue333,23539163658,5.90394088902028e-05,18934646,429260020639,0.0018 EOS,0.0000429260 DMD
hxldj5521hxl,7075930486,1.774739150936768e-05,5691801,129036617893,0.0005 EOS,0.0000129036 DMD
liyuxuan1135,29496975921,7.398240853950332e-05,23727046,537906642589,0.0023 EOS,0.0000537906 DMD
ziqiyunge.tp,50511466873,0.0001266895965246184,40630873,921126749762,0.0040 EOS,0.0000921126 DMD
cj12345cjcww,47393960208,0.000118870467799953,38123185,864275920446,0.0038 EOS,0.0000864275 DMD
hedongyufund,98412399673,0.00024683162021288103,79161862,1794647818781,0.0079 EOS,0.0001794647 DMD
worangnil.tp,174882023057,0.0004386277871558565,140673194,3189147325603,0.0140 EOS,0.0003189147 DMD
wuxiqi111123,123063461773,0.00030865982091044723,98990908,2244184411481,0.0098 EOS,0.0002244184 DMD
zj3333333333,929139871968,0.0023304085741664045,747389994,16943788080680,0.0747 EOS,0.0016943788 DMD
abcdxyz54321,986762713972,0.002474934462168101,793741181,17994597816629,0.0793 EOS,0.0017994597 DMD
pq2ketd4cdxr,821535580285,0.0020605224445097037,660834274,14981516984739,0.0660 EOS,0.0014981516 DMD
triplimonkey,222820314472,0.0005588635113076785,179234234,4063349666059,0.0179 EOS,0.0004063349 DMD
xiaoming1124,477085422102,0.0011965948204562577,383762318,8700126355955,0.0383 EOS,0.0008700126 DMD
mayunshilaji,290010938231,0.000727386691116881,233281640,5288637401877,0.0233 EOS,0.0005288637 DMD
wangwenbo123,1789275418,4.4877449579475e-06,1439273,32629213765,0.0001 EOS,0.0000032629 DMD
mazitongshe5,345861397847,0.0008674672041666358,278207141,6307125985235,0.0278 EOS,0.0006307125 DMD
praprab1a3r5,6984768973,1.7518746094464527e-05,5618472,127374197192,0.0005 EOS,0.0000127374 DMD
sleepingnoon,805323259363,0.0020198597490172134,647793259,14685869215996,0.0647 EOS,0.0014685869 DMD
xjdi5xoxybay,40408083779,0.000101348944055927,32503822,736881527694,0.0032 EOS,0.0000736881 DMD
zailushang55,46942931448,0.00011773922661527177,37760382,856050963194,0.0037 EOS,0.0000856050 DMD
caixin555555,2971031398090,0.007451748927275605,2389865301,54179707392879,0.2389 EOS,0.0054179707 DMD
eostradesman,2794672740356,0.0070094175404616,2248004318,50963632167834,0.2248 EOS,0.0050963632 DMD
gy2dkmrvhege,431728781813,0.0010828342267999052,347277930,7873002987026,0.0347 EOS,0.0007873002 DMD
3nyb2u5udxni,23358504491,5.8586291244000804e-05,18789326,425965521357,0.0018 EOS,0.0000425965 DMD
wynwym123.tp,122547555270,0.0003073658575639891,98575918,2234776344171,0.0098 EOS,0.0002234776 DMD
bryanchoesen,157407611823,0.00039479959831495627,126616968,2870484086928,0.0126 EOS,0.0002870484 DMD
epgjb5mgyq4i,801762646286,0.002010929249429079,644929141,14620937901310,0.0644 EOS,0.0014620937 DMD
bwcrpf2nxhzt,15438173694,3.8721029450350515e-05,12418298,281530425413,0.0012 EOS,0.0000281530 DMD
g44tkobrgege,914531763789,0.002293769461391504,735639391,16677394724079,0.0735 EOS,0.0016677394 DMD
wll22galahad,276832276,6.943328222799799e-07,222680,5048311411,0.0000 EOS,0.0000005048 DMD
zack.vr,1900141960824,0.00476581325506836,1528453500,34650975250063,0.1528 EOS,0.0034650975 DMD
zhuyanrong12,157864099995,0.00039594453244396003,126984162,2878808601978,0.0126 EOS,0.0002878808 DMD
qyl121212111,64362526407,0.00016142992881813405,51772515,1173714572669,0.0051 EOS,0.0001173714 DMD
dinosaur.x,1854457981054,0.004651231649682558,1491705804,33817882520692,0.1491 EOS,0.0033817882 DMD
gyztemzwgage,529762660812,0.0013287164659230256,426135315,9660748105496,0.0426 EOS,0.0009660748 DMD
yangnanjun22,559883177,1.4042627978592045e-06,450363,10210025623,0.0000 EOS,0.0000010210 DMD
heytamjxgige,92045244347,0.00023086193274986068,74040192,1678536419652,0.0074 EOS,0.0001678536 DMD
heztsnygenes,949283650154,0.0023809318966682477,763593430,17311129876060,0.0763 EOS,0.0017311129 DMD
kezdiswho555,589340859142,0.001478146652281878,474059369,10747215705464,0.0474 EOS,0.0010747215 DMD
nguyenduy123,303030643034,0.0007600418732067006,243754549,5526064645837,0.0243 EOS,0.0005526064 DMD
eossuneossun,1439040814120,0.0036093091610604664,1157548759,26242338026301,0.1157 EOS,0.0026242338 DMD
gq3dcmrtgyge,1237366830497,0.003103483510046406,995324403,22564612698836,0.0995 EOS,0.0022564612 DMD
guytknjtgqge,59728215358,0.00014980644937249505,48044725,1089203309421,0.0048 EOS,0.0001089203 DMD
geytgojrgyge,161575839,4.0525407631704636e-07,129969,2946495848,0.0000 EOS,0.0000002946 DMD
jamiedornan4,149506082698,0.0003749814936598159,120261064,2726391858140,0.0120 EOS,0.0002726391 DMD
wangmingwang,181832084532,0.00045605948214707246,146263748,3315888597109,0.0146 EOS,0.0003315888 DMD
tanduoroueos,121030673652,0.0003035613131296885,97355755,2207114501800,0.0097 EOS,0.0002207114 DMD
dopmarketing,4234916070,1.0621742773237687e-05,3406520,77227899258,0.0003 EOS,0.0000077227 DMD
eosbetterone,769334119694,0.001929594114970246,618843987,14029571521585,0.0618 EOS,0.0014029571 DMD
eszhengzhike,74264034635,0.00018626425179561694,59737180,1354278406120,0.0059 EOS,0.0001354278 DMD
ge2dqojzgage,278744168283,0.0006991281069336765,224218773,5083176665434,0.0224 EOS,0.0005083176 DMD
zhw12345key1,6695877251,1.6794166549160414e-05,5386090,122105969809,0.0005 EOS,0.0000122105 DMD
aimtftw12345,6627478058922,0.01662261211640638,5331071177,120858642630287,0.5331 EOS,0.0120858642 DMD
eosforeveryr,4407235943131,0.011053944341547502,3545132597,80370323236478,0.3545 EOS,0.0080370323 DMD
flybottle123,875537417531,0.002195966362412251,704272764,15966294103738,0.0704 EOS,0.0015966294 DMD
oneaaaaaaeos,10431135838789,0.026162700719666847,8390692073,190222118784841,0.8390 EOS,0.0190222118 DMD
weixunweixun,1184145755657,0.0029699978499479023,952513950,21594073557506,0.0952 EOS,0.0021594073 DMD
111111eoswql,113791326372,0.00028540405017965845,91532503,2075097816416,0.0091 EOS,0.0002075097 DMD
11wangguoguo,129588431021,0.0003250253270527076,104239522,2363173704166,0.0104 EOS,0.0002363173 DMD
namxqafb4btt,391686928542,0.0009824038384337224,315068699,7142800036264,0.0315 EOS,0.0007142800 DMD
twinkle13.tp,10372568124597,0.026015804964312734,8343580841,189154078366408,0.8343 EOS,0.0189154078 DMD
viresinnumer,95824637664,0.00024034116279563289,77080295,1747457409235,0.0077 EOS,0.0001747457 DMD
chenqiji1234,62537626466,0.00015685283273410267,50304585,1140435710356,0.0050 EOS,0.0001140435 DMD
lacarteraeos,999595700,2.507121328294581e-06,804063,18228620058,0.0000 EOS,0.0000018228 DMD
jaehwanchung,4775320454723,0.011977150123272249,3841215770,87082709765522,0.3841 EOS,0.0087082709 DMD
jiaxueyifang,258601284858,0.0006486070286135428,208016057,4715851186909,0.0208 EOS,0.0004715851 DMD
luochunhi123,328475717199,0.0008238615636466544,264222289,5990080836893,0.0264 EOS,0.0005990080 DMD
beosssssssss,5579828245383,0.013994964566394442,4488353076,101753708100064,0.4488 EOS,0.0101753708 DMD
dneldnel1111,4262485550477,0.010690890762283545,3428696958,77730656108073,0.3428 EOS,0.0077730656 DMD
eostuo.com,106667678796,0.00026753697774923126,85802319,1945191030010,0.0085 EOS,0.0001945191 DMD
whs111222333,13527194222220,0.03392803425075857,10881127720,246681817390989,1.0881 EOS,0.0246681817 DMD
2ugbcwn1t.tp,16148958,4.0503772706838774e-08,12990,294492282,0.0000 EOS,0.0000000294 DMD
33qmwwghf2xx,4482593455739,0.011242951184120697,3605749360,81744542299118,0.3605 EOS,0.0081744542 DMD
tony11lynx11,29429076467,7.381210751749716e-05,23672428,536668428630,0.0023 EOS,0.0000536668 DMD
nguyenquyhoa,267223509,6.702327339299468e-07,214951,4873086004,0.0000 EOS,0.0000004873 DMD
chanceliu.tp,91223634565,0.00022880122419740526,73379298,1663553549526,0.0073 EOS,0.0001663553 DMD
huiw11223344,271526326687,0.0006810247831502875,218412820,4951552157551,0.0218 EOS,0.0004951552 DMD
innohyun1eos,2636765049422,0.006613363676041835,2120985091,48084028641803,0.2120 EOS,0.0048084028 DMD
eosxx11xxeos,438447581817,0.0010996858867165836,352682460,7995526975996,0.0352 EOS,0.0007995526 DMD
xiongzhuang1,427466053706,0.0010721427276730276,343849038,7795267907659,0.0343 EOS,0.0007795267 DMD
buildmydream,292194268989,0.0007328627802098046,235037887,5328452606013,0.0235 EOS,0.0005328452 DMD
comefromhere,3233884879946,0.008111021041569083,2601301780,58973101613927,0.2601 EOS,0.0058973101 DMD
