owner,lptoken,lpratio,amount1,amount2,token1,token2
captainineos,970036284,8.550236416729374e-05,15787156,17671030,0.0015 EOS,0.0017 DEOS
rx32kkmoiy3q,1026278610,9.045975794584198e-05,16702489,18695589,0.0016 EOS,0.0018 DEOS
zhouyong3333,123337461961,0.010871391887088588,2007293798,2246823175,0.2007 EOS,0.2246 DEOS
maxocoin.net,14381066,1.267597060571279e-06,234049,261978,0.0000 EOS,0.0000 DEOS
richrichrich,2880392288,0.0002538877714323111,46877838,52471747,0.0046 EOS,0.0052 DEOS
4noeatbfx.tp,2666000603,0.00023499054436187534,43388654,48566200,0.0043 EOS,0.0048 DEOS
joshuagaogrm,5308420901,0.00046790263881569974,86393543,96702842,0.0086 EOS,0.0096 DEOS
koolfish1233,25878060,2.280982007125702e-06,421160,471417,0.0000 EOS,0.0000 DEOS
kylehongmoac,750860936,6.618348844038399e-05,12220119,13678340,0.0012 EOS,0.0013 DEOS
seraphim3eos,15276855146,0.0013465550243523545,248627919,278296566,0.0248 EOS,0.0278 DEOS
xqy111111111,9128708617,0.0008046360547765308,148568001,166296547,0.0148 EOS,0.0166 DEOS
heydenjugmge,6291425812,0.0005545481027688401,102391761,114610120,0.0102 EOS,0.0114 DEOS
liujinzhoutp,7035157500,0.0006201031945515017,114495853,128158587,0.0114 EOS,0.0128 DEOS
mahendratoma,45589551,4.018421224154344e-06,741961,830499,0.0000 EOS,0.0000 DEOS
phuongchau15,5214968357,0.00045966540730050414,84872620,95000428,0.0084 EOS,0.0095 DEOS
zhaoruijuan1,4828440138,0.0004255954687971796,78581947,87959092,0.0078 EOS,0.0087 DEOS
zzgamestoken,5157443501,0.00045459496687728473,83936414,93952505,0.0083 EOS,0.0093 DEOS
bihuidmykey1,72013560752,0.006347525136906153,1172007041,1311862062,0.1172 EOS,0.1311 DEOS
huadiaini211,126237727,1.1127031311753912e-05,2054495,2299656,0.0002 EOS,0.0002 DEOS
kgurxpknzhvw,1459583748,0.00012865277640909306,23754448,26589055,0.0023 EOS,0.0026 DEOS
shiyishao123,19231509775,0.0016951320062878383,312989173,350338017,0.0312 EOS,0.0350 DEOS
valuenetwork,43206338854,0.0038083566356886924,703174969,787084490,0.0703 EOS,0.0787 DEOS
liuhuasheng1,132552114,1.1683603293310041e-05,2157260,2414685,0.0002 EOS,0.0002 DEOS
mytaobao1111,112037629,9.875385398674582e-06,1823391,2040975,0.0001 EOS,0.0002 DEOS
blackswanltd,30532809442,0.0026912677752582593,496915682,556212384,0.0496 EOS,0.0556 DEOS
focusandview,14251431968,0.001256170667151403,231939351,259616560,0.0231 EOS,0.0259 DEOS
he2dgnygenes,44995901230,0.00396609487341923,732299757,819684725,0.0732 EOS,0.0819 DEOS
ok.io,13563913440,0.0011955703983548413,220750118,247092120,0.0220 EOS,0.0247 DEOS
cheesekon233,29654009,2.613807254799766e-06,482613,540203,0.0000 EOS,0.0000 DEOS
cs.bank,7687035516,0.0006775619849452484,125105044,140033768,0.0125 EOS,0.0140 DEOS
asdjkl123123,17317224582,0.001526400266669793,281834545,315465722,0.0281 EOS,0.0315 DEOS
bihubank4eos,365404242,3.22079978688281e-05,5946884,6656523,0.0005 EOS,0.0006 DEOS
chunge555555,19455541782,0.0017148789647919635,316635252,354419180,0.0316 EOS,0.0354 DEOS
samsung11.tp,4264581615,0.0003758950219504116,69405256,77687351,0.0069 EOS,0.0077 DEOS
loveyoubabby,3602687032,0.0003175533365830784,58633048,65629700,0.0058 EOS,0.0065 DEOS
allgoodwater,2392405723,0.00021087494224480337,38935949,43582156,0.0038 EOS,0.0043 DEOS
eosyidinghuo,4169602122,0.00036752319985173333,67859483,75957122,0.0067 EOS,0.0075 DEOS
eosyoyow1234,1187387502,0.00010466045474614146,19324506,21630490,0.0019 EOS,0.0021 DEOS
icemjsicemjs,2259774783,0.00019918439095432144,36777405,41166035,0.0036 EOS,0.0041 DEOS
keyforfuture,719501041,6.341931847399736e-05,11709742,13107060,0.0011 EOS,0.0013 DEOS
bihumykeyzty,7808032008,0.0006882270356166407,127074239,142237946,0.0127 EOS,0.0142 DEOS
maktalkmykey,1857676688,0.0001637420695517696,30233335,33841064,0.0030 EOS,0.0033 DEOS
welovetaotao,37810643439,0.0033327613183602046,615361049,688791779,0.0615 EOS,0.0688 DEOS
xiaoxiaoxiao,10247490085,0.0009032493356180498,166775957,186677249,0.0166 EOS,0.0186 DEOS
aeos2themoon,9502978996,0.0008376255447266707,154659180,173114584,0.0154 EOS,0.0173 DEOS
bh112233key1,15032129,1.3249840126266217e-06,244645,273838,0.0000 EOS,0.0000 DEOS
kudaniel5213,3135168281,0.0002763446115463144,51024269,57112969,0.0051 EOS,0.0057 DEOS
zivyuan4gozi,1188739377,0.00010477961369974474,19346507,21655117,0.0019 EOS,0.0021 DEOS
gu2tgmbrgage,19351266522,0.0017056877815329265,314938191,352519610,0.0314 EOS,0.0352 DEOS
gu4dcnruguge,109956476315,0.009691945379269483,1789520794,2003063427,0.1789 EOS,0.2003 DEOS
xiaojleos321,78214818304,0.006894125496348259,1272931331,1424829598,0.1272 EOS,0.1424 DEOS
xionggh12345,158409468,1.3962760201744437e-05,2578084,2885725,0.0002 EOS,0.0002 DEOS
wangming2345,3174685570,0.00027982780252660373,51667405,57832851,0.0051 EOS,0.0057 DEOS
bendanzhuwb1,36921508750,0.0032543899015105523,600890551,672594524,0.0600 EOS,0.0672 DEOS
gu3tambqgqge,272225807,2.3994927272070395e-05,4430423,4959103,0.0004 EOS,0.0004 DEOS
shoshoona111,17747076520,0.0015642889081021922,288830303,323296281,0.0288 EOS,0.0323 DEOS
shouxinkongx,14391889652,0.0012685510948174082,234225274,262175260,0.0234 EOS,0.0262 DEOS
daebaknaja11,5040136801,0.0004442551472766156,82027270,91815544,0.0082 EOS,0.0091 DEOS
aaaaaaaaasss,1440638031,0.00012698283516971516,23446110,26243923,0.0023 EOS,0.0026 DEOS
leidianxiali,86941084441,0.0076632888744332965,1414949657,1583794901,0.1414 EOS,0.1583 DEOS
llllllllllil,53994710161,0.004759281119110487,878753665,983614906,0.0878 EOS,0.0983 DEOS
tlsodo123123,977730796,8.618058515548268e-05,15912383,17811200,0.0015 EOS,0.0017 DEOS
saundersca21,179590285,1.5829710911079767e-05,2922797,3271573,0.0002 EOS,0.0003 DEOS
cryptosokcho,32183165245,0.0028367358625877763,523774909,586276710,0.0523 EOS,0.0586 DEOS
eosamoeosamo,4328703029,0.0003815469058862807,70448820,78855443,0.0070 EOS,0.0078 DEOS
eosforthetop,3391824093,0.00029896714543008456,55201293,61788436,0.0055 EOS,0.0061 DEOS
jiaxueyifang,35998202639,0.0031730064969485335,585863919,655774771,0.0585 EOS,0.0655 DEOS
initialch123,721920717,6.363259711308676e-05,11749122,13151139,0.0011 EOS,0.0013 DEOS
eadluitherna,10671589495,0.000940630929270844,173678094,194403016,0.0173 EOS,0.0194 DEOS
gyztimzshage,921449633,8.121976814898727e-05,14996417,16785933,0.0014 EOS,0.0016 DEOS
iloveusummer,31481920048,0.002774925677553028,512362277,573502214,0.0512 EOS,0.0573 DEOS
iloveyouxxoo,230667367,2.033182215970057e-05,3754067,4202038,0.0003 EOS,0.0004 DEOS
chenghao5555,7922782042,0.0006983415018042554,128941774,144328333,0.0128 EOS,0.0144 DEOS
eosforeveryr,6691890121,0.0005898464166039973,108909242,121905328,0.0108 EOS,0.0121 DEOS
mayunbb12345,26277989227,0.002316233156976606,427669290,478702855,0.0427 EOS,0.0478 DEOS
zhamingwei33,1905389584,0.0001679476497723835,31009854,34710244,0.0031 EOS,0.0034 DEOS
hezdenrsgqge,55546831375,0.004896090468884469,904014144,1011889705,0.0904 EOS,0.1011 DEOS
lianjie12345,1437866507,0.00012673854342696794,23401004,26193434,0.0023 EOS,0.0026 DEOS
ruanchunl.tp,38183851412,0.0033656571641588794,621434938,695590463,0.0621 EOS,0.0695 DEOS
woaini525252,16873482,1.4872872556737022e-06,274612,307382,0.0000 EOS,0.0000 DEOS
xyz.liuin.tp,3128754986,0.0002757793214704204,50919893,56996139,0.0050 EOS,0.0056 DEOS
zhaojinsong3,719623611,6.343012221912406e-05,11711737,13109293,0.0011 EOS,0.0013 DEOS
eoseoseosmmm,7118726447,0.0006274692515303264,115855922,129680952,0.0115 EOS,0.0129 DEOS
gu4domjzhage,18299785357,0.0016130065829347096,297825535,333364909,0.0297 EOS,0.0333 DEOS
jianghesiwen,30469018748,0.0026856450421308123,495877500,555050317,0.0495 EOS,0.0555 DEOS
mc2haqagwsws,536229330,4.726511390046512e-05,8727030,9768422,0.0008 EOS,0.0009 DEOS
wuruoxi55555,6782485213,0.0005978317823843493,110383660,123555687,0.0110 EOS,0.0123 DEOS
cenxuanxi153,8584626876,0.0007566788021220958,139713174,156385078,0.0139 EOS,0.0156 DEOS
chinajackpot,850718715,7.498529959510482e-05,13845285,15497436,0.0013 EOS,0.0015 DEOS
eosaccmove11,25249581,2.2255856871984604e-06,410932,459968,0.0000 EOS,0.0000 DEOS
eoslianggood,126053872,1.1110825694063864e-05,2051502,2296307,0.0002 EOS,0.0002 DEOS
gyztsnbsgmge,102897117331,0.009069708981937333,1674631066,1874463964,0.1674 EOS,0.1874 DEOS
ts2eoscompte,9270270300,0.000817113792745352,150871890,168875358,0.0150 EOS,0.0168 DEOS
richerwallet,2592167319,0.00022848262250332017,42187031,47221189,0.0042 EOS,0.0047 DEOS
wangningrui5,5763654533,0.000508028510833559,93802384,104995776,0.0093 EOS,0.0104 DEOS
222222dragon,116825026573,0.010297363233372015,1901305147,2128186951,0.1901 EOS,0.2128 DEOS
clpxinvfund1,1798781803,0.0001585508700183912,29274832,32768183,0.0029 EOS,0.0032 DEOS
gyztamrzhege,19418687953,0.0017116305404184715,316035462,353747818,0.0316 EOS,0.0353 DEOS
intermilan32,32847352608,0.0028952796415404208,534584433,598376129,0.0534 EOS,0.0598 DEOS
kingandsword,2514842953,0.0002216669845629799,40928592,45812580,0.0040 EOS,0.0045 DEOS
wglzyszaq555,17940464809,0.0015813348229658964,291977661,326819211,0.0291 EOS,0.0326 DEOS
zhenghedeeos,236060440,2.0807186328270988e-05,3841838,4300283,0.0003 EOS,0.0004 DEOS
daohaowangba,371414900,3.27377981223628e-05,6044707,6766018,0.0006 EOS,0.0006 DEOS
tumaoran1234,7290885914,0.0006426439843574143,118657785,132817160,0.0118 EOS,0.0132 DEOS
zhourui12345,8759929374,0.000772130572608067,142566188,159578541,0.0142 EOS,0.0159 DEOS
llslove21235,74161692,6.536868879274494e-06,1206967,1350994,0.0001 EOS,0.0001 DEOS
tothemoonmyk,67805639643,0.005976624368570604,1103523923,1235206888,0.1103 EOS,0.1235 DEOS
xiaohangzhou,4840966319,0.0004266995698572668,78785808,88187280,0.0078 EOS,0.0088 DEOS
zhangraneos1,2879446164,0.0002538043767798329,46862440,52454511,0.0046 EOS,0.0052 DEOS
elizachen321,2989979790,0.0002635471941350891,48661353,54468089,0.0048 EOS,0.0054 DEOS
lingdddddddd,1800802766,0.0001587290047100979,29307723,32804999,0.0029 EOS,0.0032 DEOS
liyuxuan1135,361507958,3.186456587668295e-05,5883473,6585545,0.0005 EOS,0.0006 DEOS
nanjinshitou,7180439,6.329088100987349e-07,116860,130805,0.0000 EOS,0.0000 DEOS
maguanq12345,151428746,1.3347455141058029e-05,2464474,2758558,0.0002 EOS,0.0002 DEOS
maoyiqiuqiu5,2957792908,0.00026071013066481826,48137518,53881744,0.0048 EOS,0.0053 DEOS
waitwaitgogo,26295132444,0.0023177442196111796,427948292,479015151,0.0427 EOS,0.0479 DEOS
rr1111111122,299867036,2.6431321113179085e-05,4880279,5462640,0.0004 EOS,0.0005 DEOS
111eosxhm111,54677416409,0.004819457216848891,889864580,996051681,0.0889 EOS,0.0996 DEOS
eossummer235,1079466780,9.514794781640967e-05,17568117,19664511,0.0017 EOS,0.0019 DEOS
ge2tembsgmge,1442015141,0.0001271042184237857,23468522,26269010,0.0023 EOS,0.0026 DEOS
gyztemzwgage,720558748,6.351254843929657e-05,11726956,13126328,0.0011 EOS,0.0013 DEOS
meinianda.tp,237946630,2.0973441660085678e-05,3872536,4334644,0.0003 EOS,0.0004 DEOS
gezdqnbthage,9500270199,0.0008373867819593707,154615095,173065238,0.0154 EOS,0.0173 DEOS
gmztenzvg4ge,897027103,7.906708160685514e-05,14598945,16341030,0.0014 EOS,0.0016 DEOS
hejjooneosvc,1300266541,0.00011461000494196915,21161591,23686793,0.0021 EOS,0.0023 DEOS
ildragon2345,172953480,1.5244719888190033e-05,2814785,3150671,0.0002 EOS,0.0003 DEOS
jungyublee11,3201528,2.821937874519626e-07,52104,58321,0.0000 EOS,0.0000 DEOS
langchao1.tp,87884853,7.746475910168199e-06,1430309,1600987,0.0001 EOS,0.0001 DEOS
r3qiu4lln.tp,252477617,2.225425327783359e-05,4109025,4599353,0.0004 EOS,0.0004 DEOS
wocaeos12345,3203141998,0.00028233605083637146,52130528,58351238,0.0052 EOS,0.0058 DEOS
2wagfysfagqi,1685889786,0.00014860017589660894,27437536,30711644,0.0027 EOS,0.0030 DEOS
dopmarketing,360494232,3.177521254934097e-05,5866975,6567078,0.0005 EOS,0.0006 DEOS
g44dsmzygege,29941624809,0.0026391587102525278,487294264,545442848,0.0487 EOS,0.0545 DEOS
gaohongdeeos,1798732054,0.0001585464849688986,29274022,32767277,0.0029 EOS,0.0032 DEOS
zrs123451234,201139315,1.7729117191960633e-05,3273504,3664129,0.0003 EOS,0.0003 DEOS
skyingwudi55,20822480,1.8353656427002173e-06,338881,379320,0.0000 EOS,0.0000 DEOS
smxuywt3i1tr,128938705476,0.011365104927217737,2098452973,2348860330,0.2098 EOS,0.2348 DEOS
wushunpen123,396834074,3.4978332325081146e-05,6458399,7229076,0.0006 EOS,0.0007 DEOS
yuyong521521,3838996224,0.0003383824487758167,62478935,69934515,0.0062 EOS,0.0069 DEOS
go12xytiussn,62010342827,0.005465806797112432,1009206567,1129634688,0.1009 EOS,0.1129 DEOS
kidantehh.tp,215953920,1.9034927884403363e-05,3514609,3934005,0.0003 EOS,0.0003 DEOS
mantocapital,7772493918,0.0006850945850443175,126495864,141590553,0.0126 EOS,0.0141 DEOS
sfsfisfi2135,11515289275,0.0010149975555788404,187409148,209772589,0.0187 EOS,0.0209 DEOS
zs1122334455,49743821057,0.004384593002593611,809571251,906176989,0.0809 EOS,0.0906 DEOS
yc5p4iduinwz,1208318080,0.0001065053485216695,19665147,22011779,0.0019 EOS,0.0022 DEOS
eeeooosss511,11174719157,0.0009849785235755654,181866434,203568466,0.0181 EOS,0.0203 DEOS
guytqnbwguge,7199060988,0.00063455021674069,117163352,131144396,0.0117 EOS,0.0131 DEOS
haydinjwgage,97535718469,0.008597136681801766,1587375316,1776796029,0.1587 EOS,0.1776 DEOS
jxycwzztyang,1052035614,9.273006965705468e-05,17121680,19164801,0.0017 EOS,0.0019 DEOS
gyztimztg4ge,972344205,8.570579233288528e-05,15824717,17713073,0.0015 EOS,0.0017 DEOS
lovenieflsky,111836839755,0.00985768713786719,1820123353,2037317773,0.1820 EOS,0.2037 DEOS
szsjlykp1234,113548127,1.0008525933931064e-05,1847974,2068492,0.0001 EOS,0.0002 DEOS
gm3tsobqgmge,2449636470,0.00021591945888018344,39867368,44624722,0.0039 EOS,0.0044 DEOS
huchunlin123,36803285659,0.0032439693080272007,598966493,670440868,0.0598 EOS,0.0670 DEOS
niurougan123,250298755,2.206220082034605e-05,4073564,4559661,0.0004 EOS,0.0004 DEOS
banlangen415,7213112557,0.000635788770792303,117392038,131400372,0.0117 EOS,0.0131 DEOS
ftsxnexux.tp,29834364987,0.002629704457342167,485548631,543488909,0.0485 EOS,0.0543 DEOS
gi4dcmbvgene,57926383004,0.005105832406679484,942740895,1055237700,0.0942 EOS,0.1055 DEOS
mhchm5fen.tp,1098903498,9.686116758773628e-05,17884445,20018588,0.0017 EOS,0.0020 DEOS
amyjing54321,31838811319,0.0028063833126172957,518170614,580003658,0.0518 EOS,0.0580 DEOS
cgtomc32cx3h,385670110,3.399430179836473e-05,6276707,7025704,0.0006 EOS,0.0007 DEOS
qypmsm2i5n3g,1801094771,0.0001587547430440762,29312475,32810319,0.0029 EOS,0.0032 DEOS
tongwei54321,28812419587,0.0025396266435622743,468916663,524872257,0.0468 EOS,0.0524 DEOS
lijie5544321,718837,6.336078759598742e-08,11698,13094,0.0000 EOS,0.0000 DEOS
