owner,lptoken,lpratio,amount1,amount2,token1,token2
vipleipeijun,20163809008,0.0026719342855046533,470909714,467486966,0.0470 EOS,0.0467 DEOS
wenquanijl12,1021002332,0.00013529443446764694,23844697,23671384,0.0023 EOS,0.0023 DEOS
jangsewuk.tp,1799339857,0.0002384330189442816,42022150,41716717,0.0042 EOS,0.0041 DEOS
lihualihua55,14808876480,0.0019623447524729433,345849526,343335762,0.0345 EOS,0.0343 DEOS
mytaobao2222,62367760308,0.008264438381208924,1456549413,1445962668,0.1456 EOS,0.1445 DEOS
nieyichengnb,17984859767,0.002383198700819619,420022088,416969211,0.0420 EOS,0.0416 DEOS
ooooxvvxoooo,64745800,8.579555717562627e-06,1512086,1501096,0.0001 EOS,0.0001 DEOS
verycoolcool,9160749548,0.001213903622500651,213942016,212387005,0.0213 EOS,0.0212 DEOS
wujiliushou2,56539643328,0.00749214652044911,1320438379,1310840939,0.1320 EOS,0.1310 DEOS
eoseoseosmmm,5746322874,0.0007614532103794779,134200798,133225376,0.0134 EOS,0.0133 DEOS
gy4tomzqgage,316443295,4.193233971781346e-05,7390281,7336566,0.0007 EOS,0.0007 DEOS
mytaobao1111,754961984,0.00010004105913232401,17631536,17503383,0.0017 EOS,0.0017 DEOS
bihuidmykey1,72013560752,0.009542616770383023,1681819407,1669595315,0.1681 EOS,0.1669 DEOS
hlh111111111,1491839125,0.000197685670647013,34840715,34587480,0.0034 EOS,0.0034 DEOS
imrealwjdadi,4285195579,0.0005678372069027418,100077332,99349933,0.0100 EOS,0.0099 DEOS
q1q1q1q1q1q1,468718495,6.211053757470909e-05,10946547,10866983,0.0010 EOS,0.0010 DEOS
wumaobing521,1438687726,0.00019064250507971905,33599407,33355193,0.0033 EOS,0.0033 DEOS
bendanzhuwb1,36921508750,0.004892520310152953,862272457,856005138,0.0862 EOS,0.0856 DEOS
initialch123,721920717,9.566271503579013e-05,16859883,16737339,0.0016 EOS,0.0016 DEOS
onlyforgames,5408979492,0.0007167513711587097,126322411,125404253,0.0126 EOS,0.0125 DEOS
zhengyao1.tp,202429402,2.6824200694591516e-05,4727577,4693215,0.0004 EOS,0.0004 DEOS
opensesame12,954363186,0.00012646398884680682,22288392,22126392,0.0022 EOS,0.0022 DEOS
sm5kiiy2jddy,39721332,5.263528770511807e-06,927660,920917,0.0000 EOS,0.0000 DEOS
eos24token32,1008802291,0.00013367779012135654,23559774,23388533,0.0023 EOS,0.0023 DEOS
kekekekeke44,2565987088,0.00034002250635627754,59926586,59491017,0.0059 EOS,0.0059 DEOS
leidianxiali,94245675426,0.012488625107060069,2201032754,2185034825,0.2201 EOS,0.2185 DEOS
liyuxuan1135,361507958,4.790392068679806e-05,8442730,8381365,0.0008 EOS,0.0008 DEOS
mykeydigital,100670346,1.3339967111585738e-05,2351075,2333987,0.0002 EOS,0.0002 DEOS
nisaihua1122,122615074757,0.016247893541987097,2863577501,2842763949,0.2863 EOS,0.2842 DEOS
jianjiandeos,215776554,2.8592850309775472e-05,5039289,5002662,0.0005 EOS,0.0005 DEOS
lovexixichen,4294569240,0.0005690793237169142,100296247,99567256,0.0100 EOS,0.0099 DEOS
uyhjhbnkmlpp,24627438535,0.003263416022226637,575154230,570973794,0.0575 EOS,0.0570 DEOS
wreckingoliv,36081220742,0.004781172581289679,842648199,836523517,0.0842 EOS,0.0836 DEOS
xyz.liuin.tp,3128754986,0.0004145956607067775,73069583,72538485,0.0073 EOS,0.0072 DEOS
yushow333333,721035329,9.554539104446311e-05,16839206,16716812,0.0016 EOS,0.0016 DEOS
eosadaideeos,18573451001,0.002461193741223351,433768168,430615379,0.0433 EOS,0.0430 DEOS
liguohao1.tp,2841337310,0.0003765095460019725,66357171,65874863,0.0066 EOS,0.0065 DEOS
tothemoonmyk,68869940188,0.00912605125132675,1608402650,1596712179,0.1608 EOS,0.1596 DEOS
blackswanltd,43494999856,0.0057635827296894995,1015791111,1008407961,0.1015 EOS,0.1008 DEOS
gu4tmmzvhage,3597624891,0.00047672626183049204,84019666,83408980,0.0084 EOS,0.0083 DEOS
kgurxpknzhvw,1459583748,0.0001934114659238883,34087416,33839656,0.0034 EOS,0.0033 DEOS
wocaeos12345,3203141998,0.0004244527867924386,74806832,74263108,0.0074 EOS,0.0074 DEOS
wuwulingfeng,5948904668,0.0007882976047492563,138931934,137922125,0.0138 EOS,0.0137 DEOS
dinosaur.x,35532785603,0.004708498680704318,829839932,823808346,0.0829 EOS,0.0823 DEOS
richdongdong,721457835,9.560137790025923e-05,16849073,16726608,0.0016 EOS,0.0016 DEOS
biehuaigang1,580195189,7.688246884102565e-05,13549996,13451510,0.0013 EOS,0.0013 DEOS
gizdqnrxgmge,574737940,7.615932121044401e-05,13422547,13324987,0.0013 EOS,0.0013 DEOS
gm3dmnrtg4ge,1423225881,0.00018859363456342581,33238307,32996719,0.0033 EOS,0.0032 DEOS
ha3tcmjzgyge,396235312340,0.052505690554242285,9253760420,9186500630,0.9253 EOS,0.9186 DEOS
xuminjfqwert,16099016189,0.002133302953882232,375979712,373246951,0.0375 EOS,0.0373 DEOS
yufeishanren,1094417436,0.00014502277167683508,25559248,25373474,0.0025 EOS,0.0025 DEOS
ayilionervin,5023263959,0.0006656396711487806,117314332,116461648,0.0117 EOS,0.0116 DEOS
captainineos,1240077461,0.00016432438352361226,28961022,28750522,0.0028 EOS,0.0028 DEOS
gezdqnbthage,18135992182,0.0024032254666518783,423551665,420473134,0.0423 EOS,0.0420 DEOS
haytqmrwhege,3719334738,0.0004928542023874474,86862103,86230756,0.0086 EOS,0.0086 DEOS
xqy111111111,5858757317,0.0007763520542935483,136826615,135832108,0.0136 EOS,0.0135 DEOS
intermilan32,32847352608,0.004352648231619071,767123782,761548039,0.0767 EOS,0.0761 DEOS
jeonghckrgma,6124895,8.116183276246604e-07,143042,142002,0.0000 EOS,0.0000 DEOS
