owner,lptoken,lpratio,amount1,amount2,token1,token2
eosairuqixue,1637365765,0.00021875306094587625,13271966,2856337686,0.0013 EOS,0.2856 DBG
gu4domjzhage,522185692,6.976432569245795e-05,4232671,910937985,0.0004 EOS,0.0910 DBG
xiaoming1124,37971060948,0.005072956811050355,307781362,66239428419,0.0307 EOS,6.6239 DBG
zhw12345key1,173562004,2.3187989177787908e-05,1406838,302773945,0.0001 EOS,0.0302 DBG
kidante14123,159166910,2.1264795873997523e-05,1290156,277662116,0.0001 EOS,0.0277 DBG
baoooooooooo,77428889342,0.01034454665613583,627613990,135072480070,0.0627 EOS,13.5072 DBG
eoskekoukele,10112957253,0.001351097232882813,81972420,17641764315,0.0081 EOS,1.7641 DBG
gm3dmnrtg4ge,343044230221,0.04583091756573133,2780607599,598430835616,0.2780 EOS,59.8430 DBG
hezdmojthege,166385170,2.2229159795276397e-05,1348665,290254164,0.0001 EOS,0.0290 DBG
432112345.tp,1992731510,0.00026623014037171957,16152448,3476263051,0.0016 EOS,0.3476 DBG
buildmydream,188569649282,0.02519301970499417,1528485698,328954352968,0.1528 EOS,32.8954 DBG
liaoshaowu12,8633753588,0.0011534747245844864,69982465,15061335883,0.0069 EOS,1.5061 DBG
thosucoinex1,3297320,4.4052395520682986e-07,26727,5752080,0.0000 EOS,0.0005 DBG
vc.eos,711664492,9.50788084857094e-05,5768526,1241478325,0.0005 EOS,0.1241 DBG
111qweasd111,36227398445,0.004840002441329673,293647788,63197659117,0.0293 EOS,6.3197 DBG
angcheewei33,6729995692,0.0008991315130969289,54551208,11740284752,0.0054 EOS,1.1740 DBG
eosblocksapp,85919885256,0.011478948868744952,696439306,149884779279,0.0696 EOS,14.9884 DBG
geytgojrgyge,22946657244,0.003065687348483718,185998317,40029786422,0.0185 EOS,4.0029 DBG
godblesssyou,286589280600,0.03828850199852971,2323001704,499946792744,0.2323 EOS,49.9946 DBG
yuecaiyan222,62377202,8.333632082956879e-06,505609,108815242,0.0000 EOS,0.0108 DBG
zudfather123,787254349,0.00010517765930369451,6381233,1373342666,0.0006 EOS,0.1373 DBG
33qmwwghf2xx,13612644527,0.0018186575788393742,110339773,23746868542,0.0110 EOS,2.3746 DBG
angelababy.x,1454146323,0.000194274832184146,11786848,2536716617,0.0011 EOS,0.2536 DBG
dtest2111111,954193030,0.0001274807685048431,7734385,1664562414,0.0007 EOS,0.1664 DBG
dtest2111112,56129129,7.498885734291598e-06,454964,97915658,0.0000 EOS,0.0097 DBG
ecapita44eos,347674852,4.644957144862773e-05,2818141,606508822,0.0002 EOS,0.0606 DBG
gezdcobzgqge,20271872301,0.0027083344550981703,164317359,35363700688,0.0164 EOS,3.5363 DBG
q1q1q1q1q1q1,9369838780,0.0012518161534264,75948937,16345415420,0.0075 EOS,1.6345 DBG
ha3tcmjzgyge,69790584367,0.009324064471008815,565700315,121747675785,0.0565 EOS,12.1747 DBG
tpaccount111,6013461566,0.0008034021185503914,48743209,10490311490,0.0048 EOS,1.0490 DBG
focusandview,1687502822,0.00022545140222062976,13678362,2943800346,0.0013 EOS,0.2943 DBG
tossncoin123,5893544125,0.0007873810755798573,47771197,10281118948,0.0047 EOS,1.0281 DBG
4u11nxnaxiwz,168371632429,0.022494552382617886,1364766987,293719490993,0.1364 EOS,29.3719 DBG
ildragon2345,5128943092,0.0006852299130562357,41573584,8947294342,0.0041 EOS,0.8947 DBG
lancerjin333,2168334136,0.00028969075788843793,17575827,3782596804,0.0017 EOS,0.3782 DBG
langchao1.tp,95366670,1.2741045049708407e-05,773011,166364424,0.0000 EOS,0.0166 DBG
lz5555555555,211731178041,0.02828741401842187,1716225695,369358976594,0.1716 EOS,36.9358 DBG
qukuaixiyou3,271266156,3.624132324277684e-05,2198797,473216040,0.0002 EOS,0.0473 DBG
suohazhifula,14519385216,0.0019397986857580978,117689526,25328651707,0.0117 EOS,2.5328 DBG
dividendonly,10030155450,0.0013400348616977849,81301255,17497318941,0.0081 EOS,1.7497 DBG
oorwullie313,77726126,1.0384257654223555e-05,630023,135591000,0.0000 EOS,0.0135 DBG
qjqwhy111111,3674680324,0.0004909395237493464,29785791,6410374590,0.0029 EOS,0.6410 DBG
li1122334455,556251378872,0.07431552215433936,4508797044,970364600672,0.4508 EOS,97.0364 DBG
4darbcopjfun,1135870890,0.00015175304097482257,9207008,1981494238,0.0009 EOS,0.1981 DBG
eos1e1o1s2e2,85875426,1.1473009085133208e-05,696078,149807221,0.0000 EOS,0.0149 DBG
ge3tambxgege,2741891565483,0.3663183789182784,22224902367,4783151314470,2.2224 EOS,478.3151 DBG
geytknzxguge,325258154750,0.043454687077306764,2636439319,567403536310,0.2636 EOS,56.7403 DBG
gu3tanjugege,5509751975,0.0007361062111762408,44660299,9611604533,0.0044 EOS,0.9611 DBG
guytknjtgqge,291058327,3.888556931263051e-05,2359226,507742916,0.0002 EOS,0.0507 DBG
hedongyufund,11790606730,0.0015752322222252818,95570914,20568375784,0.0095 EOS,2.0568 DBG
saundersca21,1858452484,0.00024829038092015265,15064025,3242017136,0.0015 EOS,0.3242 DBG
4mxdyvoxg4b2,11023711643,0.0014727745726935634,89354706,19230549267,0.0089 EOS,1.9230 DBG
eosplayering,185881967852,0.024833943833110474,1506700206,324265769682,0.1506 EOS,32.4265 DBG
gyydqnrzgage,75233061,1.0051182655622353e-05,609815,131241920,0.0000 EOS,0.0131 DBG
wenyouqiyuan,779820622,0.00010418450886031389,6320978,1360374742,0.0006 EOS,0.1360 DBG
ilovelilli14,299915,4.006882620608748e-08,2431,523193,0.0000 EOS,0.0000 DBG
.n.n,2390209430,0.0003193334319617939,19374278,4169651900,0.0019 EOS,0.4169 DBG
aiyuyuan1314,5723787559,0.000764701495230771,46395204,9984983480,0.0046 EOS,0.9984 DBG
