owner,lptoken,lpratio,amount1,amount2,token1,token2
wilsonyyy123,169834434,3.694132777255953e-05,12480701,65695792,0.0012 EOS,0.0065 OGX
xiaojie32145,34666646140,0.00754047284564846,2547563831,13409841180,0.2547 EOS,1.3409 OGX
153bsk135.tp,1724974714,0.00037520575073280566,126764013,667259153,0.0126 EOS,0.0667 OGX
usuud5ea1svs,32915860,7.159652754374189e-06,2418903,12732597,0.0002 EOS,0.0012 OGX
hkn2kocrwa33,150756097,3.279152679361112e-05,11078682,58315861,0.0011 EOS,0.0058 OGX
bolang123123,8211590849,0.0017861340715338058,603448968,3176428682,0.0603 EOS,0.3176 OGX
eoseosmaling,300513392662,0.06536580054413953,22083966445,116245363103,2.2083 EOS,11.6245 OGX
haytgnzzhege,7934258920,0.0017258105585117927,583068548,3069150432,0.0583 EOS,0.3069 OGX
christopherq,151214806,3.2891302316878814e-05,11112392,58493299,0.0011 EOS,0.0058 OGX
manniusl1234,40476478924,0.008804191469266956,2974513696,15657215633,0.2974 EOS,1.5657 OGX
hxldj5521hxl,208093578,4.5263218366321895e-05,15292268,80495292,0.0015 EOS,0.0080 OGX
whowhatwhere,234941455,5.1103001270737864e-05,17265251,90880657,0.0017 EOS,0.0090 OGX
zengfantian1,2279179777,0.0004957529825473798,167491136,881638180,0.0167 EOS,0.0881 OGX
maktalkmykey,24929296000,0.005422465120796159,1831990685,9643214366,0.1831 EOS,0.9643 OGX
wuweierzhi12,2785299298,0.0006058409469077276,204684575,1077416634,0.0204 EOS,0.1077 OGX
larkspur5555,213089109,4.6349815140147994e-05,15659377,82427676,0.0015 EOS,0.0082 OGX
eosairuqixue,550134536,0.0001196618361467319,40427990,212804455,0.0040 EOS,0.0212 OGX
iamzzhaoyuan,22976458848,0.004997696152458067,1688481640,8887812879,0.1688 EOS,0.8887 OGX
liyiyi131415,5989520761,0.0013028032326627662,440154677,2316881818,0.0440 EOS,0.2316 OGX
dannyzh12345,183651780,3.994679077267684e-05,13496103,71040653,0.0013 EOS,0.0071 OGX
chuckhriczko,439437243,9.558365077563065e-05,32293127,169984244,0.0032 EOS,0.0169 OGX
dddddd112233,7286594714,0.0015849346762958193,535473350,2818619299,0.0535 EOS,0.2818 OGX
llllllllllil,366987581072,0.07982485177793519,26968985822,141959079554,2.6968 EOS,14.1959 OGX
dappdapp5555,2280996697,0.0004961481876637729,167624657,882341006,0.0167 EOS,0.0882 OGX
sleepingnoon,41634460798,0.009056068470618264,3059610844,16105149158,0.3059 EOS,1.6105 OGX
gu3dgmzygige,5012342591,0.001090253526340196,368344334,1938887246,0.0368 EOS,0.1938 OGX
imrealwjdadi,10643533943,0.002315115178861349,782166293,4117159162,0.0782 EOS,0.4117 OGX
cinimodbbb2u,2560024,5.568404678736642e-07,188129,990275,0.0000 EOS,0.0000 OGX
gm3dmnrtg4ge,10573566810,0.002299896364086371,777024586,4090094295,0.0777 EOS,0.4090 OGX
cicilovefifi,4516287693,0.0009823547560578304,331890519,1747002015,0.0331 EOS,0.1747 OGX
eos4simonlao,10115433888,0.0022002461457154457,743357560,3912878141,0.0743 EOS,0.3912 OGX
imeosiomykey,429532866,9.342931240900707e-05,31565280,166153007,0.0031 EOS,0.0166 OGX
tlsodo123123,7793203922,0.0016951291543209576,572702775,3014587175,0.0572 EOS,0.3014 OGX
g44dsmzygege,9183272598,0.00199748823061101,674855393,3552297114,0.0674 EOS,0.3552 OGX
fuyongquan11,1954152256,0.00042505502156519486,143605689,755910199,0.0143 EOS,0.0755 OGX
haydinjwgage,652165659187,0.14185501026272634,47925998927,252272396861,4.7925 EOS,25.2272 OGX
huimouyixiao,6530258504,0.0014204211369515812,479892121,2526051382,0.0479 EOS,0.2526 OGX
rr1111111122,463496,1.0081676167784828e-07,34061,179290,0.0000 EOS,0.0000 OGX
zxy14131211m,1771762328,0.0003853827009764176,130202316,685357658,0.0130 EOS,0.0685 OGX
1cr3cd4keosd,6610762818,0.0014379319336759902,485808179,2557192268,0.0485 EOS,0.2557 OGX
gu3tambqgqge,1115682610,0.00024267632903086488,81988683,431571215,0.0081 EOS,0.0431 OGX
martinmateng,28391057601,0.00617544593252602,2086386759,10982301888,0.2086 EOS,1.0982 OGX
