owner,lptoken,lpratio,amount1,amount2,token1,token2
wangpengjie1,7192116316,0.000883388624227543,15219902,35379714,0.0015 EOS,0.0035 DEOS
yichenyiming,57798271398,0.007099208801646051,122312268,284323312,0.0122 EOS,0.0284 DEOS
haiyang12315,3351016935,0.0004115965468171452,7091396,16484441,0.0007 EOS,0.0016 DEOS
silverknight,1300963027,0.00015979384761001826,2753088,6399743,0.0002 EOS,0.0006 DEOS
2newaccounts,116291628,1.4283793080426206e-05,246095,572065,0.0000 EOS,0.0000 DEOS
officialtako,421785,5.180673594514961e-08,892,2074,0.0000 EOS,0.0000 DEOS
loveyoubabby,3602687032,0.0004425085191740787,7623979,17722466,0.0007 EOS,0.0017 DEOS
shimrise5555,26852906696,0.003298271504580324,56825919,132095773,0.0056 EOS,0.0132 DEOS
hechunspring,20512000,2.5194347065611838e-06,43407,100903,0.0000 EOS,0.0000 DEOS
gracezhou213,2456730353,0.00030175369130316443,5198914,12085235,0.0005 EOS,0.0012 DEOS
yunruzeng123,1300235538,0.00015970449206032823,2751548,6396164,0.0002 EOS,0.0006 DEOS
15zso15zsoso,38186323,4.6903250527571946e-06,80809,187847,0.0000 EOS,0.0000 DEOS
gm3dmnrtg4ge,1423225881,0.0001748110705863649,3011819,7001183,0.0003 EOS,0.0007 DEOS
wangjunjie54,3243058,3.9833623637826147e-07,6862,15953,0.0000 EOS,0.0000 DEOS
dtest2111111,3604279,4.427040563928255e-07,7627,17730,0.0000 EOS,0.0000 DEOS
gu4tqobrg4ge,72851346951,0.008948138257024165,154167474,358372937,0.0154 EOS,0.0358 DEOS
he2dgnygenes,44995901230,0.005526727535679654,95219988,221345437,0.0095 EOS,0.0221 DEOS
linhuanmr.tp,3795307229,0.0004661675484986912,8031600,18670010,0.0008 EOS,0.0018 DEOS
prailivekeos,1813134750,0.00022270254567190596,3836942,8919236,0.0003 EOS,0.0008 DEOS
tdvya2h2ban4,119432208,1.4669542215114775e-05,252741,587515,0.0000 EOS,0.0000 DEOS
4u11nxnaxiwz,2568320965,0.0003154600710223143,5435061,12634175,0.0005 EOS,0.0012 DEOS
jianghesiwen,30527542318,0.0037496172787628923,64602156,150172172,0.0064 EOS,0.0150 DEOS
mykey111moon,5011200000,0.0006155124415717338,10604663,24651273,0.0010 EOS,0.0024 DEOS
subin1234eos,15424054506,0.0018944958189502639,32640268,75874557,0.0032 EOS,0.0075 DEOS
yellowwei111,1279402964,0.00015714568209725276,2707462,6293684,0.0002 EOS,0.0006 DEOS
ge3dknbsg4ge,3510497809,0.0004311851607498827,7428889,17268965,0.0007 EOS,0.0017 DEOS
eoseoseosmmm,7118726447,0.00087437434073161,15064595,35018692,0.0015 EOS,0.0035 DEOS
jxx222555.tp,48628566,5.9729181411223265e-06,102907,239215,0.0000 EOS,0.0000 DEOS
ryin52rita52,5278267139,0.0006483155918729526,11169829,25965039,0.0011 EOS,0.0025 DEOS
vioceinworld,112968875087,0.013875668128674086,239063886,555720508,0.0239 EOS,0.0555 DEOS
death.x,9498415059,0.0011666651987601402,20100474,46724941,0.0020 EOS,0.0046 DEOS
licklihuieos,86436344533,0.01061674757823324,182915944,425200740,0.0182 EOS,0.0425 DEOS
triplimonkey,847074060,0.00010404386631199739,1792571,4166956,0.0001 EOS,0.0004 DEOS
hlh111111111,1491839125,0.00018323865386753454,3157018,7338708,0.0003 EOS,0.0007 DEOS
wanghaoyu555,738064628,9.06545261051272e-05,1561886,3630713,0.0001 EOS,0.0003 DEOS
bm.bank,43236410322,0.005310613921234741,91496567,212690087,0.0091 EOS,0.0212 DEOS
kgurxpknzhvw,1459583748,0.0001792768112248368,3088760,7180036,0.0003 EOS,0.0007 DEOS
shiyishao123,17300746127,0.0021250048869816585,36611709,85106445,0.0036 EOS,0.0085 DEOS
wuwulingfeng,5948904668,0.000730688225749953,12589027,29264063,0.0012 EOS,0.0029 DEOS
china2345eos,8635450887,0.0010606695920199083,18274276,42479817,0.0018 EOS,0.0042 DEOS
