owner,lptoken,lpratio,amount1,amount2,token1,token2
dandanyx4433,3196764,0.0004115659945968825,820662,1369691,0.00000000 PBTC,0.0001 EOS
liuyonghannn,330834562,0.042593152186571795,84930745,141750010,0.00000084 PBTC,0.0141 EOS
aprilsummers,343935476,0.04427982367703472,88293968,147363253,0.00000088 PBTC,0.0147 EOS
zhouyutin.m,11056163,0.0014234209098701852,2838301,4737144,0.00000002 PBTC,0.0004 EOS
throne2thorn,2553194,0.000328709854092699,655447,1093946,0.00000000 PBTC,0.0001 EOS
zack.vr,37581130,0.004838366281190836,9647702,16102082,0.00000009 PBTC,0.0016 EOS
ggkyoik4qxhe,109544414,0.014103248065995071,28121876,46935609,0.00000028 PBTC,0.0046 EOS
comefromhere,4116710666,0.5300041290880042,1056828233,1763853741,0.00001056 PBTC,0.1763 EOS
gu4tqobrg4ge,111535911,0.014359642483456512,28633127,47788890,0.00000028 PBTC,0.0047 EOS
lianjie12345,124783122,0.01606514891772872,32033906,53464815,0.00000032 PBTC,0.0053 EOS
kylehongmoac,39445028,0.005078333020742814,10126196,16900692,0.00000010 PBTC,0.0016 EOS
ilovelilli14,183855,2.3670332228656805e-05,47198,78774,0.00000000 PBTC,0.0000 EOS
emilmihaylov,41499216,0.005342798563807294,10653540,17780833,0.00000010 PBTC,0.0017 EOS
jungyublee11,284923380,0.036682336973766445,73144579,122078817,0.00000073 PBTC,0.0122 EOS
tlsodo123123,5715180,0.0007357983701643948,1467181,2448736,0.00000001 PBTC,0.0002 EOS
liuhong51222,843185262,0.10855552082808208,216459708,361272773,0.00000216 PBTC,0.0361 EOS
artclimber12,1360634779,0.17517433445266667,349297622,582980185,0.00000349 PBTC,0.0582 EOS
