owner,lptoken,lpratio,amount1,amount2,token1,token2
hadoophadoop,632668596371,0.0016174738982361492,706921819,8571900054627,0.0706 EOS,0.0008571900 DMD
hl25um5nxdia,30730860713,7.856619620244305e-05,34337591,416366274753,0.0034 EOS,0.0000416366 DMD
longshao5555,2299250880549,0.005878240687330816,2569102727,31152089516741,0.2569 EOS,0.0031152089 DMD
smallairdrop,325421635462,0.0008319695402937995,363614783,4409072539389,0.0363 EOS,0.0004409072 DMD
wwwwwwwch.tp,407335900552,0.001041390691329683,455142925,5518912505254,0.0455 EOS,0.0005518912 DMD
aseasyasabcd,1835507735453,0.004692639826182871,2050932313,24868926556570,0.2050 EOS,0.0024868926 DMD
gu3tonrwgege,1630077738380,0.004167439650156659,1821392001,22085596684923,0.1821 EOS,0.0022085596 DMD
wangwenbo123,1789275418,4.574442768253756e-06,1999273,24242534150,0.0001 EOS,0.0000024242 DMD
wangzeyua.tp,118131754720,0.00030201440518534553,131996301,1600543476546,0.0131 EOS,0.0001600543 DMD
chanceliu.tp,91223634565,0.00023322138740168374,101930107,1235970747712,0.0101 EOS,0.0001235970 DMD
gaulleeos123,191161773341,0.0004887221848740008,213597497,2590012566995,0.0213 EOS,0.0002590012 DMD
huimouyixiao,606570985482,0.0015507530199415553,677761259,8218308753449,0.0677 EOS,0.0008218308 DMD
ojvqzjwmmxsu,20029193261,5.1206425430664646e-05,22379921,271371526566,0.0022 EOS,0.0000271371 DMD
bwcrpf2nxhzt,22856105202,5.843367885118732e-05,25538614,309672790072,0.0025 EOS,0.0000309672 DMD
nvshennvshen,217567691040,0.0005562312771256076,243102548,2947781055371,0.0243 EOS,0.0002947781 DMD
aaaaa1112221,2654518678,6.786514612347746e-06,2966066,35965541725,0.0002 EOS,0.0000035965 DMD
bridgech3232,26625903451,6.807150551802287e-05,29750855,360749031254,0.0029 EOS,0.0000360749 DMD
codysincomas,41186460959,0.00010529687413604383,46020314,558027107666,0.0046 EOS,0.0000558027 DMD
woilsy123123,3364223290120,0.008600937980516251,3759065747,45581187322672,0.3759 EOS,0.0045581187 DMD
4iwsoqf2fwg3,42474455359,0.00010858974711096966,47459474,575477885737,0.0047 EOS,0.0000575477 DMD
gezdqojug4ge,140503461135,0.0003592096751779236,156993666,1903653244505,0.0156 EOS,0.0001903653 DMD
liyuxuan1135,29496975921,7.541165928384404e-05,32958891,399648616920,0.0032 EOS,0.0000399648 DMD
wodehehuoren,63022863792,0.00016112359260499038,70419549,853884154643,0.0070 EOS,0.0000853884 DMD
fortunately1,543025930230,0.0013882943981265226,606758231,7357349531338,0.0606 EOS,0.0007357349 DMD
222222dragon,277390686174,0.0007091741190788557,309946676,3758310830673,0.0309 EOS,0.0003758310 DMD
bolang123123,122269865202,0.00031259385504431634,136620082,1656609906380,0.0136 EOS,0.0001656609 DMD
jdevora.mail,17877195,4.570464924612976e-08,19975,242214533,0.0000 EOS,0.0000000242 DMD
lzyd12345543,1185558652334,0.0030309868167595513,1324701881,16062896649206,0.1324 EOS,0.0016062896 DMD
viresinnumer,95824637664,0.0002449842636705923,107071107,1298308816872,0.0107 EOS,0.0001298308 DMD
aaaaajackeos,1375021547971,0.0035153656687128454,1536401111,18629891462567,0.1536 EOS,0.0018629891 DMD
liyiyi131415,57419873294,0.00014679904586035355,64158963,777970358966,0.0064 EOS,0.0000777970 DMD
